,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Serial Interval (days),Characteristic Related to Question 2,Excerpt,Added on,Study Population,Sample Text,Matches,Entry
,2020-04-19,Serial interval and generation interval for respectively the imported and local infectors estimated using reported contact-tracing data of COVID-19 in China,https://doi.org/10.1101/2020.04.15.20065946,medrxiv,Case series,2300.0,,,,,,,"The data includes 2300 confirmed cases that were compiled from online reports from 10 provinces in mainland China except Hubei between January 21, 2020, and February 29, 2020.","The data includes 2300 confirmed cases that were compiled from online reports from 10 provinces in mainland China except Hubei between January 21, 2020, and February 29, 2020.",Serial interval and generation interval for respectively the imported and local infectors estimated using reported contact-tracing data of COVID-19 in China,2020-04-24
,2020-04-18,"Suppression of COVID-19 outbreak in the municipality of Vo, Italy",https://doi.org/10.1101/2020.04.17.20053157,medrxiv,Other,,,,,,,,"This was the first COVID-19 death detected in Italy since the emergence of SARS-CoV-2 in the Chinese city of Wuhan, Hubei province.","We collected information on the demography, clinical presentation, hospitalization, contact network and presence of SARS-CoV-2 infection in nasopharyngeal swabs for 85.9% and 71.5% of the population of Vo at two consecutive time points.",The mean serial interval was 6.9 days (95% CI 2.6-13.4).,2020-04-24
,2020-04-17,Estimates of regional infectivity of COVID-19 in the United Kingdom following imposition of social distancing measures,https://doi.org/10.1101/2020.04.13.20062760,medrxiv,Modeling,10.0,,,,,,,Over the period of 7th March 2020 until the present day we have collected all the daily incidence statistics officially released on the Public Health England (PHE) COVID-19 website 13 .,Finally on 23rd March 2020 the government mandated that everyone apart from essential workers should stay at home and away from others 10 Epidemiological studies conducted during the outbreak in China have provided us with a number of estimates of the parameters describing the virus's spread through the population including a reproduction number between 2.24 and 3.58 11 and a median incubation period of 5.1 days (credible interval 4.5 to 5.8) 12 .,"Essentially, R(t) is estimated by inferring connections between pairs of cases based on the difference in their dates of symptom onset and an assumed serial interval.",2020-04-24
,2020-04-17,Epidemic Landscape and Forecasting of SARS-CoV-2 in India,https://doi.org/10.1101/2020.04.14.20065151,medrxiv,Modeling,2.8,,,,,,,METHODS We estimated growth rate and doubling time of SARS-CoV-2 for India and high burden states using crowd sourced time series data.,"RESULTS On an average, 2.8 individuals were infected by an index case.","The mean serial interval was 3.9 days.

12 Package ggplot2 was mainly used to create figures along with features from base R. 13 We defined serial interval as the time difference in diagnosis of SARS-CoV-2 in infectee and infector.",2020-04-24
,2020-04-10,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study,https://doi.org/10.1016/j.jinf.2020.03.006,Journal of Infection,Other,4.0,,,,,,,"On January 23, 2020, we initially enrolled a 22-year-old male (Patient-Index/1) returning from Wuhan who initially presented to Feidong People's Hospital (Hospital-1; the eastern branch of First Affiliated Hospital of Anhui Medical University ) in Hefei, with fever, productive cough, myalgia, and lung infiltrates on chest-computed-tomography (CT)-scan.","As of February 20, four patients were discharged.",The serial-interval was defined as the time delay between illness-onset dates in successive cases in a transmission-chain.,2020-05-12
,2020-04-07,Estimate of the development of the epidemic reproduction number Rt from Coronavirus SARS-CoV-2 case data and implications for political measures based on prognostics,https://doi.org/10.1101/2020.04.04.20053637,medrxiv,Modeling,9.0,,,,,,,"The data for analysis were taken from (Nationale Plattform für geographische Daten 2020; GENESIS-Online 2020a, 2020b; own calculation and design).","To estimate this, we have made use of one study with nine young patients with no underlying health conditions, where the excretion dynamics of reproductive viruses (Woelfel et al.",The mean serial interval is estimated to be 4 days in one study from a total of 28 infector-infectee pairs (Nishiura et al.,2020-04-10
,2020-04-06,Estimating the presymptomatic transmission of COVID19 using incubation period and serial interval data,https://doi.org/10.1101/2020.04.02.20051318,medrxiv,Modeling,,,,,,,,It is reasonable to assume 0 I and 1 T are independent.,It is reasonable to assume 0 I and 1 T are independent.,"where 0 I is the infection time of index case, 1 T is the incubation period of secondary case, and 0,1 S is the serial interval.",2020-04-10
,2020-04-03,Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures,https://doi.org/10.1016/s0140-6736(20)30528-6,The Lancet,Retrospective observational,4.0,,,,,,,"These individuals were Chinese nationals from Wuhan who arrived in Singapore on Jan 19, 2020.","Four cases (B1, B3, B4, and B5) were in a 4-h breakout session on Jan 21, 2020, with 41 other participants, including ten from China, of whom three had dined with B1 and B3 or B4 and B7 at the Chinese banquet.",The serial interval between transmission pairs ranged between 3 days and 8 days.,2020-04-10
,2020-04-01,Insight into 2019 novel coronavirus — an updated intrim review and lessons from SARS-CoV and MERS-CoV,https://doi.org/10.1016/j.ijid.2020.03.071,International Journal of Infectious Diseases,Other,4.0,,,,,,,General information of four inpatient case studies with relatively comprehensive data were summarized in supplementary table 1.,General information of four inpatient case studies with relatively comprehensive data were summarized in supplementary table 1.,"Another estimation of the mean serial interval from 26 infector-infectee pairs was surprisingly 2.6 days, which was shorter than the median incubation period, suggesting a substantial proportion of secondary transmission before illness onset (Nishiura et al., 2020) .

Serial interval is the interval from illness onset in a primary case to illness onset in the secondary case.",2020-04-03
,2020-03-31,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164555/,Science,Modeling,117.0,,,,,,,"Mainland China outside of Hubei province received significantly more introductions from Wuhan than did anywhere else, following mass movements of people around Chinese New Year and the start of the Wuhan lockdown .","As of March 5, 2020, there were 117 cases, of which 25 were imported.","For each of the 40 transmission pairs we estimated the posterior probability that transmission was presymptomatic, i.e., occurred before the onset of symptoms in the infector.

For each of the 40 transmission pairs we estimated the posterior probability that transmission was pre-symptomatic, i.e., occurred before the onset of symptoms in the infector.

The distribution of serial intervals for these pairs is shown in fig.

The distribution of generation times was inferred by Maximum Composite Likelihood from serial intervals and exposure periods of 40 transmission pairs with known dates of onset of symptoms.

The probability that infection occurred before onset of symptoms for the infector was estimated for each transmission pair using a Bayesian approach based on the best fit for the generation time distribution (see Supplementary Information) .",2020-04-24
,2020-03-31,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://doi.org/,ArXiv,Modeling,10.0,,,,,,,Data were collected from the situation reports published daily by the World Health Organization (WHO) .,"Very high asymptotic values of infected individuals are reached, 3.4 × 10 7 cases for Brazil and 5.9 × 10 7 cases for USA.", T serial = 7.5 days: mean serial interval .,2020-05-01
,2020-03-30,COVID-19: Projecting the impact in Rohingya refugee camps and beyond,https://doi.org/10.1101/2020.03.27.20045500,medrxiv,Modeling,18.0,,,,,,,"Methods: To explore the potential impact of the introduction of SARS-CoV-2 in Kutupalong-Balukhali Expansion Site, we used a stochastic disease transmission model with parameters derived from emerging literature.","We assumed hospitalization occurs a median of 3.42 days after symptom onset (lognormally distributed, standard deviation=0.79), 18 hospitalized cases are discharged after a mean of 11.5 days (95% CI, 8.0-17.3), and deaths occur after a mean of 11.2 days (95% CI, 8.7-14.9).",17 We assumed an Erlang distributed serial interval (time between the onset of symptoms in infector-infectee pairs) with a mean of 6 days (standard deviation = 4.2).,2020-04-03
,2020-03-20,"The early phase of the COVID-19 outbreak in Lombardy, Italy",https://doi.org/,ArXiv,Modeling,55.0,,,,,,,"Data on laboratory-confirmed symptomatic cases reported in Lombardy by March 8, 2020 were used to estimate the time between the onset of symptoms and the laboratory confirmation.",Identified secondary cases were ascribed to 55 unique primary cases.,"The mean serial interval is estimated to be 6.6 days (95% CI, 0.7 to 19).",2020-05-01
,2020-03-16,Strongly heterogeneous transmission of COVID-19 in mainland China: local and regional variation,https://doi.org/10.1101/2020.03.10.20033852,medrxiv,Modeling,228.0,,,,,,,Most initial cases of clusters in Tianjin were imported from Wuhan/Hubei.,The parameters were estimated using the travel history records from the 228 confirmed cases in Beijing.,"The distribution of the serial interval ( Figure 1a ): the distance in time between pairs of cases defines a practical distance kernel, translating the time intervals between symptom onsets in any two cases into a likelihood that these cases were linked as a transmission pair .",2020-03-27
,2020-03-12,Quantifying dynamics of SARS-CoV-2 transmission suggests that epidemic control and avoidance is feasible through instantaneous digital contact tracing,https://doi.org/10.1101/2020.03.08.20032946,medrxiv,Modeling,,,,,,,,"These pairs were manually selected according to high confidence of direct transmission inferred from publicly available sources at the time of writing (March, 2020), and with known time of onset of symptoms for both source and recipient.",Our results are shown in Fig.,"For each of the 40 transmission pairs we estimated the posterior probability that transmission was presymptomatic, i.e., occurred before the onset of symptoms in the infector.

The distribution of serial intervals for these pairs is shown in Fig.",2020-04-03
,2020-03-09,"COVID-19 and gender-specific difference: Analysis of public surveillance data in Hong Kong and Shenzhen, China, from January 10 to February 15, 2020",https://doi.org/10.1017/ice.2020.64,Infection Control & Hospital Epidemiology,Other,,,,,,,,"We examined the publicly available materials and collected the records of COVID-19 transmission events in 2 neighboring large cities, Hong Kong4 and Shenzhen,5 in south China from January 10 to February 15, 2020, and we extracted the serial interval data.","We examined the publicly available materials and collected the records of COVID-19 transmission events in 2 neighboring large cities, Hong Kong 4 and Shenzhen, 5 in south China from January 10 to February 15, 2020, and we extracted the serial interval data.","The contact tracing and timely isolation of confirmed COVID-19 infections could lead to shorter observed serial interval due to right censoring ‘bias’.6,7 As such, we call the observed serial interval under the effects of control measures the effective serial interval, which has a mean of 5.2 days from our data set.

2 Given the risk of human-to-human transmission, the serial interval, which refers to the time interval from symptom onset of a primary case (ie, the infector) to that of a secondary case (ie, the infectee), 3 is an essential quantity, in addition to the basic reproduction number, that drives the speed of spread.

Given the risk of human-to-human transmission, the serial interval (SI), which refers to the time interval from symptom onset of a primary case (i.e., infector) to that of a secondary case (i.e., infectee) , is the other essential quantity besides the basic reproduction number to drive the spreading speed.",2020-04-10
,2020-03-08,Estimating the generation interval for COVID-19 based on symptom onset data,https://doi.org/10.1101/2020.03.05.20031815,medrxiv,Modeling,114.0,,,,,,,"Methods: We used outbreak data from clusters in Singapore and Tianjin, China to estimate the generation interval from symptom onset data while acknowledging uncertainty about the incubation period distribution and the underlying transmission network.","In these data, 114 cases can be traced to one of 16 clusters.","When all infector-infectee pairs are observed, the likelihood function is given by,

In our main (i.e., baseline) analyses, missing serial intervals were only allowed to be positive, i.e., the symptom onset time of the infector has to occur before that of the infectee.

Pre-symptomatic transmission is higher when allowing for negative serial intervals for cases with no known infector.

generation interval; SI: serial interval  SI 3.86 (-5.15, 13.88) 4.76 (4.05, 6.72)

generation interval; SI: serial interval  SI 2.90 (-6.12, 13.47) 4.88 (4.19, 6.41)

The proportion of pre-symptomatic transmission is calculated as p = P (X i < δ v(i) ), i.e., pre-symptomatic transmission occurs when the generation interval is shorter than the incubation period of the infector.",2020-03-27
,2020-02-29,"Transmission potential of the novel coronavirus (COVID-19) onboard the diamond Princess Cruises Ship, 2020",https://doi.org/10.1016/j.idm.2020.02.003,Infect Dis Model,Modeling,79.0,,,,,,,"Daily time series of symptomatic patients, from January 20, 2020 to February 18, 2020 were extracted.","Moreover, out of the 79 passenger cases, 30 cases were reported from February 4, 2020 to February 6, 2020, 21 cases were reported from February 7, 2020 to February 14, 2020, and 28 cases were reported from February 14, 2020 to February 19, 2020.","Specifically, let f s denote the probability mass function of the serial interval of COVID-19, where the serial interval is defined as the time from illness onset in the primary case to time of illness onset in the secondary case.

Specifically, let fs denote the probability mass function of the serial interval of COVID-19, where the serial interval is defined as the time from illness onset in the primary case to time of illness onset in the secondary case.",2020-03-27
,2020-02-27,"Transmission potential of the novel coronavirus (COVID-19) onboard the Diamond Princess Cruises Ship, 2020",https://doi.org/10.1101/2020.02.24.20027649,medrxiv,Modeling,,,,,,,,An outbreak of COVID-19 developed aboard the Princess Cruises Ship during January-February 2020.,"As of February 22, 2020, two days after the scheduled two-week quarantine came to an end, a total of 621 symptomatic and .","Specifically, let f s denote the probability mass function of the serial interval of COVID-19, where the serial interval is defined as the time from illness onset in the primary case to time of illness onset in the secondary case.",2020-03-27
,2020-02-14,Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases,https://doi.org/10.3390/jcm9020523,J Clin Med,Time-to-event analysis,51.0,,,,,,,"Information on exported COVID-19 cases who were confirmed in other countries and deaths due to COVID-19 infection in China were retrieved from the first announcement date of the current outbreak (i.e., 31 December 2019) through 24 January 2020.",Our data include 51 cases diagnosed outside China who had illness onset through 24 January and were reported by 9 February 2020 and the dates of illness onset and death among 41 deceased cases in China.,"The value of the serial interval was adopted from a published study , and a gamma distribution was fitted to six known infector-infectee pairs (mean = 7.5 days, standard deviation [SD] = 3.4 days).

study , and a gamma distribution was fitted to six known infector-infectee pairs (mean = 7.5 days, standard deviation [SD] = 3.4 days).",2020-04-10
,2020-02-05,"Reporting, Epidemic Growth, and Reproduction Numbers for the 2019 Novel Coronavirus (2019-nCoV) Epidemic",https://doi.org/10.7326/m20-0358,Ann Intern Med,Other,16.0,,,,,,,"Based on previously published model estimates , the fraction of cases reported increased from 2.4% on 12 January 2020 to 11% on 18 January 2020 .","Our model suggests that (assuming R e remained close to 2.3 after the quarantine on 24 January 2020) reported cases increased to 59% by 31 January 2020 (9930 reported cases vs. 16 860 modeled cases) (1, 2) .",Serial interval is the average time between cases in a chain of transmission and is used to calculate the number of generations in an epidemic (time since epidemic start ÷ serial interval duration).,2020-04-03
,2020-02-02,Real time estimation of the risk of death from novel coronavirus (2019-nCoV) infection: Inference using exported cases,https://doi.org/10.1101/2020.01.29.20019547,medrxiv,Time-to-event analysis,51.0,,,,,,,"Information on exported COVID-19 cases who were confirmed in other countries and deaths due to COVID-19 infection in China were retrieved from the first announcement date of the current outbreak (i.e., 31 December, 2019) through 24 January, 2020.","Our data include 51 cases diagnosed outside China who had illness onset through 24 January, 2020 and were reported by 9 February, 2020 and the dates of illness onset and death among 41 deceased cases in China.","The value of the serial interval was adopted from a published study , and a gamma distribution was fitted to six known pairs of the infectee and infector (mean = 7.5 days, standard deviation (SD) = 3.4 days).",2020-03-27
,2020-01-24,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak",https://doi.org/10.1101/2020.01.23.916395,biorxiv,Modeling,,,,,,,,"We obtained the number of 2019-nCoV cases time series data in mainland China released by Wuhan Municipal Health Commission, China and National Health Commission of China from January 10 to January 24, 2020 from .",All data and materials used in this work were publicly available.,The 'SI' is serial interval.,2020-03-27
,2020,Serial interval of novel coronavirus (COVID-19) infections,https://doi.org/10.1016/j.ijid.2020.02.060,International Journal of Infectious Diseases,Case series,,,,,,,,Methods We collected dates of illness onset for primary cases (infectors) and secondary cases (infectees) from published research articles and case investigation reports.,"Of these, 12 pairs were family clusters.","where i represents the identity of each pair, (E R,i , E L,i ) is the interval for symptom onset of the infector and (S R,i , S L,i ) is the interval for symptom onset of the infectee.

Intervals are allowed for illness onset event so that the serial interval can be inferred even when we do not have exact dates of illness onset for infector-infectee pairs.

As the epidemic will continue to grow beyond our data collection cutoff point of 12 February 2020, it is possible that the naïve likelihood underestimates the serial interval as sampling during the early stage of the epidemic preferentially excludes infector-infectee pairs with longer serial intervals.

Limiting our data to only the most certain pairs, the median serial interval was estimated at 4.6 days (95% CrI: 3.5, 5.9).",2020-04-10
0,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://doi.org/10.1016/s1473-3099(20)30287-5,The Lancet Infectious Diseases,Retrospective Observational Study,infector-infectee pairs: 48 ,mean: 45,Nasal,"mean: 6.3; 95% CI: 5.2, 7.6",-,-,5/2/2020,,,,
1,2020-04-02,"Evolving epidemiology and transmission dynamics of coronavirus disease 2019 outside Hubei province, China: a descriptive and modelling study",https://www.medrxiv.org/content/10.1101/2020.02.21.20026328v1.full.pdf,MedRxiv,Retrospective Observational Study,clusters: 28,median: 44,-,"mean: 5.1; 95% CI: 1.3, 11.6",-,-,4/10/2020,,,,
2,2020-03-26,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",https://www.nejm.org/doi/10.1056/NEJMoa2001316,New England Journal of Medicine,Retrospective Observational Study,infector-infectee pairs: 6,median: 59; range:15-89,Respiratory,"mean: 7.5; 95% CI: 5.3, 19",-,-,4/10/2020,,,,
3,2020-03-24,Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries,https://www.medrxiv.org/content/10.1101/2020.03.21.20040329v1.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 689,mean: 46.26; range: 5 days-90,-,"mean: 6.70 95% CI: 6.31, 7.10",-,-,4/10/2020,,,,
4,2020-03-23,"Epidemiological and clinical characteristics of COVID-19 in Shenzhen, the largest migrant city of China",https://doi.org/10.1101/2020.03.22.20035246,medrxiv,Retrospective Observational Study,Infector-Infectee Pairs: 28,mean: 45.4,Sputum; blood; broncho-alveolar lavage; nasopharyngeal; oropharyngeal,"mean: 5.5; 95% CI: 4.1,7.0",-,-,5/2/2020,,,,
5,2020-03-15,Analysis on epidemiological characteristics of new-type coronavirus pneumonia family aggregation epidemic in Zhejiang Province,http://rs.yiigle.com/yufabiao/1184842.htm,Chinese Journal of Preventative Medicine,Retrospective Observational Study,infector-infectee pairs: 94,median: 48; IQR: 37-56,-,mean: 3.00; IQR: 1.00-6.00,-,-,4/25/2020,,,,
6,2020-03-12,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 12,range:10-35,Respiratory; Throat,"mean: 1.9; 95% CI: 0.4, 6.2",-,-,4/25/2020,,,,
7,2020-03-08,Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole,https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1.full.pdf,MedRxiv,Retrospective Observational Study,"clusters: 124, 50",median: 47 (1st generation); range: 21-73 (1st generation); median: 45 (2nd generation); range: 7-83 (2nd generation),-,mean: 4.1±3.3,-,-,4/10/2020,,,,
8,2020-03-06,Close contacts and household transmission of SARS-CoV-2 in China: a content analysis based on local Heath Commissions' public disclosures.,https://doi.org/10.1101/2020.03.02.20029868,medrxiv,Retrospective Observational Study,infector-infectee pairs: 643,-,-,mean: 4.95±5.24 (within household); mean: 5.19±5.28 (non-household),-,-,5/2/2020,,,,
9,2020-03-06,Transmission interval estimates suggest pre-symptomatic spread of COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1.full.pdf,MedRxiv,Retrospective Observational Study,patients: 93,-,-,"mean: 4.56; 95% CI: 2.69, 6.42",-,-,4/10/2020,,,,
10,2020-03-06,Transmission interval estimates suggest pre-symptomatic spread of COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1.full.pdf,MedRxiv,Retrospective Observational Study,patients: 135,-,-,"mean: 4.22; 95% CI: 3.42, 5.01",-,-,4/10/2020,,,,
11,2020-03-06,"Epidemiologic Characteristics of COVID-19 in Guizhou, China",https://www.medrxiv.org/content/10.1101/2020.03.01.20028944v1.full.pdf,MedRxiv,Retrospective Observational Study,clusters: 57,median: 37; range: 1 month-89,Respiratory,mean: 6.37±4.15,-,-,4/10/2020,,,,
12,2020-03-04,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",https://doi.org/10.1101/2020.03.03.20028423,medrxiv,Retrospective Observational Study,infector-Infectee pairs: 48,mean: 45,Nasal,"mean: 6.3; 95% CI: 5.2, 7.6",-,-,4/25/2020,,,,
13,2020-02-23,The serial interval of COVID-19 from publicly reported confirmed cases,https://www.medrxiv.org/content/10.1101/2020.02.19.20025452v4.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 468,mean: 45.2; range: 1-90 ,-,"mean: 3.96; 95% CI: 3.53, 4.39",-,-,4/10/2020,,,,
14,2020-02-13,Serial interval of novel coronavirus (2019-nCoV) infections,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf,International Journal of Infectious Diseases,Retrospective Observational Study,infector-infectee pairs: 28,-,-,"mean: 4.7; 95%CI: 3.7, 6.0",-,-,4/10/2020,,,,
15,2020-02-11,Estimation of the Time-Varying Reproduction Number of COVID-19 Outbreak in China,https://www.medrxiv.org/content/10.1101/2020.02.08.20021253v2.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 71,-,-,mean: 4.41±3.17,-,-,4/10/2020,,,,
