,Date,Study,Study Link,Journal,Method,Result,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-04-17,Pros and cons of the application of evolutionary theories to the evolution of SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7175784/,PMC,,,,,"article, we would raise and discuss several concerns regarding how the confounding factors would jeopardize the validity of the application of classic methods to analyze the SARS-CoV-2 data.",future science group 10 .2217/fvl-2020-0048,"The changes in viral RNA (by host cells) would permanently change its genetic information and be transmitted to the next 'generation', which is similar to genetic mutations in higher organisms.",2020-05-01
,2020-04-14,ACE 2 Coding Variants: A Potential X-linked Risk Factor for COVID-19 Disease,https://doi.org/10.1101/2020.04.05.026633,biorxiv,,,,,"The gnomAD database of human genetic variation catalogues coding variants from 141,456 88 adults without childhood-onset neurodevelopmental syndromes.","Though the rs4646116 (p.Lys26Arg) allele is found in 1 in 70 Ashkenazi Jewish males, and in 1 in 172 non-Finnish European males, this allele is found at higher frequencies in females.","20 Though little phenotypic detail is 89 available on participants, this database serves as a convenient reference of ""background"" human 90 genetic variation.",2020-04-17
,2020-04-11,What Has the COVID-19 Pandemic Taught Us so Far? Addressing the Problem from a Hepatologist’s Perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163687/,J Clin Transl Hepatol,,,,,Addressing the Problem from a Hepatologist’s Perspective,13 carried out the largest study in NCP patients that included 1099 patients from 552 Chinese hospitals.,"Moreover, the human genome is the basis for a large component of inter-individual phenotypic variability to disease.",2020-04-24
,2020-04-09,Coronavirus SARS‐CoV‐2: filtering fact from fiction in the infodemic: Q&A with virologist Professor Urs Greber,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164109/,FEBS Lett,,,,,"In fact, its affinity to ACE‐2 is higher than that of the SARS‐CoV‐1 RBD, as indicated in two recent studies .","In fact, its affinity to ACE‐2 is higher than that of the SARS‐CoV‐1 RBD, as indicated in two recent studies .","Unless reverse genetics is used to study the questionable mutations, correlations between genetic changes and phenotypic changes in the course of an epidemic or pandemic are indirect, and strong claims are not justified.",2020-04-24
,2020-03-31,Genotype and phenotype of COVID-19: Their roles in pathogenesis,https://doi.org/10.1016/j.jmii.2020.03.022,"Journal of Microbiology, Immunology and Infection",,,,,"Abstract COVID-19 is a novel coronavirus with an outbreak of unusual viral pneumonia in Wuhan, China, and then pandemic.",The genetic and phenotypic structure of COVID-19 in pathogenesis is important.,The genetic and phenotypic structure of COVID-19 in pathogenesis is important.,2020-04-10
,2020-03-27,Global transmission network of SARS-CoV-2: from outbreak to pandemic,https://doi.org/10.1101/2020.03.22.20041145,medrxiv,,,,,"We obtained the genomics data and associated metadata for this study from the Global Initiative on Sharing All Influenza Data (GISAID) database that hosts genetic datasets for SARS-CoV-2, which have been self-reported from multiple sources.","So far, two possible cases of virus transmission between US states could be identified: from Arizona to Texas (p e = 0.83) and from Washington to California (p e = 1).","The question whether this pattern is due to founder effects, epidemiological settings or differences in phenotypic features across SARS-CoV-2 genomic variants remains open and will require further investigation.",2020-04-03
,2020-03-11,Larger viral genome size facilitates emergence of zoonotic diseases,https://doi.org/10.1101/2020.03.10.986109,biorxiv,,,,,Peer-reviewed scientific literature was searched for reports on zoonotic viruses transmitted from animals to humans using the Web of Science electronic library database for published reports through 2019.,The total number of non-zoonotic viruses was reduced from 2088 to 1533 in this process.,Cross-species transmission for each viral particle is assumed to be a function of the phenotypic plasticity of the viral genome and the genetic variability produced during replication .,2020-03-27
,2020-03-04,A glimpse into the origins of genetic diversity in SARS-CoV-2,https://doi.org/10.1093/cid/ciaa213,Clin Infect Dis,,,,,"Near the end of 2019, the novel coronavirus SARS-CoV-2 began transmitting among humans.",Li and colleagues describe the genetic variability within 7 COVID-19 patients from China.,"Recombination, on the other hand, can increase genetic diversity by placing existing mutations into new genetic backgrounds.

Evolution requires genetic diversity, and genetic diversity arises from two distinct mechanisms: mutation and recombination.",2020-04-10
0,2020-05-31,Lymphopenic community acquired pneumonia as signature of severe COVID-19 infection.,https://doi.org/10.1016/j.jinf.2020.02.029,Journal of Infection,-,85% of patients critically ill showed lymphopenia. ICU patients suffering this infection had a median lymphocyte count of 800 cells/mm,-,4/25/20,,,,
1,2020-04-24,"Critical role of type III interferon in controlling SARS-CoV-2 infection, replication and spread in primary human intestinal epithelial cells",https://doi.org/10.1101/2020.04.24.059667,bioxriv,qPCR,"human intestinal epithelial cells fully support SARS-CoV-2 infection, replication and production of infectious de-novo virus particles. viral infection elicited an extremely robust intrinsic immune response where, interestingly, type III interferon mediated response was significantly more efficient at controlling SARS-CoV-2 replication and spread compared to type I interferon",patients: 3,5/11/20,,,,
2,2020-04-17,Distinct early IgA profile may determine severity of COVID-19 symptoms: an immunological case series,https://doi.org/10.1101/2020.04.14.20059733,medrxiv,Flow cytometry/peptide microarray,"Severe illness correlated with delayed, but broad SARS-CoV-2-specific IgA response",patients: 5,4/25/20,,,,
3,2020-04-17,Single-cell analysis of human lung epithelia reveals concomitant expression of the SARS-CoV-2 receptor ACE2 with multiple virus receptors and scavengers in alveolar type II cells,https://doi.org/10.1101/2020.04.16.045617,bioxriv,Single Cell RNA analysis/transcriptome analysis,ACE2-positive AT2 cells that co-express pathogen (including viral) receptors (e.g. DMBT1) with crucial roles in host defense thus comprising plausible phenotypic targets for treatment of COVID-19,patients: 19,4/25/20,,,,
4,2020-04-07,The phenotypic changes of γδ T cells in COVID-19 patients,https://doi.org/10.1101/2020.04.05.20046433,medrxiv,Flow Cytometry,increased expression of CD4 in γδ T cells may serve as a biomarker for the assessment of SARS-CoV-2 infection,patients: 56,4/8/20,,,,
5,2020-03-15,Zoonotic origins of human coronaviruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/,Int J Biol Sci,-,Deletion splits ORF8 into ORF8a and ORF8b and is thought to be an adaptive mutation that promotes the switch of hosts ,-,4/8/20,,,,
6,2020-03-06,The potential role of IL-6 in monitoring severe case of coronavirus disease 2019,https://doi.org/10.1101/2020.03.01.20029769,medrxiv,Peripheral Blood Test,"The decrease of IL-6 was closely related to treatment effectiveness, while the increase of IL-6 indicated disease exacerbation",patients: 69,4/25/20,,,,
