,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-04-26,Stability and infectivity of coronaviruses in inanimate environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190947/,World J Clin Cases,Modeling,,,,,,,,The references were systematically searched and reviewed on the homepage of the National Library of Medicine and the web of science without language limitations.,"After routine cleaning of the room, samples collected from another two patients were negative.","In 18 hospitalized patients with PCR-confirmed SARS-CoV-2 infection, viral shedding from the nasopharynx was prolonged for 7 d or longer (15/18, 83%).",2020-05-12
,2020-04-23,"Clinical and epidemiological features of COVID-19 family clusters in Beijing, China",https://doi.org/10.1016/j.jinf.2020.04.018,Journal of Infection,Retrospective observational,,,,,,,,"Epidemiological, demographic, clinical, and laboratory testing data were collected through a review of medical records.","On Jan 16th 2020, the index case (FA1) had a reunion dinner in Wuhan (4 out of 6 attendees at that dinner were later diagnosed with COVID-19) and returned home at midnight to join his wife (FA2) and three children (FA4, FA5 and FA6).","A prolonged period of virus shedding (>30 days) in upper respiratory tract was observed in 6/24 cases.

A prolonged period of virus shedding ( > 30 days) in upper respiratory tract was observed in 6/24 cases.",2020-05-01
,2020-04-22,Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review,https://doi.org/10.1101/2020.04.17.20069526,medrxiv,Systematic review,,,,,,,,Medline was searched to find articles published until 3 April 2020.,A total of 824 patients were included across the studies and 540 were tested for faecal viral RNA .,"The duration of viral shedding in the faeces is mostly reported from 1 to 33 days after a negative nasopharyngeal swab but can continue for up to 47 days after onset of symptoms in patients with COVID-19.

The duration for faecal shedding of viral RNA after clearance of respiratory samples ranged from 1 to 33 days and in 1 patient up to 47 days from symptom onset .",2020-05-12
,2020-04-22,A case series of children with Coronavirus Disease 2019: what have we learned?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188164/,Clin Infect Dis,Case series,,,,,,,,"HC, JF-WC, and K-YY had roles in the study design, data collection, data analysis, data interpretation, and writing of the manuscript.","As most of the large clinical cohorts of COVID-19 patients were focused on adult and elderly patients, the clinical characteristics of children with COVID-19 were not Among the four neonates born to women with laboratory-confirmed COVID-19 in the third trimester, only one neonate had virological confirmation of COVID-19 with positive pharyngeal RT-PCR result This was similar to the findings in a systematic investigation on perinatal transmission among 5 pregnant SARS patients and their neonates, in which none of the neonates developed SARS .",Viral RNA could be detected for up to 22 days in nasopharyngeal and throat swabs and more than 30 days in feces .,2020-05-12
,2020-04-22,Saliva is more sensitive for SARS-CoV-2 detection in COVID-19 patients than nasopharyngeal swabs,https://doi.org/10.1101/2020.04.16.20067835,medrxiv,Prospective observational,,,,,,,,"Using the U.S. CDC SARS-CoV-2 RT-PCR assay, we tested 121 self-collected saliva or healthcare worker-administered nasopharyngeal swabs from this cohort.","In longitudinal saliva collections from 12 patients, however, there were no instances in which a sample tested negative and was later followed by a positive result.",(a) Longitudinal SARS-CoV-2 titers from saliva or nasopharyngeal swabs are shown as days since symptom onset.,2020-05-01
,2020-04-22,Otolaryngology during COVID-19: Preventive care and precautionary measures,https://doi.org/10.1016/j.amjoto.2020.102508,American Journal of Otolaryngology,Other,,,,,,,,"Literatures on the epidemiology, clinical characteristics and infection control measures of COVID-19 were reviewed, practical knowledge from first-line otolaryngologists in China, the United States, and Brazil were reviewed and collated.","Literatures on the epidemiology, clinical characteristics and infection control measures of COVID-19 were reviewed, practical knowledge from first-line otolaryngologists in China, the United States, and Brazil were reviewed and collated.","Although SARS-CoV-2 mainly invades the lower respiratory tract, nasopharynx and oropharynx have been proved to have virus shedding .",2020-05-12
,2020-04-17,"Letter: Rongeurs, Neurosurgeons, and COVID-19: How Do We Protect Health Care Personnel During Neurosurgical Operations in the Midst of Aerosol-Generation From High-Speed Drills?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188110/,Neurosurgery,Other,,,,,,,,The Wuhan Blood Center and blood banks in the Hubei province started to test blood donations for SARS-CoV-2 RNA on February 10.,It was reported that up to 29% of the initial cohort of the confirmed infected novel coronavirus cases were medical staff.,"The viral load is high along the respiratory tract mucosa, including the nasal cavity, nasopharynx, and oropharynx.",2020-05-12
,2020-04-16,Sequential analysis of viral load in a neonate and her mother infected with SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184375/,Clin Infect Dis,Other,,,,,,,,"A 27-day old neonate and her mother were diagnosed with COVID-19 and hospitalized at Seoul Metropolitan Government-Seoul National University (SMG-SNU) Boramae Medical Center on March 8, 2020.",Laboratory findings were normal and serial chest radiographs were unremarkable.,"SARS-CoV-2 RNA was detected in the nasopharynx, oropharynx, stool, saliva, plasma, and urine.

SARS-CoV-2 RNA was detected in the neonate's clinical specimens from several sources including the nasopharynx, oropharynx, plasma, urine, stool, and saliva specimens ( Figure 1A ).",2020-05-12
,2020-04-15,The Time for Universal Masking of the Public for Coronavirus Disease 2019 Is Now,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179801/,Open Forum Infect Dis,Other,,,,,,,,"After an article in The New Yorker on March 21, 2020 by Dr. Atul Gawande encouraging this protective measure for HCWs in the United States based on experiences from Singapore and Hong Kong, the Boston hospitals mandated this measure for HCWs on March 22, 2020 , followed by hospitals around the country in quick succession.",A study detailing the clinical and virological characteristics of 5 patients in France showed that 2 patients had high viral loads of SARS-CoV-2 in nasopharyngeal secretions soon after symptom onset .,"Asymptomatic or presymptomatic (heretofore combined into the single term of “paucisymptomatic”) transmission of a respiratory virus requires shedding of viable virus in the oropharynx, nasopharynx, or other body fluids.",2020-05-01
,2020-04-15,COVID-19 and rhinology: A look at the future,https://doi.org/10.1016/j.amjoto.2020.102491,American Journal of Otolaryngology,Other,,,,,,,,Rhinologists from the Stanford University group have performed a valuable service by publicizing their communications with colleagues abroad and their experiences with COVID-19.,"There have been reports that during a transsphenoidal resection performed in China, all 14 individuals in the operating room, ranging from the surgeons to ancillary staff, contracted COVID-19 despite some of them using N95 masks and other PPE.","Otolaryngologists are considered high risk for contracting disease, as the virus resides in the nasal cavity, nasopharynx, and oropharynx.",2020-04-24
,2020-04-14,The intriguing features of COVID-19 in children and its impact on the pandemic,https://doi.org/10.1016/j.jped.2020.04.001,Jornal de Pediatria,Other,,,,,,,,"11, 13 Data from China looking at the risk of in utero transmission did not show any evidence of congenital infection with SARS-CoV-2 from mothers with COVID-19 pneumonia.","In the largest case series of pediatric patients reported to date, 2143 children with suspected or confirmed COVID-19 were included.","Despite being asymptomatic or oligosymptomatic, infected infants and children may have high viral loads in their nasopharynx, as well as fecal shedding of SARS-CoV-2 for longer periods.",2020-05-12
,2020-04-14,Group Testing for COVID-19: How to Stop Worrying and Test More,https://doi.org/,ArXiv,Other,,,,,,,,"In this article, we discuss the methodologies from the group testing literature and its relevance to COVID-19 diagnosis.","3 Here, we have utilized only 6 tests to diagnose 8 samples -a 25% reduction in the number of tests.","In practice, to test for COVID, swabs from nasopharynx or throat are taken.",2020-05-01
,2020-04-13,COVID-19 Diagnostic and Management Protocol for Pediatric Patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153362/,Clinics (Sao Paulo),Other,,,,,,,,"According to a case series of 2143 pediatric patients registered in the China Center for Disease Control and Prevention (CDC) database, 731 cases were confirmed using laboratory testing, 94 (4.4%) patients were asymptomatic, 1091 (50.9%) patients presented with mild symptoms, and 831 (38.8%) patients presented with moderate symptoms.","According to a case series of 2143 pediatric patients (3) registered in the China Center for Disease Control and Prevention (CDC) database, 731 cases were confirmed using laboratory testing, 94 (4.4%) patients were asymptomatic, 1091 (50.9%) patients presented with mild symptoms, and 831 (38.8%) patients presented with moderate symptoms.","The virus can be detected in upper airway or inferior airway secretions (nasopharynx swab or tracheal aspirates [if intubated], sputum, and bronchoalveolar lavage), blood, urine, and stool .",2020-04-17
,2020-04-08,Anaesthesia and COVID-19: infection control,https://doi.org/10.1016/j.bja.2020.03.025,British Journal of Anaesthesia,Other,,,,,,,,"1 On December 30, 2019, the first bronchoalveolar samples of a novel pneumoniacausing virus were extracted from a patient in Wuhan Jinyintan Hospital in China.",The most detailed description of the clinical characteristic of COVID-19 patients derives from a cohort study of 1099 patients with laboratory confirmed infections across mainland China.,"1 Prolonged viral RNA shedding has been reported in a virologic assessment of 18 patients in Singapore, with a median (range) duration of viral RNA shedding from the nasopharynx of 12 days (1e24).",2020-05-12
,2020-04-08,"Diarrhea during COVID-19 infection: pathogenesis, epidemiology, prevention and management",https://doi.org/10.1016/j.cgh.2020.04.001,Clinical Gastroenterology and Hepatology,Case series,,,,,,,,"Methods We searched on PubMed, EMBASE, and Web of Science up to March 2020 to identify studies documenting diarrhea and mechansism of intestinal inflammation in patients with confirmed diagnosis of SARS-CoV-2 infection.","One hundred eighty-three patients were included, and diarrhea was detected in 68 cases (37.1%).",Several reports indicate viral RNA shedding in stool detectable longer time period than in nasopharyngeal swabs.,2020-04-10
,2020-04-06,Epidemiology and clinical features of coronavirus disease 2019 in children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170785/,Clin Exp Pediatr,Case series,,,,,,,,"A study reported 20 pediatric COVID-19 patients admitted to the Wuhan Children’s Hospital in China between January 23 and February 8, 2020.","By March 11, 2020, 167 patients were confirmed to have COVID-19, 6 (3.6%) of whom were children who were 6 months, 1 year, 2 years, 5 years, 12 years, and 17 years of age.","Prolonged shedding of viral RNA in the feces was observed for 18–30 days in 5 patients .

Prolonged shedding of viral RNA in the feces was observed for 18-30 days in 5 patients.",2020-05-01
,2020-04-03,SARS-CoV-2 and COVID-19,https://doi.org/10.1016/j.jmii.2020.03.033,"Journal of Microbiology, Immunology and Infection",Other,,,,,,,,"analyzed all the available data of confirmed cases of COVID-19 from January 20, 2020 until February 18, 2020 worldwide.","analyzed all the available data of confirmed cases of COVID-19 from January 20, 2020 until February 18, 2020 worldwide.","found that near 30% patients with recovery of COVID-19 had viral shedding in their stool but no viral shedding in respiratory specimens, and 75% of these patients were children.",2020-05-12
,2020-04-01,Clinical Course and Outcomes of Patients with Severe Acute Respiratory Syndrome Coronavirus 2 Infection: a Preliminary Report of the First 28 Patients from the Korean Cohort Study on COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7131901/,J Korean Med Sci,Retrospective observational,,,,,,,,"Patients were hospitalized in the isolation units in each hospital from January 19th, 2020, with final follow-up for the study on February 17th, 2020.",The study population included 28 hospitalized patients with confirmed COVID-19.,"Viral shedding was high from day 1 of illness, especially from the upper respiratory tract (URT).

Viral shedding from URT was high from the prodromal phase.

Viral shedding was high during the first 5 days of illness and higher in URT than LRT.",2020-04-10
,2020-04-01,An Uncomplicated Delivery in a Patient with Covid-19 in the United States,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153431/,N Engl J Med,Other,,,,,,,,Clinical specimens for COVID-19 were obtained with flock mini swabs of the nasopharynx and oropharynx and placed in 3 mL BD Universal viral transport media.,"During her labor course, tests for Covid-19 were determined to be positive 21 hours after samples were obtained.","Newborn swabs were taken from the nasopharynx, oropharynx, oral mucosa, skin surface and rectum right after delivery.",2020-04-17
,2020-03-30,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,ACS Nano,Other,,,,,,,,"29, 30 According to the joint report by the World Health Organization (WHO) and China, 104 strains of the SARS-CoV-2 virus were isolated and sequenced using Illumina and Oxford nanopore sequencing from the end of December 2019 to mid-February 2020.","2 Patients were scanned using computed tomography (CT), which revealed varied opacities (denser, more profuse, and confluent) in comparison to images of healthy lungs.","40 Upper respiratory tract samples include nasopharyngeal swabs, oropharyngeal swabs, nasopharyngeal washes, and nasal aspirates.",2020-04-17
,2020-03-26,Gastrointestinal Infection Could Be New Focus for Coronavirus Diagnosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7186097/,PMC,Systematic review,,,,,,,,"We conducted a comprehensive systematic literature search of online databases, including PubMed, Embase, Web of Science, WanFang Data, and CNKI, from December 2019 to February 2020, to identify all case studies.","examined the viral RNA in feces from 71 patients with confirmed COVID-19 during their hospitalization from February 1-14, 2020 .",Assessment by polymerase chain reaction (PCR) has provided evidence of the virus in the stool and the oropharynx outside the nasopharynx and respiratory tract.,2020-05-12
,2020-03-24,Assessing Viral Shedding and Infectivity of Tears in Coronavirus Disease 2019 (COVID-19) Patients,https://doi.org/10.1016/j.ophtha.2020.03.026,Ophthalmology,Other,,,,,,,,"4 Clinical data, including age, gender, symptoms, and nasopharyngeal swab results, were collected from electronic health records and were correlated with RT-PCR results.","In a study of 1099 COVID-19 patients, only 0.8% showed conjunctival congestion.","Viral load detected in nasal and throat swabs have been shown to be elevated for a period of approximately 2 weeks from the onset of COVID-19 symptoms.

In this study, viral shedding in tears was compared with nasopharyngeal swab sample results during the course of COVID-19 infection.",2020-04-17
,2020-03-21,Respiratory disease and virus shedding in rhesus macaques inoculated with SARS-CoV-2,https://doi.org/10.1101/2020.03.21.001628,biorxiv,Other,,,,,,,,"An outbreak of a novel coronavirus, now named SARS-CoV-2, causing respiratory disease and a ~2% case fatality rate started in Wuhan, China in December 2019.","Pulmonary infiltrates, a hallmark of human disease, were visible in lung radiographs of all animals.",High viral loads were detected in swabs from the nose and throat of all animals as well as in bronchoalveolar lavages; in one animal we observed prolonged rectal shedding.,2020-03-27
,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Other,,,,,,,,"We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","1 (A) , the viral shedding (from positive to negative) time of SARS-CoV-2 of nasal swab was significantly longer than that of blood ( p = 0.0 0 0) and saliva ( p = 0.05).

The viral shedding time of SARS-CoV-2 of nasal swab was 15.67 ±6.68 days in non-ICU group and 22.25 ±3.62 days in ICU group.",2020-04-24
,2020-03-16,First Pediatric Case of Coronavirus Disease 2019 in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086086/,J Korean Med Sci,Other,,,,,,,,"On February 5, 2020, her mother was confirmed with COVID-19.","Among 3,526 confirmed cases, as of March 1, 2020, 164 children and adolescents under 20 years of age were diagnosed with COVID-19, comprising approximately 4.7% of the total confirmed cases.","Viral tests were positive in the samples from nasopharynx, throat, and stool ( Fig.",2020-04-03
,2020-03-10,Clinical Characteristics on 25 Discharged Patients with COVID-19 Virus Returning,https://doi.org/10.1101/2020.03.06.20031377,medrxiv,Other,,,,,,,,"Other demographic, clinical, radiologic and laboratory findings were extracted from the electronic medical records of the patients.",All these 25 patients with COVID-19 infection were once hospitalized from Jan 23 th 2020 to Feb 21 th 2020.,"With 14/25 of cloacal swab samples and rest of Nasal Swabs or oropharynx swab samples testing, these patients presented the repeated positive COVID-19 mRNA within 3 (2-7) days after the hospital.",2020-03-27
,2020-03-08,Clinical presentation and virological assessment of hospitalized cases of coronavirus disease 2019 in a travel-associated transmission cluster,https://doi.org/10.1101/2020.03.05.20030502,medrxiv,Other,,,,,,,,"All patients were treated in a single hospital in Munich, Germany.","For instance, only 38 of 98 nasal or nasopharyngeal swab samples tested positive by RT-PCR in SARS patients in Hong Kong 15 .","Pharyngeal virus shedding was very high during the first week of symptoms (peak at 7.11 X 10 8 RNA copies per throat swab, day 4).",2020-03-27
,2020-03-06,Restoration of leukomonocyte counts is associated with viral clearance in COVID-19 hospitalized patients,https://doi.org/10.1101/2020.03.03.20030437,medrxiv,Other,,,,,,,,"The role of leukomonocytes in viral clearance of COVID-19 patients is not yet well defined.Methods: From January 26 to February 28, 2020, an observational study was launched at Zhongnan Hospital of Wuhan University, Wuhan, China.","We enrolled 25 laboratory-confirmed COVID-19 patients, whose throat-swab specimens were tested positive for SARS-CoV-2 infection by qRT-PCR.",the shedding of SARS-CoV-2 in saliva continued up to 11 days .,2020-03-27
,2020-02-28,A Case Series of children with 2019 novel coronavirus infection: clinical and epidemiological features,https://doi.org/10.1093/cid/ciaa198,Clin Infect Dis,Case series,,,,,,,,"Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.","Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.",Prolonged virus shedding is observed in respiratory tract and feces at the convalescent stage.,2020-04-10
,2020-02-20,Viral Load Kinetics of SARS-CoV-2 Infection in First Two Patients in Korea,https://doi.org/10.3346/jkms.2020.35.e86,J Korean Med Sci,Other,,,,,,,,"Patient 2 was a 55-year-old Korean man, who had been working at Wuhan, China, arrived in Korea via Shanghai on January 22, 2020.",,The virus was detected from URT specimens on day 2 of symptom onset.,2020-03-27
,2020-02-12,Consistent Detection of 2019 Novel Coronavirus in Saliva,https://doi.org/10.1093/cid/ciaa149,Clin Infect Dis,Other,,,,,,,,"In December 2019, a SARS-CoV-like coronavirus, the 2019 novel coronavirus (2019-nCoV), has emerged in Hubei Province of China and has spread rapidly in mainland China and to other parts of the world .",A total of 12 patients with laboratory-confirmed 2019-nCoV infection in Hong Kong were included.,"For patient B, viral shedding in saliva was still detected on day 11 after hospitalization.",2020-04-10
,2020-02-04,A precision medicine approach to managing 2019 novel coronavirus pneumonia,https://doi.org/10.1093/pcmedi/pbaa002,Precis Clin Med,Other,,,,,,,,"The National Health Commission issued a guidance on 27 January 2020, to remind medical institutions of the importance of chest CT and pathogen detection in diagnosing the virus.","As of 29 January 2020, the virus had been diagnosed in more than 7000 patients in China and 77 patients in other countries.","(iii) Laboratory experts should collect secretions from the palatine arch, pharynx, and tonsils with flocked swabs.",2020-03-27
,2020,Analysis of 8 274 cases of new coronavirus nucleic acid detection and co-infection in Wuhan,https://doi.org/,Chinese Journal of Laboratory Medicine,Cross-sectional,,,,,,,,"Methods A total of 8 274 cases in Wuhan were enrolled in this cross-sectional study during January 20 to February 9, 2020, and were tested for 2019-nCoV using fluorescence quantitative PCR.","Methods A total of 8 274 cases in Wuhan were enrolled in this cross-sectional study during January 20 to February 9, 2020, and were tested for 2019-nCoV using fluorescence quantitative PCR.","Both respiratory tract samples (nasopharynx, oropharynx, sputum and alveolar lavage fluid) and non-respiratory tract samples (urine, feces, anal swabs, blood and conjunctival sac swabs) were collected.",2020-03-27
0,2020-04-03,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620305663?casa_token=At8bltLokFMAAAAA:EZEVZRa9aH-LFUs4mrJsE45Ww8EnPcCGZrdB5MSV0IcEPfmVchwvUSgkDGHIkIj6qO6JvYxH8Lw,The Lancet,Retrospective cohort,Nasopharyngeal,RT-PCR confirmed,median: 20; range: 8-37,-,Median shedding with lopinavir/ritonavir = 22 days; median in severe cases = 22 days; median in critical cases = 24 days,patients: 29,04/13/2020,,,,
1,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://www.medrxiv.org/content/10.1101/2020.03.28.20043059v1,medRxiv,Prospective Cohort,Nasopharyngeal,RT-PCR confirmed,median: 10,-,Viral titers of nasal-throat swabs peaked at 6-9 DAO,patients: 23,04/09/2020,,,,
2,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective Cohort,Nasopharyngeal,qRT-PCR confirmed,median: 12; range: 3-38,-,Nasophayngeal is a major shedding area.,patients: 67,04/13/2020,,,,
3,2020-03-19,Viral dynamics in mild and severe cases of COVID-19,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30232-2/fulltext,The Lancet Infectious Disease,Prospective Cohort,Nasopharyngeal,RT-PCR confirmed,mean: 15,-,"Mild illness cleared by ~10 DAO, severe cases last longer.",patients: 76; severity: mild,04/13/2020,,,,
4,2020-03-19,Viral dynamics in mild and severe cases of COVID-19,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30232-2/fulltext,The Lancet Infectious Disease,Prospective Cohort,Nasopharyngeal,RT-PCR confirmed,mean: 25,-,"Mild illness cleared by ~10 DAO, severe cases last longer.",patients: 76; severity: severe,04/13/2020,,,,
5,2020-03-15,Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098032/,International Journal of Biological Sciences,Prospective Cohort,Nasopharyngeal,RT-PCR confirmed,mean: 24,-,Average RNA conversion time for NPS is 18.2 days (SD: 4.6),patients: 10,04/13/2020,,,,
6,2020-03-03,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,https://doi.org/10.1001/jama.2020.3204,JAMA,Descriptive case series,Nasopharyngeal,RT-PCR confirmed,median: 12; range: 1-24,-,83% of patients had nasopharynx viral shedding >7 days,patients: 18,04/08/2020,,,,
