,Date,Study,Study Link,Journal,Study Type,Method,R0,Other,Measure of Evidence,Added on
12,2020-04-01,Forecasting COVID 19 growth in India using Susceptible-Infected-Recovered (S.I.R) model,https://arxiv.org/abs/2004.00696,arXiv,Simulation,SIR,,Effective contact rate=0.35; effective contact rate after lockdown=0.26,countries: India,2020-05-13
13,2020-04-01,Early behavior of Madrid Covid-19 disease outbreak: A mathematical model,https://doi.org/10.1101/2020.03.30.20047019,medRxiv,Simulation,SIR,R0= in early period 2.22 (+/- 1.21 SD).,"Increase of 0.093 (+/- 0.037, p=0.025) in R0 value each day of outbreak is found.","countries: Spain, Italy, and France",2020-05-15
14,2020-04-01,Transmission Dynamics and Control Methodology of COVID-19: a Modeling Study,https://www.medrxiv.org/content/10.1101/2020.03.29.20047118v1.full.pdf,medRxiv,Simulation,SEIR-HC,7.9,"Latent period=4.19 days, Infectious period=12.53 days",countries: China,2020-04-07
15,2020-03-31,Investigating the Impact of Asymptomatic Carriers on COVID-19 Transmission,https://doi.org/10.1101/2020.03.18.20037994,medRxiv,Simulation,SEYAR,mean 15.4; range [5.5;25.4],,,2020-05-15
16,2020-03-31,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164555/,Science,Simulation,Bayesian Approach,"2.1 (95% CI 1.7,2.5)",-,countries: China,2020-05-02
17,2020-03-27,COVID-19 outbreak in Algeria: A mathematical Model to predict cumulative cases,https://www.medrxiv.org/content/10.1101/2020.03.20.20039891v2.full.pdf,medRxiv,Simulation,Alg-COVID-19,"2.55 (95% CI 2.15, 2.93)",-,countries: Algeria,2020-04-25
18,2020-03-26,Estimating unobserved SARS-CoV-2 infections in the United States,https://doi.org/10.1101/2020.03.15.20036582,medRxiv,Simulation,Stochastic simulation model,,"Local infections cumulatively in the US by March 12= 22,876 (95% PPI: 7,451 - 53,044). By March 12, probability of detecting local symptomatic infections=0.77  (95% PPI: 0.29 - 1.00); probability of detecting imported symptomatic infections= 0.39 (95% PPI: 0.15 - 0.90).",countries: United States,2020-05-14
19,2020-03-16,Strongly heterogeneous transmission of COVID-19 in mainland China: local and regional variation.,https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1.full.pdf,medRxiv,Simulation,Markov Chain Monte Carlo,-,Serial Interval=4.8 days,countries: China,2020-04-25
20,2020-03-14,Modeling the dynamics of novel coronavirus (2019-nCov) with fractional derivative,https://www.sciencedirect.com/science/article/pii/S1110016820300971?via%3Dihub,Alexandria Engineering Journal,Simulation,Integer Order with Atangana-Baleanu,2.4829,-,countries: China,2020-04-07
21,2020-03-14,Inferring the number of COVID-19 cases from recently reported deaths,https://doi.org/10.1101/2020.03.10.20033761,medRxiv,Simulation,Poisson Regression,,"estimates of numbers of reported cases: Italy (median: 1 294 ; QI50%: [390 ; 3 034]; reported: 2 037), France (median: 592 ; QI50%: [177 ; 1 705]; reported: 190) and Spain, (median: 202 ; QI50%: [95 ; 823]; reported 202).","countries: Spain, Italy, and France",2020-05-15
22,2020-03-12,Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan China through status dynamic modeling,https://www.medrxiv.org/content/10.1101/2020.03.10.20032995v1.full.pdf,medRxiv,Simulation,SEIO (MH),"2.65 before lockdown, 1.98 after lockdown",-,countries: China,2020-04-15
23,2020-03-06,Risk estimation and prediction by modeling the transmission of the novel coronavirus (COVID-19) in mainland China excluding Hubei province,https://www.medrxiv.org/content/10.1101/2020.03.01.20029629v2.full.pdf,medRxiv,Simulation,Markov Chain Monte Carlo,"3.36 (95% CI 3.20, 3.64)",-,countries: China,2020-04-07
24,2020-03-03,Relations of parameters for describing the epidemic of COVID―19 by the Kermack―McKendrick model,https://www.medrxiv.org/content/10.1101/2020.02.26.20027797v1.full.pdf,medRxiv,Simulation,Kermack-McKendrick,-,"Serial Interval=0.52 weeks, Infectious Period=1 week",countries: China,2020-04-07
25,2020-03-03,Estimating the basic reproduction number of COVID-19 in Wuhan China,http://rs.yiigle.com/yufabiao/1183327.htm,Chinese Journal of Epidemiology,Simulation,Exponential Growth,"3.49 (95% CI: 3.42, 3.58) before closure, 2.95 (95% CI 2.86, 3.03) after closure",-,countries: China,2020-04-07
26,2020-02-29,Infection Dynamics of Coronavirus Disease 2019 (Covid-19) Modeled with the Integration of the Eyring Rate Process Theory and Free Volume Concept,https://www.medrxiv.org/content/10.1101/2020.02.26.20028571v2.full.pdf,medRxiv,Simulation,SIR and SEIR,"MSEIR R0=3.5, MSIR R0=1.5",-,countries: China,2020-04-07
27,2020-02-28,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7047374/,Infectious Disease of Poverty,Simulation,Reservoir-People (derived from Bats-Hosts-Reservoir-People model),"reservoir to person=2.30, person to person=3.58",-,countries: China,2020-04-07
28,2020-02-20,The reproductive number R0 of COVID-19 based on estimate of a statistical time delay dynamical system,https://doi.org/10.1101/2020.02.17.20023747,medRxiv,Simulation,Time delay dynamic model,3.25 ≤ R0 ≤ 3.4,,countries: China,2020-05-15
29,2020-02-20,Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study,https://www.medrxiv.org/content/10.1101/2020.02.18.20024315v1,medRxiv,Simulation,Poisson Loss Function,"3.39 (95% CI 3.09, 3.70)",-,countries: China,2020-04-15
30,2020-02-18,Early dynamics of transmission and control of COVID-19: a mathematical modelling study,https://doi.org/10.1101/2020.01.31.20019901,medRxiv,Simulation,Geometric random walk process,,"median daily reproduction number, Rt:  one week before travel restriction 2.35 (95% CI: 1.15-4.77);  one week after travel restriction 1.05 (95% CI: 0.413-2.39)",countries: China,2020-05-15
31,2020-02-11,Assessing the Tendency of 2019-nCoV (COVID-19) Outbreak in China,https://www.medrxiv.org/content/10.1101/2020.02.09.20021444v4.full.pdf,medRxiv,Simulation,flow SEHIR,3.56 (95% CI: 2.31-4.81),-,countries: China,2020-04-07
32,2020-02-05,Reporting Epidemic Growth and Reproduction Numbers for the 2019 Novel Coronavirus (2019-nCoV) Epidemic,https://annals.org/aim/fullarticle/2760912/reporting-epidemic-growth-reproduction-numbers-2019-novel-coronavirus-2019-ncov,Annals of Internal Medicine,Simulation,Disease-Transmission,2.3,Serial interval=7days,countries: China,2020-04-15
33,2020-01-28,Novel coronavirus 2019-nCoV: early estimation of epidemiological parameters and epidemic predictions,https://doi.org/10.1101/2020.01.23.20018549,medRxiv,Simulation,SEIR,"3.11 (95%CI, 2.39-4.13)",,countries: China,2020-05-15
