,Date,Study,Study Link,Journal,Surface,Does Virus persist on surface,Hydrophobic or Hydrophilic,Time of persistence,Design,Sample,Study Population,Sample Text,Matches,Entry
,2020-04-30,Preparing for the Perpetual Challenges of Pandemics of Coronavirus Infections with Special Focus on SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189398/,Coronavirus Disease 2019 (COVID-19),,,,,Modeling,24,"Wells and coworkers in their study in Proceedings of Natural Academy of Sciences used daily incidence data of COVID-19 outbreak from China from December 8, 2019, to February 15, 2020, as well as airline network data, to predict the number of exported cases with and without measures of travel restriction and screening.",The relevance of case isolation and contact tracing are highlighted in a study by Hu and coworkers where they have performed a clinical characterization of 24 asymptomatic patients—confirming infection by a laboratory-confirmed positive for the COVID-19 virus nucleic acid from pharyngeal swab samples.,"It has been estimated that CoV-2 in an aerosol (<5 μm, similar to those observed in samples obtained from the upper and lower respiratory tract in humans) was viable for up to 3 h, up to 4 h on copper surfaces, up to 24 h on cardboard, and 2–3 days on plastic and stainless steel (van Doremalen et al.

It has been estimated that CoV-2 in an aerosol (<5 μm, similar to those observed in samples obtained from the upper and lower respiratory tract in humans) was viable for up to 3 h, up to 4 h on copper surfaces, up to 24 h on cardboard, and 2-3 days on plastic and stainless steel (van Doremalen et al.",2020-05-12
,2020-04-30,Covid-19 cases in a no-Covid-19 geriatric acute care setting. A sporadic occurrence?,https://doi.org/10.1016/j.ejim.2020.04.058,European Journal of Internal Medicine,,,,,Other,12,Data were collected in a fully anonymized and pooled way using the hospital electronic chart.,Twelve individuals (34.3%) underwent only one test.,"Moreover, recent data demonstrated also that, after its first contact, coronavirus can be found on plastic, stainless steel, and cardboard surfaces even for 72, 48 and 24 hours, respectively, thus allowing the nosocomial spread of disease in the absence of an appropriate sanitization .",2020-05-12
,2020-04-30,Are we ready for the new coronavirus?,https://doi.org/10.1016/j.arbr.2020.02.003,Archivos de Bronconeumología (English Edition),,,,,Other,76,"On 7 January 2020, a new coronavirus is identified as the cause: 2019-nCoV, renamed COVID-19 by the World Health Organization (WHO) on 11 February 2020.","According to the Spanish Ministry of Health, as of 21 February, COVID-19 has accounted for 76 259 cases and 2247 deaths, representing an overall mortality of 2.9%, although in hospitalized patients it ranges between 4.3 2 and 11% 3 .","Transmission through infected surfaces is likely; human coronaviruses persist on metals, glass, or plastics for more than 9 days.",2020-04-10
,2020-04-30,Validation of N95 filtering facepiece respirator decontamination methods available at a large university hospital,https://doi.org/10.1101/2020.04.28.20084038,medrxiv,,,,,Other,,We conducted a single experiment with ethylene oxide and MS2 with triplicate coupons.,"Total grams of VHP used in Condition 1 were 1,319.","N95 respirators or respirator coupons were clipped to wire racks using metal binder clips strung on wire attached to a metal framed rack (clothesline style), keeping the respirators from overlapping.

N95 respirators or respirator coupons were clipped to wire racks using metal binder clips strung on wire attached to a metal framed rack.",2020-05-12
,2020-04-29,"Nurture to nature via COVID-19, a self-regenerating environmental strategy of environment in global context",https://doi.org/10.1016/j.scitotenv.2020.139088,Science of The Total Environment,,,,,Other,701838,"(Child, 2020; Bhattacharyya, 2020) .","On the other hand, due to casual follow up of this social move and many other reasons such as low immunity, ageing, comorbidities, the disease has infected 2,573,605 people so far, out of which 701,838 individuals have recovered and 178,562 have lost their lives (CDC, 2020; WHO, 2020a) .","Similarly, the virus can sustain on glass and banknote surfaces for 4 days and on stainless stills and plastics for 7 days.",2020-05-01
,2020-04-28,Perioperative preparations for COVID -19 -The Pediatric Cardiac Team Perspective,https://doi.org/10.1053/j.jvca.2020.04.032,Journal of Cardiothoracic and Vascular Anesthesia,,,,,Modeling,40,"40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.","40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.","40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.",2020-05-01
,2020-04-28,Scalable In-hospital Decontamination of N95 Filtering Facepiece Respirator with a Peracetic Acid Room Disinfection System,https://doi.org/10.1101/2020.04.24.20073973,medrxiv,,,,,Modeling,3,Twenty new respirators were tested from 2 different lots available from the hospital inventory.,"Three samples were cut from elastic straps of two masks at each sterilization cycle (0, 3 and 5 cycles), resulting in a sample size of 6 per group.",The test N95 respirators were suspended using metallic 'S' shaped hooks from metal wire shelving carts at a height of 6ft (height of the tallest shelf) and exposed to PAA submicron droplets.,2020-05-01
,2020-04-28,A proposal for the return to routine endoscopy during the COVID-19 pandemic,https://doi.org/10.1016/j.gie.2020.04.050,Gastrointestinal Endoscopy,,,,,Other,10000,Population-screening data from Iceland suggests that up to 43% of COVID-19 patients are asymptomatic at the time of diagnosis.,"Comparatively, in a higher-prevalence population of 2%, there would be 10 false negative results per 10,000 patients.","This risk is extended to clerical and cleaning staff because SARS-CoV-2 has been demonstrated to easily contaminate a patient's surroundings, including sinks, light switches, and doors, 21 and is viable on plastics and stainless steel for hours.",2020-05-01
,2020-04-26,Letter: The Risk of COVID-19 Infection During Neurosurgical Procedures: A Review of Severe Acute Respiratory Distress Syndrome Coronavirus 2 (SARS-CoV-2) Modes of Transmission and Proposed Neurosurgery-Specific Measures for Mitigation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188127/,Neurosurgery,,,,,Other,2,"In a study of 1070 specimens from 205 inpatients with proven COVID-19, SARS-CoV-2 ribonucleic acid (RNA) could be detected in 93% of bronchoalveolar lavage fluid specimens, 72% of sputum, 63% of nasal swabs, 46% of fibrobronchoscope brush biopsies, 32% of pharyngeal swabs, 29% of feces, and 1% of blood samples.","2 By March 30, more than 782 365 confirmed cases were reported and a third of the world population were living in confinement to try to contain the virus.","26 Once outside of the contaminated host, SARS-CoV-2 virions have a half-life of 1.1 h in aerosols, 3.5 h on cardboard, 5.6 h on stainless steel, and 6.8 h on plastic.",2020-05-12
,2020-04-26,Project 1000 x 1000: Centrifugal melt spinning for distributed manufacturing of N95 filtering facepiece respirators,https://doi.org/,ArXiv,,,,,Other,3,for filtration testing were excised from this compacted material.,"Using incense smoke as a source of particles primarily in the 0.3 µm diameter range, we found that material produced by our CMS process enabled filtration efficiencies that exceeded 95% on average for three independently compacted samples.","In particular, metal and cardboard were found capable of imparting negative charges on polypropylene samples, while polystyrene sheets had the opposite effect.",2020-05-01
,2020-04-24,Being a front-line dentist during the Covid-19 pandemic: a literature review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180678/,Maxillofac Plast Reconstr Surg,,,,,Other,,The disease caused by the 2019 novel coronavirus (2019-nCoV) was called Covid-19 by the World Health Organization in February 2020.,The disease caused by 2019-nCoV was called Covid-19 by the WHO in February 2020 .,"Research has shown that coronaviruses can remain on metal, glass, and plastic surfaces for several days .",2020-05-01
,2020-04-22,Isothermal evaporation rate of deposited liquid aerosols and the SARS-CoV-2 coronavirus survival,https://doi.org/,ArXiv,,,,,Modeling,2,Then we compare them with experimental data .,"Then, for the two limiting cases of evaporation of a viral liquid sample, we have the following equations for the dynamics of the virus population.","The survival rate of the coronavirus culture was evaluated for polypropylene, stainless steel from AISI 304 alloy, copper and cardboard.

Deposition of liquid samples consisting of water with the coronavirus culture on a surface of various materials is common in everyday life and medicine (plastic, cardboard, stainless steel).

Then for stainless steel substrate (λ s = 16.2 W/(m K)) and polypropylene one (λ s = 0.22 W/(m K)), the evaporation time of a liquid layer with a thickness of 3.7 mm on plastic is equal to 3190 seconds, and on stainless steel is about 1850 seconds.

Thus, it was experimentally measured that the lifetime of the virus was approximately 50 hours on a plastic substrate, was 24 hours on a cardboard substrate, was 30 hours on a) stainless steel substrate, and was 5 hours on a copper substrate .

Therefore, only simulation results for stainless steel substrate and plastic one can be correctly compared.",2020-05-01
,2020-04-22,Aerosol Barrier Hood for Use in the Management of Critically Ill Adults With COVID-19,https://doi.org/10.1016/j.annemergmed.2020.04.030,Annals of Emergency Medicine,,,,,Other,,,,"The hood is designed using ½ inch polyvinyl chloride (PVC) pipe, commonly available PVC fittings, 1 x 60 inch straps with buckles, and 95-gallon clear plastic bags (Figure 1) .",2020-04-24
,2020-04-21,Coronaviruses and SARS-COV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195990/,Turk J Med Sci,,,,,Other,44,"On 13 January 2020, the Ministry of Public Health of Thailand reported the first imported case of lab-confirmed novel coronavirus (2019-nCoV) from Wuhan, Hubei Province, China.","From 31 December 2019 through 3 January 2020, a total of 44 patients with a pneumonia of unknown aetiology were reported to WHO by the national authorities in China.","With the median half-life estimate for SARS-CoV-2 being around 13 h on stainless steel and around 16 h on polypropylene, both viruses exhibit relatively long viability on these surfaces compared to copper or cardboard .

Both viruses could be detected in aerosols up to 3 h postaerosolization, up to 4 h on copper, up to 24 h on cardboard and up to 2 to 3 days on plastic and stainless steel.

Both viruses could be detected in aerosols up to 3 h post-aerosolization, up to 4 h on copper, up to 24 h on cardboard and up to 2 to 3 days on plastic and stainless steel.",2020-05-12
,2020-04-21,Applications of 3D Printing Technology to Address COVID-19 Related Supply Shortages,https://doi.org/10.1016/j.amjmed.2020.04.002,The American Journal of Medicine,,,,,Other,,"China on December 8, 2019.","China on December 8, 2019.","3D printers can design the different elements of the valve using biomaterials such as polyamide and polysulfone, polycarbonate, silicone rubber and stainless steel .",2020-04-24
,2020-04-20,Physical interventions to interrupt or reduce the spread of respiratory viruses. Part 2 - Hand hygiene and other hygiene measures: systematic review and meta-analysis.,https://doi.org/10.1101/2020.04.14.20065250,medrxiv,,,,,Systematic review,16,"DATA SOURCES: Eligible trials from the previous Cochrane review, search of the Cochrane Central Register of Controlled Trials, PubMed, Embase and CINAHL from 01 October 2010 to 01 April 2020, and forward and backward citation analysis of included studies.","The review by Warren-Gash, 2013 included 16 studies (10 were randomised trials), showed mixed results with inconclusive.","Studies on the major coronavirus pathogens including SARS-CoV-2, indicate that they are relatively persistent on surfaces such as wood, glass, metal, and especially plastic, with viability maintained from 4 hours to 9 days and .",2020-04-24
,2020-04-17,Risks of viral contamination in healthcare professionals during laparoscopy in the Covid-19 pandemic,https://doi.org/10.1016/j.jviscsurg.2020.04.010,Journal of Visceral Surgery,,,,,Other,,The subject matter of this study comes closest to the issue addressed in this article.,One small-sample study (n = 11) analysed the presence of HBV in surgical smoke during conventional and robot-assisted laparoscopies .,"Coronaviruses remain infectious for 2-3 h in air, and up to 9 days on smooth non-porous surfaces (stainless steel, plastic, ceramics, glass).",2020-04-24
,2020-04-17,Selections from the current literature,https://doi.org/10.1016/j.aime.2020.04.020,The Journal of the American Dental Association,,,,,Other,,The results of this study need to be confirmed among a wider and more Results.,The results of this study need to be confirmed among a wider and more Results.,"This is especially important since it is known that coronavirus can persist on surfaces such as metal, glass, or plastic for days.",2020-04-24
,2020-04-16,A Laboratory Risk Assessment during the Coronavirus (COVID-19) Pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184397/,J Appl Lab Med,,,,,Other,,Resources for conducting a laboratory risk assessment are available from the Association of Public Health Laboratories (APHL) and from CLSI M29 A4.,"What we have learned from our past experience with Influenza, SARS, MERS, and Ebola will assist us in better protecting our staff and our patients through this and future challenges.",Recent studies have found that the coronavirus can remain viable for several hours on cardboard and up to 3 days on plastic and steel.,2020-05-12
,2020-04-13,Open Data Resources for Fighting COVID-19,https://doi.org/,ArXiv,,,,,Modeling,100,The data corresponding to the United States can be obtained from the 2019 Novel Coronavirus Covid-19 (2019-nCoV) data set from Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE).,They used data collected from all the cities in China with more than 100 cases.,The virus can survive on surfaces for up to 72 hours such as plastic and stainless steel .,2020-05-01
,2020-04-11,COVID-19 pandemic and the stethoscope: don't forget to sanitize,https://doi.org/10.1016/j.hrtlng.2020.03.017,Heart & Lung,,,,,Other,,"The SARS-CoV-2 (COVID 19) pandemic has resulted in unprecedented rapid generation and dissemination of published data in short-order, in almost ""real-time.""","Indeed, nosocomial infectious outbreaks from bacterial contamination of thermometers 1 and blood pressure cuffs 2 have been reported.","elegantly demonstrated that SARS-CoV-2 can remain viable, and thus potentially transmissible, for prolonged periods on stainless steel and plastic, and to a lesser extent, cardboard.",2020-04-17
,2020-04-09,Coronavirus disease 2019 and the cardiovascular system: Impacts and implications,https://doi.org/10.1016/j.ihj.2020.03.006,Indian Heart Journal,,,,,Other,4,"According to the current literature, outcomes in COVID-19 depend on various clinical and biochemical parameters (Fig.","25 In a meta-analysis of 4 studies, cardiac troponin I levels were much higher in those with severe disease than in those with nonsevere disease.","10 SARS-CoV-2 remained viable in aerosols for up to 3 h and more stable on plastic and stainless steel than on copper and cardboard, and the viable virus was detected up to 72 h after application to these surfaces.",2020-05-12
,2020-04-09,Anti-Microbial Coating Innovations to prevent infectious disease: a consensus view from the AMiCl COST Action.,https://doi.org/10.1016/j.jhin.2020.04.006,Journal of Hospital Infection,,,,,Other,,"Indeed, the current 2019/2020 WHO guidance regarding management of Healthcare Acquired Infection (HCAI) does not refer to AMCs at all .","Both then (and now), real-world studies were scarce albeit that researchers were developing promising results in the reduction of Healthcare Acquired infections (HCAI) (4-7).","Studies with SARS-CoV-2 and the closely related human coronavirus 229E have shown survival for 4-5 days on various surface materials including stainless steel, glass, plastics and ceramics but demonstrate rapid inactivation on copper alloys .",2020-05-12
,2020-04-09,"An overview of coronaviruses including the SARS-2 coronavirus – Molecular biology, epidemiology and clinical implications",https://doi.org/10.1016/j.cmrp.2020.04.001,Current Medicine Research and Practice,,,,,Retrospective observational,813,"An extensive retrospective data of 1099 patients from 552 hospitals in mainland China from the onset of epidemic till January 29, 2020 deals with the demographic and clinical features of the patients from Wuhan and other non residents.","Various randomized clinical trials evaluating the efficacy of lopinavir/ritonavir (ChiCTR2000029308) and a new antiviral 19 This retrospective study enrolled 191 confirmed patients suffering from the disease from a cohort of 813 patients admitted in two different hospitals in Wuhan, 54 patients died in the hospital and 137 were discharged.","26, 27 Doremalen, Bushmaker and their colleagues conducted in-vitro experiments to study the viability of the virions (SARS)-CoV and SARS-CoV-2 in aerosols, plastic, stainless steel, copper and cardboard.",2020-05-12
,2020-04-09,A Pinch of Prevention is Worth a Pound of Cure: Proactive Dentistry in the Wake of COVID-19.,https://doi.org/10.1016/j.joms.2020.03.036,Journal of Oral and Maxillofacial Surgery,,,,,Other,gay,"As a profession, we should explore methods of reducing transmission of all infectious agents.","Young gay men began falling ill and dying of opportunistic infection and fear of the ""gay plague"" spread rapidly along with the social stigma.",SARS-CoV-2 has been demonstrated to remain aerosolized for 3 hours after contamination and on plastics and stainless steel for up to 72 hours.,2020-04-17
,2020-04-08,COVID-19: A Call for Physical Scientists and Engineers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144807/,ACS Nano,,,,,Other,,"35 Fu-Bing Wang is a professor in the Department of Laboratory Medicine, Zhongnan Hospital of Wuhan University.","35 Fu-Bing Wang ( ) is a professor in the Department of Laboratory Medicine, Zhongnan Hospital of Wuhan University.","For metal objects, copper metal or cations have broad spectrum antiviral effects and low toxicity to humans.27,28 Therefore, surface copperization could provide stainless steel objects self-sanitizing properties, which could significantly cut down fomite infection rates due to stainless steel’s widespread use in hospitals and public spaces.

SARS-CoV-1 and SARS-CoV-2 virions can remain infectious for days on smooth surfaces such as glass, plastics, and stainless steel, whereas they remain infectious for just hours on porous surfaces such as textile and paper materials.

For example, it has been reported that both SARS-CoV-1 and SARS-CoV-2 virions can remain infectious for days on smooth surfaces such as glass, plastics, and stainless steel, whereas they remain infectious for just hours on porous surfaces such as textile and paper materials.18,19 This observation is somewhat surprising and worrisome, especially because stainless steel is ubiquitous for making medical supplies and equipment, as well as most engineering structures and appliances.

27, 28 Therefore, surface copperization could provide stainless steel objects self-sanitizing properties, which could significantly cut down fomite infection rates due to stainless steel's widespread use in hospitals and public spaces.",2020-04-17
,2020-04-07,Can N95 respirators be reused after disinfection? And for how many times?,https://doi.org/10.1101/2020.04.01.20050443,medrxiv,,,,,Modeling,3,We subjected the meltblown samples to the aforementioned five disinfection methods and summarized the data in Table 1 .,Steam treatment: Three samples were stacked on top of a beaker with boiling water inside (at around 15 cm above the water).,"As polypropylene is hydrophobic, the chlorine-based solution may have a more difficult time in the penetration into the fabric and the static charge of fibers deeper within the meltblown may be less affected.",2020-04-24
,2020-04-06,"A Comprehensive Literature Review on the Clinical Presentation, and Management of the Pandemic Coronavirus Disease 2019 (COVID-19)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138423/,PMC,,,,,Other,199,confirmed COVID-19 patient,"Currently, an RCT (Chinese Clinical Trial Register number: ChiCTR 2000029308) with 199 patients in Wuhan aims to evaluate the safety and efficacy of lopinavir and ritonavir regimen in severe COVID-19 patients.","The half-life of SARS-CoV-2 in aerosols, copper, cardboard, stainless steel, and plastic are 1.5 h, 1 h, 3.4 h, 5.6 h, and 6.8 h, respectively.

The viable residence time of SARS-CoV-1 in aerosols, copper, cardboard, stainless steel, and plastic are 3 h, 4 h, 24 h, 48 h, and 72 h, respectively .",2020-04-10
,2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process",https://doi.org/10.1101/2020.04.02.20051409,medrxiv,,,,,Other,2,"In the absence of data on SARS-CoV-2, we focused on the sister virus SARS-CoV-1.","• Two studies reduced SARS-CoV-1 to below levels of detection with exposure to 56°C at 20 min 18 and 60 min 31 , but one study showed that at 56°C for 30 min heat treatment was ineffective 13 in protein medium ( Table 2 )."," Materials tested included cardboard 10 , wood 11 , plastic fabric 11, 12 , paper 11, 12 , and metal 10, 11 (Table 1) .",2020-04-10
,2020-04-03,The COVID-19 pandemic: Important considerations for contact lens practitioners,https://doi.org/10.1016/j.clae.2020.03.012,Contact Lens and Anterior Eye,,,,,Systematic review,30,A PubMed search on 24th March 2020 found no evidence that contact lens wearers are more likely to contract COVID-19 than spectacle wearers.,"In one report, positive tear and conjunctival secretions occurred in a single patient who developed conjunctivitis from a cohort of thirty patients with novel coronavirus pneumonia .","Specifically, both viruses could be detected in aerosols for up to three hours, on cardboard for 24 h, and on plastic and stainless steel for 2-3 days.

The inanimate surfaces described in the paper which most closely resemble contact lens materials were ""plastic"" and silicon rubber .",2020-04-10
,2020-04-03,Process-Induced Nanostructures on Anatase Single Crystals via Pulsed-Pressure MOCVD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7178303/,Materials (Basel),,,,,Cross-sectional,6,The material characterizations were carried out on 6 samples prepared on fused silica substrates with the number of pulses ranging from 150 to 1000.,The material characterizations were carried out on 6 samples prepared on fused silica substrates with the number of pulses ranging from 150 to 1000.,"All the samples were deposited at 525 °C for fused silica substrates and 500 °C for stainless steel In this study, coatings of TiO 2 were produced on glass and stainless-steel substrates.

In this study, coatings of TiO2 were produced on glass and stainless-steel substrates.

The figures show that the surface morphologies for TiO 2 coatings on stainless steel and fused silica substrates are similar.

The figures show that the surface morphologies for TiO2 coatings on stainless steel and fused silica substrates are similar.",2020-05-01
