,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
10,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"1 week delay: SC + CI + 50% WN + 30% CCR: 1.11% IR (3,015); SC + CI + 90% WN + 70% CCR: 0.42% IR (1,151)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
11,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"2 week delay: SC + CI + 50% WN + 30% CCR: 1.15% IR (3,140); SC + CI + 90% WN + 70% CCR: 0.43% IR (1,166)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
12,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"3 week delay: SC + CI + 50% WN + 30% CCR: 1.21% IR (3,302); SC + CI + 90% WN + 70% CCR: 0.46% IR (1,255)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
13,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"4 week delay: SC + CI + 50% WN + 30% CCR: 1.34% IR (3,642); SC + CI + 90% WN + 70% CCR: 0.52% IR (1,414)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
14,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"5 week delay: SC + CI + 50% WN + 30% CCR: 1.61% IR (4,384); SC + CI + 90% WN + 70% CCR: 0.64% IR (1,730)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
15,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"6 week delay: SC + CI + 50% WN + 30% CCR: 2.11% IR (5,735); SC + CI + 90% WN + 70% CCR: 0.84% IR (2,229)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
16,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"7 week delay: SC + CI + 50% WN + 30% CCR: 2.87% IR (7,811); SC + CI + 90% WN + 70% CCR: 1.21% IR (3,309)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
17,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"8 week delay: SC + CI + 50% WN + 30% CCR: 4.33% IR (11,800); SC + CI + 90% WN + 70% CCR: 1.85% IR (5,034)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
18,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"9 week delay: SC + CI + 50% WN + 30% CCR: 6.49% IR (17,672)SC + CI + 90% WN + 70% CCR: 2.95% IR (8,041)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
19,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"10 week delay: SC + CI + 50% WN + 30% CCR: 9.51% IR (25,904); SC + CI + 90% WN + 70% CCR: 4.76% IR (12,966)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
20,2020-03-19,Impact of self-imposed prevention measures and short-term government intervention on mitigating and delaying a COVID-19 epidemic,https://www.medrxiv.org/content/10.1101/2020.03.12.20034827v3,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"Baseline model predicts 46 diagnoses per 1000 individuals at the peak of the 199 epidemic, an attack rate of about 16% and the time to the peak of about 5.2 months; 65% reduction in the peak number of diagnoses, a 29% decrease in the 208 attack rate, and a delay in peak timing of 2.7 months",Countries: Netherlands; Timeline: Unknown,04/29/2020
21,2020-03-13,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,https://doi.org/10.1101/2020.03.11.20034314,medRxiv,Modeling Study,implementation of the major public policy interventions,Y,"The total reported cases is approximately 4, 500 and the total unreported cases is approximately 1, 100; Total reported cases with implementation delayed by one week 820,000 and unreported 200,900",Countries: Mainland China; Timeline: Jan 20th - Jan 29th,04/10/2020
22,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro = 4.7092; Ro = 0.7575,Countries: China cities: Wuhan; Timeline: Jan 30th - Feb 15th 2020,04/11/2020
23,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro =  5.934; Ro = 0.6079,"Countries: China Hubei (excluding Wuhan), China; Timeline: Jan 30th - Feb 15th 2020",
24,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro =  1.5283; Ro = 0.5753,Countries: China mainland (excluding Hubei); Timeline: Jan 30th - Feb 15th 2020,
25,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro =  0.884; Ro = 0.5254,Countries: China cities: Beijing; Timeline: Jan 30th - Feb 15th 2020,
26,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro =  3.6288; Ro =  0.5104,Countries: China cities: Shanghai; Timeline: Jan 30th - Feb 15th 2020,
27,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro = 1.2026; Ro = 0.5082,Countries: China cities: Guangzhou; Timeline: Jan 30th - Feb 15th 2020,
28,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Ro =  5.934; Ro = 0.5331,Countries: China cities: Shenzhen; Timeline: Jan 30th - Feb 15th 2020,
29,2020-03-09,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study",https://doi.org/10.1016/S2468-2667(20)30073-6,medRxiv,Modeling Study,non-pharmaceutical physical distancing interventions i.e. school closures and workplace distancing,Y,N/A; Physical distancing measures were most effective if the staggered return to work was at the beginning of April; this reduced the median number of infections by more than 92% (IQR 66–97) and 24% (13–90) in mid-2020 and end-2020,Countries: China cities: Wuhan; Timeline: Jan-18th - April 2020,4/10/20
30,2020-03-06,The impact of social distancing and epicenter lockdown on the COVID-19 epidemic in mainland China: A data-driven SEIQR model study,https://doi.org/10.1101/2020.03.04.20031187,medRxiv,Modeling Study,social distancing and epicenter lockdown,Y,"N/A;  With 30 days of substantial social distancing, the reproductive number in Wuhan and Hubei was reduced from 2.2 (95%-CI: 1.4~3.9) to 1.58 (95%-CI: 1.34~2.07), and in other provinces from 2.56 (95%-CI: 2.43~2.63) to 1.65 (95%-CI: 1.56~1.76)",Countries: China; provinces: Hubei; Timeline: Jan 18th- Feb 18th,04/30/2020
31,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,medRxiv,Modeling Study,"inter-city travel restriction, inner-city contact reduction, case early detection and isolation",Y,"114,325 COVID-19 cases ( [IQR] 76,776 - 164,576); Without NPIs, the number of COVID-19 cases would likely have shown a 67-fold increase (IQR: 44 - 94), with the effectiveness of different interventions varying",,04/08/2020
32,2020-03-06,"Evolving Epidemiology and Impact of Non-pharmaceutical Interventions on the Outbreak of Coronavirus Disease 2019 in Wuhan, China",https://doi.org/10.1101/2020.03.03.20030593,medRxiv,Modeling Study,"social distancing measures and policies of controlling the source of infection with joint efforts from the government, healthcare workers, and the people",Y,3.86 reproduction number (95% credible interval 3.74 to 3.97); 0.32 reproduction number (95% credible interval 0.28 to 0.37),Countries: China; cities: Wuhan; Timeline: Jan 11th - Feb 18th,04/15/2020
33,2020-03-03,A simple model to assess Wuhan lock-down effect and region efforts during COVID-19 epidemic in China Mainland,https://doi.org/10.1101/2020.02.29.20029561,medRxiv,Modeling Study,Wuhan lock-down combined with nationwide traffic restrictions and Stay At Home Movement,Y,"N/A ;even the lock-down date only in advance 3 days with normal and strict strength, the estimated number will reduce 30.74% (21,245 cases) and 48.59% (15,768 cases), respectively","Countries: China cities: Wuhan, Non-Wuhan Region; Timeline: January 24 - February 15, 2020",04/15/2020
34,2020-02-13,"Early epidemiological assessment of the transmission potential and virulence of coronavirus disease 2019 (COVID-19) in Wuhan City: China, January-February, 2020",https://doi.org/10.1101/2020.02.12.20022434,medRxiv,Modeling Study,enhanced public health intervention,Y,"Our posterior estimates of basic reproduction number (R) in Wuhan City, China in 46 2019–2020 reached values as high as 5.20 (95%CrI: 5.04–5.47);  the enhanced public health intervention after January 23rd 47 in 2020 was associated with a declined R at 0.58 48 (95%CrI: 0.51–0.64)",Countries: China cities: Wuhan; Timeline: January 23rd 2020,04/15/2020
35,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,"government quarantine prevention measures i.e. mass gathering cancellations, spring semester postponement",Y,"with 100% quarantined rate Peak date: Feb 16th with 49,093 individuals confirmed; Peak date: Feb 16th with 49,093 individuals confirmed","Countries: Mainland China; Timeline: Dec. 1, 2019 - Apr. 30, 2020",04/15/2020
36,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,"government quarantine prevention measures i.e. mass gathering cancellations, spring semester postponement",Y,"90% quarantined rate; Peak date: Feb 17th with 51,605 individuals confirmed",,
37,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,"government quarantine prevention measures i.e. mass gathering cancellations, spring semester postponement",Y,"80% quarantined rate; Peak date: Feb 18th with 55,059 individuals confirmed",,
38,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,"government quarantine prevention measures i.e. mass gathering cancellations, spring semester postponement",Y,"70% quarantined rate; Peak date: Feb 19th with 59,953 individuals confirmed",,
39,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,"government quarantine prevention measures i.e. mass gathering cancellations, spring semester postponement",Y,"63% quarantined rate; Peak date: Feb 20th with 64,740 individuals confirmed",,
40,2020-02-11,Spatially Explicit Modeling of 2019-nCoV Epidemic Trend based on Mobile Phone Data in Mainland China,https://doi.org/10.1101/2020.02.09.20021360,medRxiv,Modeling Study,"self-isolation, quaratine, current control efforts",Y,"the current trend maintained, control efforts expanded, and person-to-person contact increased due to work resuming. We estimated that the total infections in mainland China would be 72172, 54348, and 149774 by March 12, 2020 under each scenario respectively; if the current trend is maintained (scenario 1), 95.4% cities can eliminate the disease by the end of February and all of them can succeed by March 12. With control efforts expanded (scenario 2), all cities except Wuhan will completely control the disease by the end of February. However, only 75.7% cities can completely win the battle against 2019-nCoV by the end of February if person-to-person contacts increase due to work resuming (scenario 3)","Countries: China; Timeline: Feb 29th, 2020",04/15/2020
