,Date,Study,Study Link,Journal,Result,Study Type,Measure of Evidence Strength,Sample (n),Study Population,Sample Text,Matches,Entry
,2020-04-30,Host Immune Response and Immunobiology of Human SARS-CoV-2 Infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189399/,Coronavirus Disease 2019 (COVID-19),,Other,,14,"One of the most serious viral outbreaks of the decade, infecting humans, originated from the city of Wuhan, China, by the end of December 2019, has left the world shaken up.","When investigated 14 out of 23 SARS-recovered patients, post 6 years of infection, it was reported that distinct T cell memory responded to the S library of peptide of SARS-CoV (Channappanavar et al.","Humoral immune response is an antibody-mediated immune response.

Cellular immune response is a mechanism of adaptive immunity.

Cellular immunity in contrast to the humoral immune response can be seen inside the infected cells, which is mediated by T-lymphocytes.

The immune evasion strategy also evades adaptive immune responses during infection with SARS-CoV and MERS-CoV wherein T cell activation is diminished by downregulating antigen presentation by MHC I and II molecules.",2020-05-12
,2020-04-30,SnapShot: COVID-19,https://doi.org/10.1016/j.cell.2020.04.013,Cell,,Other,,,"Blake Oberfeld, 1 Aditya Achanta, 1 Kendall Carpenter, 1 Pamela Chen, 1 Nicole M. Gilette, 1 Pinky Langat, 1 Jordan T. Said, 1 Abigail E. Schiff, 1,2, Allen S. Zhou, 1 Amy K. Barczak, 1,2 and Shiv Pillai In December 2019, several cases of pneumonia of unknown origin were reported in Wuhan, China.","Chest computed tomography (CT) scans of symptomatic patients are sensitive for detecting disease but nonspecific (CDC, 2020).","Based on our understanding of SARS and MERS, and their similarity to COVID-19, the human immune response in mild cases is likely characterized by a robust type I interferon antiviral response and CD4+ Th1 and CD8+ T cell response, resulting in viral clearance.",2020-05-12
,2020-04-30,Current targeted therapeutics against COVID-19: based on first-line experience in china,https://doi.org/10.1016/j.phrs.2020.104854,Pharmacological Research,,Modeling,,240,"The press released from the State Council of China indicated that chloroquine phosphate had demonstrated marked efficacy in preventing the deterioration of COVID-19 related pneumonia in multicenter clinical trials conducted in China on February 17, 2020 .","The Zhongnan Hospital of Wuhan University initiated a multicenter, randomized, open, and positive, parallel-controlled clinical study of favipiravir in the treatment of COVID-19 (ChiCTR2000030254), with 240 patients enrolled and clinical treatment observations completed.",The antiviral interferon system plays a critical role in the innate immune defense in human beings.,2020-05-12
,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,,Retrospective observational,,610,The clinical data of all patients were collected from the electronic medical records.,A total of 610 COVID-19 patients were enrolled after admission from various centers in the Zheijiang province (Figure 1) .,There is strong evidence that the innate immune response is key in the .,2020-05-12
,2020-04-29,Clinical Laboratory Parameters Associated with Severe or Critical Novel Coronavirus Disease 2019 (COVID-19): A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.24.20078782,medrxiv,,Systematic review,,45,"We conducted a systematic search of Ovid MEDLINE, Ovid Embase, Clarivate Analytics Web of Science Core Collection, EBSCO CINAHL and Google Scholar databases from 2019 through April 18, 2020.",A total of 45 studies were retained for metaanalyses.,"Failure to mount an appropriate adaptive immune response means the innate immune response remains continuously stimulated with deleterious effects on the lungs and other organs.

The adaptive immune system is activated a few days later and is responsible for a more specific response, which is immunomodulatory (via engagement of helper T cells and regulatory T cells) and produces 'immunological memory' .",2020-05-12
,2020-04-28,Role of increasing the aerobic capacity on improving the function of immune and respiratory systems in patients with coronavirus (COVID-19): A review,https://doi.org/10.1016/j.dsx.2020.04.038,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,Other,,175,"Methods This review was carried out by searching in Web of Science, Scopus, EBSCO, Medline databases.","To the best of our knowledge, there were rare human studies investigated the effects of aerobic 174 exercises on the activities of serum complements and they focused more on athletes than normal 175 individuals.",The normal humoral immunity plays a critical role in the immune response of the host body to 163 coronaviruses infections.,2020-05-01
,2020-04-27,Is SARS-CoV-2 Also an Enteric Pathogen with Potential Fecal-Oral Transmission: A COVID-19 Virological and Clinical Review,https://doi.org/10.1053/j.gastro.2020.04.052,Gastroenterology,,Other,,70,"In early reports from the city of Wuhan, 2-10% of patients with COVID-19","Recent studies on COVID-19 patients from Asia showed the presence of liver injury, indicated by elevated aminotransferases, ranged from 15-50% of the patients 66, 67, 70 .","Finally, host innate immunity to SARS-CoV-2, including IFN signaling 96 and the inflammasome related cytokines 97 , in particular those pathways at the mucosal surfaces 98, 99 , the short-and long-term adaptive immune responses against this virus, and how these antiviral activities vary in children, adults and the elderly, are largely unknown and fertile for future research.

Innate immune signaling such as interferon (IFN) also seems to regulate ACE2 levels and thus susceptibility to SARS-CoV-2 infection 20 .",2020-05-01
,2020-04-25,Low dose lung radiotherapy for COVID-19 pneumonia. The rationale for a cost-effective anti-inflammatory treatment,https://doi.org/10.1016/j.ctro.2020.04.006,Clin Transl Radiat Oncol,,Other,,56,Hospital Universitario San Roque/Universidad Fernando Pessoa Grant 19-001.,"Openheimmer treated 56 patients with life-threatening progressive interstitial pneumonia at doses of 0,5 Gy.",The COVID-19 activates both innate and adaptive immune system.,2020-05-12
,2020-04-24,"COVID-19 and cardiovascular disease: What we know, what we think we know, and what we need to know",https://doi.org/10.1016/j.yjmcc.2020.04.026,Journal of Molecular and Cellular Cardiology,,Other,,,Myocardial injury associated with the SARS-CoV-2 was a common condition in patients diagnosed with COVID-19 in Wuhan and associated with a higher risk of in-hospital mortality .,"In addition, combined sera from a few patients were able to neutralize COVID-19 in an in vitro plaque assay, suggesting they are possibly mounting a neutralizing antibody response .","As such, the inflammatory response is predominantly mediated through cytokines and the strategy to dampen this response is challenging due to the lack of specific inhibitors of the adaptive immune response to the virus.",2020-05-01
,2020-04-24,Lymphopenia that may develop in patients treated with temozolomide and immune control check-point inhibitor may be a high risk for mortality during the COVID-19 outbreak,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180657/,Med Oncol,,Other,,,"After an atypical viral pneumonia case cluster in late 2019, a new coronavirus was reported from these cases in Wuhan, China in January 2020.","Low lymphocyte count was reported to be associated with increased disease severity in COVID-19, and patients who died from COVID-19 had significantly lower lymphocyte counts than survivors.","It is known that lymphocytes, which are the main effector cells in the immune response against cancer, are one of the main components of the human immune system.",2020-05-01
,2020-04-23,The protective and pathogenic roles of CXCL17 in human health and disease: Potential in respiratory medicine,https://doi.org/10.1016/j.cytogfr.2020.04.004,Cytokine & Growth Factor Reviews,,Other,,,"This work was supported by Washington University in St. Louis, NIH grant HL105427 to S.A.K., AI123780, AI111914 and RO1 AI134236 to S.A.K.",CXCL17 is coregulated with VEGF in clinical samples from individuals with cancer .,"Thus, the specificity of CXCL17 to impact innate immune responses and not adaptive immunity might suggests a differential role for this chemokine in infectious and metabolic diseases.",2020-05-12
,2020-04-21,"COVID-19, immune system response, hyperinflammation and repurposing antirheumatic drugs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195984/,Turk J Med Sci,,Other,,181,The sequence of RBD from SARS-CoV and SARS-CoV-2 exhibits 73.5% identity .,"In another study comprising 181 hypoxic pneumonia patients from France, HCQ did not avert ICU admission or mortality .The dilemma on clinical utility of CQ and HCQ in COVID-19 will be solved by well-designed clinical trials in near future.",The effectual host immune response including innate and adaptive immunity against SARS-Cov-2 seems crucial to control and resolve the viral infection.,2020-05-12
,2020-04-20,A Critical Juncture in Fiscal Federalism? Canada's Response to COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198463/,PMC,,Other,,,Canada's Response to COVID-19,"Prior to COVID-19, fiscal arrangements were increasingly challenged by provinces.",Canada's Response to COVID-19,2020-05-12
,2020-04-20,Design an efficient multi-epitope peptide vaccine candidate against SARS-CoV-2: An in silico analysis,https://doi.org/10.1101/2020.04.20.051557,biorxiv,,Other,,,The physicochemical and immunological properties of the vaccine structure were evaluated.,Results of Ellipro showed 242 residues from vaccine might be conformational B cell epitopes.,These peptides promote cellular and humoral immunity and Interferon gamma responses.,2020-04-24
,2020-04-17,Long-term Coexistence of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) with Antibody Response in Coronavirus Disease 2019 (COVID-19) Patients,https://doi.org/10.1101/2020.04.13.20040980,medrxiv,,Other,,26,"Here, 26 cases of COVID-19 in Jinan, China, were examined and shown to be mild or with common clinical symptoms and no cases of severe symptoms were found among these patients.","Here, 26 cases of COVID-19 in Jinan, China, were examined and shown to be mild or with common clinical symptoms and no cases of severe symptoms were found among these patients.",Whether antibodies are important for the adaptive immune responses against SARS-CoV-2 infection needs to be determined.,2020-04-24
,2020-04-16,Impact of immune enhancement on Covid-19 polyclonal hyperimmune globulin therapy and vaccine development,https://doi.org/10.1016/j.ebiom.2020.102768,EBioMedicine,,Other,,I,Only articles published in English from 1965 till March 2020 were included.,"Therefore, in parallel with phase I trials, we suggest urgent clinical evidence to address the gap in clinical evidence for immune enhancement.","It is well known that innate immune response drives adaptive immune responses 46, 66, 67 .

It is well known that innate immune response drives adaptive immune responses .

Moreover, the kinetics of antibody response is also known to be influenced by viral load and innate immune responses .

Moreover, the kinetics of antibody response is also known to be influenced by viral load 45 and innate immune responses 46 .

The level of such antigenic burden is known to drive adaptive immune responses, including neutralizing antibody titers 45, 69 .

The level of such antigenic burden is known to drive adaptive immune responses, including neutralizing antibody titers .",2020-04-24
,2020-04-13,"SARS-CoV-2: Olfaction, Brain Infection, and the Urgent Need for Clinical Samples Allowing Earlier Virus Detection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7160911/,ACS Chem Neurosci,,Other,,3,Epidemiological data should be collected to search for potential correlation between olfactory dysfunction and COVID-19 symptoms as well as severity.,Three major RNaseq transcriptome studies conducted in human and murine OE consistently suggest non-neuronal expression of ACE2.,"ANTIVIRAL RESPONSES It is known that the nervous system can shape responses of the innate immunity system.

It is known that the nervous system can shape responses of the innate immunity system.",2020-04-24
,2020-04-10,COVID-19 – Considerations for the paediatric rheumatologist,https://doi.org/10.1016/j.clim.2020.108420,Clinical Immunology,,Other,,2290,"Furthermore, SARS-CoV and SARS-CoV-2 can counteract T1IFN through inhibition of STAT transcription factor phosphorylation 7 .","Most children experienced mild or moderate disease, while 133 of 2290 children summarised in table 1 were severely or critically ill (bold italics) (5.8%), and 2 died (0.09%).","Delayed activation of adaptive immune responses may be of benefit, as early antibody production may promote infection of immune cells and/or cause immune complex mediated pathology 15 .

In SARS-CoV infected mice, innate immune cells are recruited to the site of infection, where they induce strong inflammatory responses that further promote tissue damage and systemic inflammation 12 .",2020-04-17
,2020-04-09,Tocilizumab treatment in severe COVID-19 patients attenuates the inflammatory storm incited by monocyte centric immune interactions revealed by single-cell analysis,https://doi.org/10.1101/2020.04.08.029769,biorxiv,,Other,,2,We then conducted pairwise comparisons to identify 200,Peripheral blood samples were obtained from two severe COVID-19 patients.,"The over-activated inflammatory immune response was attenuated after Tocilizumab treatment, yet immune cells including plasma B cells and CD8+ T cells still exhibited an intense humoral and cell-mediated anti-virus immune response in recovered COVID-19 patients.

Therefore, the anti-186 virus immune responses from the humoral and cell-mediated immunity in COVID-19 187 patients at severe stage were compared with recovery stage and healthy controls.

Robust multi-factorial immune responses can be elicited against viral infection, 183 such as avian H7N9 disease 17,18 .",2020-04-17
,2020-04-08,Sequence-based prediction of vaccine targets for inducing T cell responses to SARS-CoV-2 utilizing the bioinformatics predictor RECON,https://doi.org/10.1101/2020.04.06.027805,biorxiv,,Other,,14,"  pathogen data from internally curated data, researcher submissions and data from various 1 external sources.","Additionally, we generated two lists of 25mers contained in SARS-CoV-2 protein sequences 14 ranked by population coverage.",Both humoral 3 and cellular immune responses have been shown to be important in host responses to SARS-CoV 4 .,2020-04-17
,2020-04-08,A close-up on COVID-19 and cardiovascular diseases,https://doi.org/10.1016/j.numecd.2020.04.001,"Nutrition, Metabolism and Cardiovascular Diseases",,Other,,,"In addition, some of hospitalized COVID-19 patients had cardiovascular diseases in China.","In addition, some of hospitalized COVID-19 patients had cardiovascular diseases in China.",The first and most strong reaction of virus invasion is the activation the human immune and inflammatory responses.,2020-04-10
,2020-04-07,The phenotypic changes of γδ T cells in COVID-19 patients,https://doi.org/10.1101/2020.04.05.20046433,medrxiv,,Other,,40,"In this study, all cases were taken from the Eighth Hospital of Xi'an (Xi'an, Shaanxi Province, People's Republic of China).",The study included 18 healthy controls and 40 patients from February 18 to March 4.,"Inflammation can be triggered when innate and adaptive immune cells detect SARS-CoV-2 infection.

Therefore, cells may act as a bridge between innate and adaptive immunity in response to SARS-CoV-2 infection .

Among innate immune cells, cells proliferate rapidly and respond to pathogens by inducing apoptosis, mediating antigen presentation and immune regulation .

The data also suggested this subset of immune cells could immediately respond to viral infection similar to other innate immune cells such as macrophages and dendritic cells, to provide the first line of immune defense.",2020-04-10
,2020-04-07,Coronavirus endoribonuclease targets viral polyuridine sequences to evade activating host sensors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149396/,Proc Natl Acad Sci U S A,,Other,,,Data Availability Statement.,"AML12 cells were transduced with TPs, then incubated for 24 h at 37°C in 5% CO 2 .","CoVs encode multiple proteins that antagonize these innate immune responses, particularly the activation of the IFN response (9, , ultimately leading to a dysregulated immune response and increased immunopathogenesis .",2020-04-24
,2020-04-06,Immune-epidemiological parameters of the novel coronavirus – a perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157951/,Expert Rev Clin Immunol,,Modeling,,12,"The average reproduction number estimated by stochastic methods, mathematical methods, and Article highlights  Tracing the epidemiological character of COVID-19 provides an understanding of the immunity of the disease.",A study of 12 patients infected with the 2019-nCoV revealed abnormalities in the plasma content of biochemical and immune parameters .,"Anti-viral immunity includes both innate immune and adaptive immune responses.

The two main varieties of innate immune receptors, transmembrane and cytosolic, are critical to establishing the innate immune responses, thereby leading to adaptive immune responses.

Consistently, among different innate immune receptors, TLRs are most closely related to adaptive immune responses.",2020-04-24
,2020-04-06,"Global epidemiology, pathogenesis, immune response, diagnosis, treatment, economic and psychological impact, challenges, and future prevention of COVID-19: A scoping review",https://doi.org/10.1101/2020.04.02.20051052,medrxiv,,Other,,5,"Articles, reports, preprints, expert opinions, and information from websites conducted among human participants, published in English language, and briefly showing the data regarding the current outbreak COVID-19 were included.","additionally, sera from 5 patients of confirmed COVID-19 showed some cross-reactivity with SARS-CoV.","To mount an antiviral response, innate immune cells need to recognize the invasion of the

Current observations indicate that coronaviruses are particularly adapted to evade immune detection and dampen human immune responses.

The other immune escaping mechanism is inhibition of innate immune responses, inhibition of interferon recognition and signaling, immune modulation including membrane or nonstructural proteins (NS4a, NS4b, NS15), Viral mutations, Immune exhaustion, Immune deviation: TH2 bias Furthermore, in the adaptive immune response the evasion mechanism is due to down regulation of antigen presentation via MHC class I and MHC class II.",2020-04-10
,2020-04-03,Interleukin-6 in COVID-19: A Systematic Review and Meta-Analysis,https://doi.org/10.1101/2020.03.30.20048058,medrxiv,,Systematic review,,21,"We then conducted an expanded Ovid Medline and Embase database search from January 1, 2020 to March 15, 2020 for all published cohort studies reporting COVID-19 patient characteristics and outcomes (see Appendix for full search strategy) to ensure all studies reporting IL-6 levels in COVID-19 were identified.","One study examined the clinical impact of tocilizumab on severe COVID-19 disease.43 In a non-randomized, open-label, clinical trial, 21 patients with severe or critical COVID-19 were treated with tocilizumab.",Purpose: Coronaviruses may activate dysregulated host immune responses.,2020-04-10
,2020-03-30,Characteristics and Mechanism of Liver Injury in 2019 Coronavirus Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7132021/,J Clin Transl Hepatol,,Other,,1099,"9 extracted data regarding 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in mainland China through January 29, 2020.","9 extracted data regarding 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in mainland China through January 29, 2020.","Systemic inflammatory responses and pulmonary injury associated with coronaviruses are triggered by the innate and adaptive immune system.

During SARS-CoV infection, host factors trigger an immune response, which can inhibit virus replication, promote virus clearance, and trigger a prolonged adaptive immune response against the viruses.",2020-04-17
,2020-03-27,Associations between immune-suppressive and stimulating drugs and novel COVID-19—a systematic review of current evidence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7105343/,Ecancermedicalscience,,Systematic review,,89,Drug group All cytotoxic chemotherapy chemotherapy)  Search terms (SARS-CoV-2 or coronavirus or COVID or betacoronavirus or Middle East Number of studies included  24/30,RESULTS: 89 studies were included.,"This inflammasome activation is important for the regulation of cells of both the innate and adaptive immune system paving the way for specific immune responses.

IL-2 is a cytokine which promotes the development and proliferation of T cells which form a vital component of the human adaptive immune response.

It has been suggested that the pathogenesis of SARS-CoV is mediated by disproportional immune responses and the ability of the virus to circumvent innate immunity.

IL-6, promptly and transiently produced in response to infections and tissue injuries, contributes to host defence through the stimulation of acute phase responses, hematopoiesis, and immune reactions.",2020-04-10
,2020-03-14,A tug-of-war between severe acute respiratory syndrome coronavirus 2 and host antiviral defence: lessons from other pathogenic viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103735/,Emerg Microbes Infect,,Other,,13,"Up to January 2020, >2500 laboratory-confirmed case were reported with a case fatality of 34.4%.","Groups N and P were identified in 13 and 2 individuals, respectively.",Host innate immune response is the first-line defence triggered by type I interferon.,2020-04-03
,2020-03-13,"The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak – an update on the status",https://doi.org/10.1186/s40779-020-00240-0,Mil Med Res,,Other,,87137,"Transmission between healthcare workers occurred in 3.8% of COVID-19 patients, issued by the National Health Commission of China on 14 February 2020.","As of 1 March 2020, a total of 87,137 confirmed cases globally, 79,968 confirmed in China and 7169 outside of China, with 2977 deaths (3.4%) had been reported by WHO.","The immune response is vital for the control and resolution of CoV infections, while it can also lead to immunopathogenesis, associated with the immune response out of control.",2020-04-10
,2020-03-04,Middle East respiratory syndrome,https://doi.org/10.1016/s0140-6736(19)33221-0,Lancet,,Other,,13," We searched publications in the English language literature on PubMed and Google Scholar (dates we used to refine our search: Sept 1, 2012, to Dec 31, 2019).","In the 2015 Korean outbreak, three of 13 patients with MERS with respiratory failure were given four infusions of convalescent plasma.107 Two of three showed neutralising activity.","In patients with SARS, innate immune responses characterised by an extended period of cytokine secretion (eg, IFNα and IFNβ) was correlated with delayed antibody responses and poor management outcomes; this prolonged innate response has not yet been shown in patients infected with MERS-CoV.53 MERS-CoV productively infects activated human T cells and induces delayed cytokine responses after infection of human myeloid cells in vitro, both of which could impair virus clearance and the development of an effective immune response.54, 55, 56

In patients with SARS, innate immune responses characterised by an extended period of cytokine secretion (eg, IFNα and IFNβ) was correlated with delayed antibody responses and poor management outcomes; this prolonged innate response has not yet been shown in patients infected with MERS-CoV.

MERS-CoV pathogenesis reflects a balance between coronavirus-induced protective and pathogenic host immune responses and direct cytotoxic effects of the virus.52 According to studies of patients infected with SARS-CoV and of mice and other animals infected experimentally with MERS-CoV, successful resolution of MERS and long-term protection from re-infection likely requires well coordinated innate and adaptive B-cell and T-cell responses.

52 According to studies of patients infected with SARS-CoV and of mice and other animals infected experimentally with MERS-CoV, successful resolution of MERS and long-term protection from re-infection likely requires well coordinated innate and adaptive B-cell and T-cell responses.",2020-05-12
,2020-03-04,Traditional Chinese medicine for COVID-19 treatment,https://doi.org/10.1016/j.phrs.2020.104743,Pharmacol Res,,Other,,701,"During the treatment period of COVID-19, more than 3100 medical staff of TCM were dispatched to Hubei province, and TCM scheme was included in the guideline on diagnosis and treatment of COVID-19 , and TCM experts fully participate in the whole rescue process.","Among the 701 confirmed cases treated by QPD, 130 cases were cured and discharged, clinical symptoms of 51 cases disappeared, 268 cases of symptoms improved, and 212 cases of stable symptoms without aggravation .",COVID-19 can lead to strong immune response and inflammatory storm .,2020-04-24
,2020-03-02,"Coronavirus infections: Epidemiological, clinical and immunological features and hypotheses",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7146059/,PMC,,Other,,4691,"As of 25 February, 2020, 219 people have tested positive SARS-CoV-2 and towns in north of Italy were quarantined .","Outside China, there have been 4691 cases reported from 51 countries with 67 deaths .","Indeed, immunity against the infection, or also patterns of semi-immunity (capacity of the immune system to avoid severe infection) may be due to cellular rather than humoral immune responses.

There are currently no data on the specific role of either humoral or cellular immunity or innate immunity in patients recovering from COVID-19.

While the virus elicits an immune response leading to elimination of infected cells (and hence clearance of the infection), it tends to suppress the immune response.

Animal models suggest that the efficiency of T lymphocyte-mediated immune responses is pivotal for controlling MERS-CoV and SARS-CoV infections .",2020-04-17
,2020-02-18,Host Factors Affecting Generation of Immunity Against Porcine Epidemic Diarrhea Virus in Pregnant and Lactating Swine and Passive Protection of Neonates,https://doi.org/10.3390/pathogens9020130,Pathogens,,Other,,,"PEDV, like other alphacoronaviruses, is genetically distinct from the new SARS-related SARS-CoV-2 that emerged in December 2019 in Wuhan, China and is currently spreading in humans in China and other countries .","In one study, Subramaniam et al.","Because pregnancy-associated immune adaptations influence viral pathogenesis and adaptive immune responses in humans and mice, a better understanding of host immune responses to PEDV in pregnant swine is necessary for the development of maternal immunization strategies and therapeutics that enhance lactogenic immunity.

Because pregnancy-associated immune alterations influence viral pathogenesis and adaptive immune responses in many different species, a better understanding of host immune responses to PEDV in pregnant swine may translate into improved maternal immunization strategies against enteric pathogens for multiple species.",2020-03-27
,2020,Analysis of therapeutic targets for SARS-CoV-2 and discovery of potential drugs by computational methods,https://doi.org/10.1016/j.apsb.2020.02.008,Acta Pharmaceutica Sinica B,,Other,,2,We obtained the SARS-CoV-2 genome from Gene Bank.,"Alignment of two protein sequences and subsequent homology modeling were performed by bioinformatics module of ICM 3.7.3 modeling software on an Intel i7 4960 processor (MolSoft LLC, San Diego, CA, USA).","In terms of the human immune system, the innate immune system response plays an important role in controlling the replication and infection of coronavirus, and interferon is expected to enhance the immune response 11 .",2020-03-27
