,Date,Study,Study Link,Journal,Study Type,Material,Method,TCID50,Half-life,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-03-12,"Coronavirus Infections in Children Including COVID-19: An Overview of the Epidemiology, Clinical Features, Diagnosis, Treatment and Prevention Options in Children",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158880/,Pediatr Infect Dis J,Other,,,,,,,,"61, 72, 77 The first included 20 children up to January 31, 2020, in the Province of Zhejiang, 72 the second 34 children between January 19, 2020, and February 7, 2020, in the Province of Shenzhen, 61 and the third 9 infants from different provinces in China.",There are 3 case series that report a total of 41 children who were affected by SARS-CoV.,HCoVs have been shown to persist on dry surfaces for up to 9 days.,2020-04-24
,2020-03-09,Reverse Logistics Network Design for Effective Management of Medical Waste in Epidemic Outbreaks: Insights from the Coronavirus Disease 2019 (COVID-19) Outbreak in Wuhan (China),https://doi.org/10.3390/ijerph17051770,Int J Environ Res Public Health,Modeling,,,,,,,,"Based on the information published by the Health Commission of Hubei Province (web: wjw.hubei.gov.cn) and the Wuhan Municipal Health Commission (web: wjw.wuhan.gov.cn) until February 9th (19:30 h Norway time), the COVID-19 spread tendency in Wuhan was predicted with the SEIR method in AnyLogic simulation package.",Number 2 Candidate Locations Wuhan Huoshenshan Hospital Location  1 0 0 Usage  1 1 1 1,"For example, researches have shown the persistence of coronavirus on inanimate surfaces, i.e., medical waste, could be up to 9 days .",2020-04-10
,2020-02-27,Outbreak of Novel Coronavirus (SARS-CoV-2): First Evidences From International Scientific Literature and Pending Questions,https://doi.org/10.3390/healthcare8010051,Healthcare (Basel),Other,,,,,,,,"On 31 December, 2019, a cluster of 27 pneumonia cases of unknown etiology was reported by Chinese health authorities in Wuhan City (China).","On 31 December, 2019, a cluster of 27 pneumonia cases of unknown etiology was reported by Chinese health authorities in Wuhan City (China).","On inanimate surfaces, human coronaviruses can remain infectious for up to 9 days.",2020-03-27
,2020,Potential role of inanimate surfaces for the spread of coronaviruses and their inactivation with disinfectant agents,https://doi.org/10.1016/j.infpip.2020.100044,Infection Prevention in Practice,Other,,,,,,,,Data obtained with benzalkonium chloride at reasonable contact times were conflicting.,Data obtained with benzalkonium chloride at reasonable contact times were conflicting.,available data on the persistence of coronaviruses on inanimate surfaces were summarized .,2020-04-10
0,2020-04-24,Isothermal evaporation rate of deposited liquid aerosols and the SARS-CoV-2 coronavirus survival,https://arxiv.org/abs/2004.10812,arXiv,Modeling,-,-,-,-,"It was shown that the main experimental results on the dynamics of coronavirus survival on various surfaces correlate well with the rate of isothermal evaporation of liquid samples with viruses on substrates which do not absorb moisture. The evaporation rate depends on the thermal conductivity and thickness of the substrate, as well as the relative humidity of the surrounding air.",,05-10-2020,,,,
1,2020-03-09,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v2.full.pdf+html,medRxiv,Experimental Study ,Aerosols,End-point titration on Vero E6 cells ,10^3.5 to 10^2.7(3 hrs),1.09 hrs,3 hrs ,,05-10-2020,,,,
2,2020-03-09,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v2.full.pdf+html,medRxiv,Experimental Study ,Plastic,End-point titration on Vero E6 cells ,10^3.7 to 10^0.6(72hrs),6.81 hrs,72 hrs,,05-10-2020,,,,
3,2020-03-09,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v2.full.pdf+html,medRxiv,Experimental Study ,Stainless steel,End-point titration on Vero E6 cells ,10^3.7 to 10^0.6(48 hrs),5.63 hrs,72 hrs,,05-10-2020,,,,
4,2020-03-09,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v2.full.pdf+html,medRxiv,Experimental Study ,Copper,End-point titration on Vero E6 cells ,No viable virus could be measured after 4 hours on copper ,0.774 hrs,4 hrs,,05-10-2020,,,,
5,2020-03-09,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v2.full.pdf+html,medRxiv,Experimental Study ,Cardboard,End-point titration on Vero E6 cells ,No viable virus could be measured after 24 hours on cardboard  ,3.46 hrs,24 hrs,,05-10-2020,,,,
6,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Review,-,-,-,-,2 hrs to 9 days,,05-10-2020,,,,
