Category,Date,Study,Study Link,Journal,Design,Sample,Study Population,Sample Text,Matches,Entry
Advances diagnosing sars-cov-2,2020-04-29,The Diagnosis of Pandemic Coronavirus Pneumonia: A Review of Radiology Examination and Laboratory Test,https://doi.org/10.1016/j.jcv.2020.104396,Journal of Clinical Virology,Other,,"In this review, we retrieved studies related to SARS, MERS, and COVID-19.","In COVID-19, 31% of lesion were unifocal, 69% were multifocal, 26% were unilobar, 74% were multilobar, 20% were unilateral, 80% were bilateral, 56% had lower lobe involvement, 82% were peripheral or subpleural, and 71% were central [37, 57] .","Compared with macroscopic morphological examinations, microcosmic etiological tests, including nucleic acid detection and serological detection, with high specificity, could serve as benchmarks for the laboratory detection of the virus In the past three decades, significant progress has been made in virus diagnostic testing, ranging from virus culture to rapid antigen detection, and recently to high-sensitivity NAAT, including PCR .

Currently, the mainstream diagnostic methods are imaging and laboratory diagnosis, which differ in their efficacy of diagnosis.",2020-05-01
Advances diagnosing sars-cov-2,2020-04-25,Loop mediated isothermal amplification (LAMP) assays as a rapid diagnostic for COVID-19,https://doi.org/10.1016/j.mehy.2020.109786,Medical Hypotheses,Other,6.0,"Although COVID-19 is generally thought to be milder compared to SARS and MERS-CoV, the full extent of the impact from COVID-19 remains pending.",LAMP exhibits increased sensitivity and specificity due to an exponential amplification feature that utilises 6 different target sequences simultaneously identified by separate distinct primers in the same reaction .,"and Prevention (CDCs) rapidly employed molecular assays for detection of COVID-19 in clinical samples These, and methods by other groups, mostly employed development of of quantitative RT-PCR characterized by rapid detection, high sensitivity and specificity, and are often described as a gold standard for virus detection .

Owing to its simplicity, high sensitivity, and high sequence specificity, PCR-based method are a routine and reliable method for detecting coronavirus infection in patients .",2020-05-01
Advances diagnosing sars-cov-2,2020-04-22,Real-time RT-PCR in COVID-19 detection: issues affecting the results,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189409/,Expert Rev Mol Diagn,Other,2.0,"In the second patient, SARS-CoV-2 was detected in both URT and LRT specimens on day 14 of symptom onset.","Viral load kinetics of SARS-CoV-2 infection have been described in two patients in Korea, suggesting a different viral load kinetics from that of previously reported other coronavirus infections .","Along with the advancement in medical diagnosis, nucleic acid detection-based approaches have become a rapid and reliable technology for viral detection.

Among nucleic acid tests, the polymerase chain reaction (PCR) method is considered as the 'gold standard' for the detection of some viruses and is characterized by rapid detection, high sensitivity, and specificity.",2020-05-12
Advances diagnosing sars-cov-2,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.","Our search retrieved 1,063 publications, of which 175 were duplicates.","Sequencing of specimens and clinical diagnosis have been used as alternative diagnostic approaches.

Possible diagnostic approaches are RT-PCR, serological assays and point-of-care testing.

Three reviews described methodologies, protocols and tools used for establishing the diagnosis of COVID-19 .",2020-05-01
Advances diagnosing sars-cov-2,2020-04-19,Mass Spectrometric Identification of SARS-CoV-2 Proteins from Gargle Solution Samples of COVID-19 Patients,https://doi.org/10.1101/2020.04.18.047878,biorxiv,Other,3.0,Gargle solutions (20 ml in 0.9% NaCl) were obtained from three patients with confirmed COVID-19 infection.,Gargle solutions (20 ml in 0.9% NaCl) were obtained from three patients with confirmed COVID-19 infection.,"The future goal is to provide robust, sensitive, and reliable MS-based methods as a routine diagnostic of COVID-19 patients that complements PCR-based methods.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-18,Less is More: Intelligent Intensive Care for SARS-CoV-2 Based on the Imaging Data,https://doi.org/10.1016/j.jmir.2020.04.002,Journal of Medical Imaging and Radiation Sciences,Other,800000.0,"To date, more than 800,000 coronavirus cases are diagnosed and nearly 40,000 deaths are reported globally.","To date, more than 800,000 coronavirus cases are diagnosed and nearly 40,000 deaths are reported globally.","In diagnostic models, imaging features are used for diagnosis or improving the diagnosis.",2020-05-12
Advances diagnosing sars-cov-2,2020-04-18,Imaging of Coronavirus Disease 2019: A Chinese Expert Consensus Statement,https://doi.org/10.1016/j.ejrad.2020.109008,European Journal of Radiology,Other,219.0,"In a study comparing chest CT from 219 patients with COVID-19 pneumonia in China and 205 patients with other causes of viral pneumonia in the United States, COVID-19 pneumonia cases were more likely to have a peripheral distribution (80 versus 57 percent), and GGO (91 versus 68 percent) .","In a study comparing chest CT from 219 patients with COVID-19 pneumonia in China and 205 patients with other causes of viral pneumonia in the United States, COVID-19 pneumonia cases were more likely to have a peripheral distribution (80 versus 57 percent), and GGO (91 versus 68 percent) .","The current gold standard for the diagnosis of COVID-19 is the detection of coronavirus nucleic acids, but imaging has an important role in the detection of lung lesions, stratification, evaluation of treatment strategies, and differentiation of mixed infections.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-17,Clinical Characteristics of Children with COVID-19: A Rapid Review and Meta-Analysis,https://doi.org/10.1101/2020.04.13.20064352,medrxiv,Systematic review,49.0,"Methods: We searched studies reporting clinical characteristics in children with COVID-19 published until March 31, 2020.","Results: Our search retrieved 49 studies, including 25 case reports, 23 case series and one cohort study, with a total of 1667 patients.","Therefore, detection methods are particularly important for the diagnosis of COVID-19.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-15,Rapid Detection of COVID-19 Causative Virus (SARS-CoV-2) in Human Nasopharyngeal Swab Specimens Using Field-Effect Transistor-Based Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172500/,ACS Nano,Other,634000.0,"In December 2019, a series of cases of pneumonia of unknown cause were reported in Wuhan in the Hubei province of China.","4 As of March 29, 2020, more than 634,000 cases of COVID-19 have been confirmed around the world, resulting in 29,891 deaths.","17, 18 FET-based biosensors are considered to be potentially useful in clinical diagnosis, point-of-care testing, and on-site detection.",2020-05-12
Advances diagnosing sars-cov-2,2020-04-15,"Case-finding: Fast, Available, and Efficient Font-line Diagnostics for SARS-CoV-2",https://doi.org/10.1016/j.arcmed.2020.04.008,Archives of Medical Research,Other,,"We were delighted to read the enlightening letter titled, The Global Threat of SARS-CoV-2/COVID-19 and the Need for More and Better Diagnostic Tools submitted to the Archives of Medical Research .","The main rationale behind the recent advances in developing diagnostics for COVID-19 is achieving fast and cheap initial detection and confirmation of SARS-CoV-2 infection in different biological samples, including fecal samples, nasopharyngeal or oropharyngeal swabs, and environmental samples.","The diagnostic approaches, including RT-PCR, the CRISPR-based SHERLOCK (specific high-sensitivity enzymatic reporter UnLOCKing) technique, home-based point-of-care testing tools, and serological testing will definitely help with case-finding throughout the world when they become available and applied as routine tests.

The main rationale behind the recent advances in developing diagnostics for COVID-19 is achieving fast and cheap initial detection and confirmation of SARS-CoV-2 infection in different biological samples, including fecal samples, nasopharyngeal or oropharyngeal swabs, and environmental samples.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-13,Diagnostic Testing for Severe Acute Respiratory Syndrome–Related Coronavirus-2: A Narrative Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170415/,Ann Intern Med,Other,926.0,We searched the PubMed database for articles on SARS–CoV-2 and diagnostics.,"As of 1 April 2020, the World Health Organization reported more than 926 000 cases in more than 195 countries, areas, or territories (3) .","Laboratory-based molecular assays for detecting SARS-CoV-2 in respiratory specimens are the current reference standard for COVID-19 diagnosis, but point-ofcare technologies and serologic immunoassays are rapidly emerging.

However, point-of-care technologies and serologic immunoassays are rapidly emerging.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-13,Dual-Functional Plasmonic Photothermal Biosensors for Highly Accurate Severe Acute Respiratory Syndrome Coronavirus 2 Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158889/,ACS Nano,Modeling,167.0,All chemicals were purchased from commercial suppliers and used without further purification.,A recent study of 167 COVID-19 infection patients showed that five (3%) patients had positive chest computed tomography (CT) findings but false-negative results from the RT-PCR testing.,"21 Thus, the LSPR technique for genetic testing and nucleic acid detection in clinical practices could be an interesting alternative for SARS-CoV-2 detection and COVID-19 diagnosis.

Under the outbreak background of COVID-19, this proposed dual-functional LSPR biosensor can provide a reliable and easy-to-implement diagnosis platform to improve the diagnostic accuracy in clinical tests and relieve the pressure on PCR-based tests.",2020-04-24
Advances diagnosing sars-cov-2,2020-04-08,Optimize Clinical Laboratory Diagnosis of COVID-19 from Suspect Cases by Likelihood Ratio of SARS-CoV-2 IgM and IgG antibody,https://doi.org/10.1101/2020.04.07.20053660,medrxiv,Case series,2.1,confirmed cases of COVID-19 admitted to the people's hospital Affliated to Wuhan University.,2.1 Suspect cases: Considering both the following epidemiological history and clinical manifestations.,"According to the results of this study, combining the advantages and disadvantages of nucleic acid detection and antibody detection, the clinical pathway for clinicians to diagnose COVID-19 is found.",2020-04-17
Advances diagnosing sars-cov-2,2020-04-06,Clinical meanings of rapid serological assay in patients tested for SARS-Co2 RT-PCR,https://doi.org/10.1101/2020.04.03.20052183,medrxiv,Other,13.0,"Oropharingeal swap samples were suddenly analyzed for SARS-CoV-2 rt-PCR in Laboratory of Molecular Epidemiology and Public Health of the Hygiene Unit of Policlinico Hospital (Bari, Italy), which is the Regional Reference Laboratory for the SARS-CoV-2 identification.","However, all 13 patients withVivaDiag TM positive test and negative RT-PCR result (6.8%) were positive for IgM while only 7 subjects resulted positive for IgG.",Background RT-PCR test for identifiction of viral nucleic acid is the current standard diagnostic method for the diagnosis of COVID-19 disease but technical reasons limit the utilization of this assay on large scale screenings.,2020-04-10
Advances diagnosing sars-cov-2,2020-04-06,"Global epidemiology, pathogenesis, immune response, diagnosis, treatment, economic and psychological impact, challenges, and future prevention of COVID-19: A scoping review",https://doi.org/10.1101/2020.04.02.20051052,medrxiv,Other,5.0,"Articles, reports, preprints, expert opinions, and information from websites conducted among human participants, published in English language, and briefly showing the data regarding the current outbreak COVID-19 were included.","additionally, sera from 5 patients of confirmed COVID-19 showed some cross-reactivity with SARS-CoV.",The following laboratory diagnostic techniques are used to detect COVID-19,2020-04-10
Advances diagnosing sars-cov-2,2020-04-04,COVID-19: A promising cure for the global panic,https://doi.org/10.1016/j.scitotenv.2020.138277,Science of The Total Environment,Other,2494.0,"The WHO, on February 11, 2020, officially named the viral disease COVID-19 Guarner, 2020) .","This was closely followed by the emergence of MERS-CoV at Saudi Arabia in 2012, which caused 858 deaths among the 2494 known infected cases (Zaki et al., 2012) .","Imaging techniques can also be utilized as a diagnostic method in COVID-19.

During the SARS and MERS outbreaks effective diagnostic tools were developed for accurate detection.",2020-04-10
Advances diagnosing sars-cov-2,2020-04-01,Fighting the Coronavirus Outbreak,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123858/,ACS Chem Biol,Other,12.0,"9 At the center of the outbreak, a joint team led by Prof. Tiangang Liu at Wuhan University and Prof. Yan Li from the Renmin Hospital of Wuhan University developed a nanopore target sequencing (NTS) method to detect COVID-19 and other potential respiratory viruses simultaneously.","7 In collaboration with the You'an Hospital of Beijing Medical University, they collected blood samples from 12 convalescent patients, performed B-cell single cell sorting and library construction, and detected 15 000 IgG antibody sequences in 143 000 B cells.","In the early stage of the epidemic, clinicians relied on the traditional nucleic acid detection kit as the most precise method for diagnosis; however, it is timeconsuming with an inherent low positive detection rate.

In the early stage of the epidemic, clinicians relied on the traditional nucleic acid detection kit as the most precise method for diagnosis; however, it is time-consuming with an inherent low positive detection rate.",2020-04-10
Advances diagnosing sars-cov-2,2020-03-31,"Measures for diagnosing and treating infections by a novel coronavirus responsible for a pneumonia outbreak originating in Wuhan, China",https://doi.org/10.1016/j.micinf.2020.01.003,Microbes and Infection,Other,887.0,"Abstract On 10 January 2020, a new coronavirus causing a pneumonia outbreak in Wuhan City in central China was denoted as 2019-nCoV by the World Health Organization (WHO).","As of 24 January 2020, there were 887 confirmed cases of 2019-nCoV infection, including 26 deaths, reported in China and other countries.",There are other molecular-based detection techniques in addition to RT-PCR and similar optimized detection techniques.,2020-04-10
Advances diagnosing sars-cov-2,2020-03-30,"SARS-CoV-2 detection using digital PCR for COVID-19 diagnosis, treatment monitoring and criteria for discharge",https://doi.org/10.1101/2020.03.24.20042689,medrxiv,Other,109.0,Double-blinded experiment data of 108 clinical specimens by dPCR methods were compared with results from officially approved RT-PCR assay.,A total of 109 samples including 108 clinical specimens and 1 negative control sample were tested in this study.,A high sensitivity RNA detection method to resolve the existing issues of RT-PCR is in need for more accurate COVID-19 diagnosis.,2020-04-03
Advances diagnosing sars-cov-2,2020-03-30,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,ACS Nano,Other,2.0,"29, 30 According to the joint report by the World Health Organization (WHO) and China, 104 strains of the SARS-CoV-2 virus were isolated and sequenced using Illumina and Oxford nanopore sequencing from the end of December 2019 to mid-February 2020.","2 Patients were scanned using computed tomography (CT), which revealed varied opacities (denser, more profuse, and confluent) in comparison to images of healthy lungs.","Other isothermal amplification techniques for COVID-19 detection are in development.

Lateral flow antigen detection for SARS-CoV-2 is one point-of-care approach under development for diagnosing COVID-19.

Other isothermal amplification techniques for COVID-19 detection are in development.62

Molecular techniques are more suitable than syndromic testing and CT scans for accurate diagnoses because they can target and identify specific pathogens.

Nucleic acid testing and CT scans have been used for diagnosing and screening COVID-19.

38 However, RT-PCR is the most predominantly used method for diagnosing COVID-19 using respiratory samples.",2020-04-17
Advances diagnosing sars-cov-2,2020-03-29,Can AI help in screening Viral and COVID-19 pneumonia?,https://doi.org/,ArXiv,Other,43.0,A public database was created by the authors using three public databases and by collecting images from recently published articles.,"Authors managed to collect 60 COVID-19 positive chest x-ray images from 43 recently published articles ,which were not listed in the GitHub database.","The high accuracy of this computer-aided diagnostic tool can significantly improve the speed and accuracy of diagnosing cases with COVID-19.

We believe that this computer aided diagnostic tool can significantly improve the speed and accuracy of diagnosing cases with COVID-19.",2020-05-01
Advances diagnosing sars-cov-2,2020-03-27,Systematic review and critical appraisal of prediction models for diagnosis and prognosis of COVID-19 infection,https://doi.org/10.1101/2020.03.24.20041020,medrxiv,Systematic review,5.0,"We searched PubMed, EMBASE via Ovid, bioRxiv, medRxiv, and arXiv for research on COVID-19 published after 3 rd January 2020.","Five studies carried out an external validation, 7 12 25 32 22 and only one study assessed calibration correctly.","-Viral nucleic acid testing and chest CT are standard methods for diagnosing COVID-19, but are time-consuming.",2020-04-10
Advances diagnosing sars-cov-2,2020-03-23,Promising methods for detection of novel coronavirus SARS‐CoV‐2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169335/,PMC,Other,19.0,"As of February 6, 2020, 19 other genome sequences of SARS-CoV-2 obtained by using Illumina or Nanopore platforms were also uploaded on GenBank by researchers in China, 3, 4 the United States, and Australia.","As of February 6, 2020, 19 other genome sequences of SARS-CoV-2 obtained by using Illumina or Nanopore platforms were also uploaded on GenBank by researchers in China, 3, 4 the United States, and Australia.","Antibody-based immunoassay techniques combined with different signal detection methods are also found to be typically rapid detection methods.

Also, NTS combines sensitivity, comprehensiveness, rapid detection, and low cost, making it the most suitable method for the detection of suspected viral infection that cannot be diagnosed effectively by other methods.",2020-04-24
Advances diagnosing sars-cov-2,2020-03-23,Can a Paper-Based Device Trace COVID-19 Sources with Wastewater-Based Epidemiology?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7099676/,Environ Sci Technol,Other,158.0,"About 158 111 confirmed cases and 5946 cumulative deaths (81 059 confirmed cases and 3204 cumulative deaths from China) have been reported around the globe as of March 15, 2020.","About 158 111 confirmed cases and 5946 cumulative deaths (81 059 confirmed cases and 3204 cumulative deaths from China) have been reported around the globe as of March 15, 2020.","Paper analytical devices have emerged as powerful tools for the rapid diagnosis of pathogens and determination of infection transmission.

Paper analytical devices enable multiplexed, sensitive assays that rival PCR laboratory assays and provide high-quality, fast precision diagnostics for pathogens.",2020-04-03
Advances diagnosing sars-cov-2,2020-03-23,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,https://doi.org/10.1016/j.crad.2020.03.004,Clin Radiol,Case series,114.0,"The study comprised 114 patients with confirmed COVID-19 treated at Xiaogan Hospital from 25 January 2020, to 9 February 2020, with complete medical records.","The study comprised 114 patients with confirmed COVID-19 treated at Xiaogan Hospital from 25 January 2020, to 9 February 2020, with complete medical records.","CONCLUSION: Spiral CT is a sensitive examination method, which can be applied to make an early diagnosis and for evaluation of progression, with a diagnostic sensitivity and accuracy better than that of nucleic acid detection.",2020-04-10
Advances diagnosing sars-cov-2,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Other,32.0,"We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.",RT-PCR was a widely used tool in diagnosing SARS-CoV-2 infection.,2020-04-24
Advances diagnosing sars-cov-2,2020-03-21,Profiling Early Humoral Response to Diagnose Novel Coronavirus Disease (COVID-19),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184472/,Clin Infect Dis,Other,208.0,The grandparents returned to Beijing from Wuhan on 22 January 2020.,"In this study, a total of 208 blood samples were collected from 2 cohorts.","The epidemiology, etiology, and clinical characteristics of COVID-19 have recently been described in detail The current methods of diagnosis of COVID-19 includes detection of the virus by genomic techniques using either polymerase chain reaction (PCR)-based methods or deep sequencing .",2020-05-12
Advances diagnosing sars-cov-2,2020-03-19,"Serological and molecular findings during SARS-CoV-2 infection: the first case study in Finland, January to February 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7096774/,Euro Surveill,Case series,,"She was tested PCR-negative in 3 and 4 February samples and, as considered asymptomatic, discharged from hospital on 5 February.","She was tested PCR-negative in 3 and 4 February samples and, as considered asymptomatic, discharged from hospital on 5 February.","After understanding better the kinetics, specificity and sensitivity of the assays in development, the serological testing may help contact tracing of clusters and have a role in diagnosing acute and past SARS-CoV-2 infections.

The assay can be used as confirmatory tool for SARS-CoV-2 specificity in the development of more accessible diagnostic tools such as assays based on detecting binding antibodies.",2020-04-03
Advances diagnosing sars-cov-2,2020-03-19,A review of the 2019 Novel Coronavirus (COVID-19) based on current evidence,https://doi.org/10.1016/j.ijantimicag.2020.105948,International Journal of Antimicrobial Agents,Other,214.0,"Consistently, SARS-CoV-2 RNA was also dectected in gastrointestinal tissues from COVID-19 patients .","In a study of 214 COVID-19 patients, 78 (36.4%) patients had neurological manifestations .",The detection of viral nucleic acid is the standard for noninvasive diagnosis of COVID-19.,2020-03-27
Advances diagnosing sars-cov-2,2020-03-18,Point-of-Care RNA-Based Diagnostic Device for COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151043/,Diagnostics (Basel),Other,145000.0,A recent study conducted by Prof. Jinzhao Song at the University of Pennsylvania in mid-February of 2020 describes a novel closed-tube COVID-19 assay that includes pathogen nuclei acid amplification and detection .,"As of March 14, 2020, the death toll has exceeded 5400, and there have been 145,000 confirmed cases, causing not only a huge medical health burden but also tremendous economic losses worldwide .","Currently, there are two primary methods for diagnosing COVID-19: a lateral flow immunoassay, which is a common point-of-care (POC) diagnostic approach that detects antibodies against specific viruses (e.g., SARS-CoV-2) in patient samples; and a molecular-based assay.",2020-04-24
Advances diagnosing sars-cov-2,2020-03-14,High sensitivity detection of coronavirus SARS-CoV-2 using multiplex PCR and a multiplex-PCR-based metagenomic method,https://doi.org/10.1101/2020.03.12.988246,biorxiv,Modeling,,"The plasmids containing either S or N gene of SARS-CoV-2 (pUC-S and pUC-N, respectively) were purchased from Sangon Biotech, Shanghai, China.","The two plasmids were diluted from approximately 9,000 copies to below one copy, and were amplified in multiplex PCR reactions.",AbstractMany detection methods have been used or reported for the diagnosis and/or surveillance of SARS-CoV-2.,2020-03-27
Advances diagnosing sars-cov-2,2020-03-14,Accurate Identification of SARS-CoV-2 from Viral Genome Sequences using Deep Learning,https://doi.org/10.1101/2020.03.13.990242,biorxiv,Other,402.0,"This resulted in 402 sequences, distributed as described in Table 2 .","This resulted in 402 sequences, distributed as described in Table 2 .","Molecular techniques, such as quantitative real-time RT-PCR and nucleic acid sequencing methods, are widely used to identify pathogens.",2020-04-10
Advances diagnosing sars-cov-2,2020-03-10,Rapid AI Development Cycle for the Coronavirus (COVID-19) Pandemic: Initial Results for Automated Detection&Patient Monitoring using Deep Learning CT Image Analysis,https://doi.org/,ArXiv,Retrospective observational,157.0,"50 abnormal thoracic CT scans (slice thickness, {5,7,8,9,10}mm) from China of patients that were diagnosed by a radiologist as suspicious for COVID-19 (from Jan-Feb 2020).",The study includes a testing set of 157 international patients (China and U.S).,"As illustrated above, using standard machine learning techniques and innovative AI applications, in combination with an established pulmonary CT detection platform, an effective tool can be utilized for the screening and early detection of patients who may have contracted the COVID-19 pathogen.",2020-05-01
