,Date,Study,Study Link,Journal,Study Type,Material,Method,Property 1,Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-05-01,Lung cancer management challenges amidst COVID-19 pandemic: hope lives here,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202360/,PMC,Other,,,,,,,,Patients should immediately report to hospital in case of any symptoms to rule out COVID-19.,", it is reported that cancer patients have a higher risk of getting infected with SARS-CoV-2 (0.79%), compared with non-cancer patients (0.37%), especially lung cancer patients (7 out of 12 patients) and those aged 60 years or older.","As per recent data, coronavirus can remain viable on plastic surfaces for up to 72 hours, making radiotherapy equipment a potential transmission nidus .",2020-05-12
,2020-04-30,The role of additive manufacturing and antimicrobial polymers in the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7196922/,Expert Rev Med Devices,Modeling,,,,,,,,"Furthermore, repurposing connectors from other medical devices, can result in air leakage and infectious complications from sharing one ventilator.","Furthermore, repurposing connectors from other medical devices, can result in air leakage and infectious complications from sharing one ventilator.","= 0.427–1.19) and no viable COVID-19 virus was measured after 4 hours.

= 5.62–8.17) hours with viable virus also detected up to 72 hours .",2020-05-12
,2020-04-30,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197627/,Cardiovasc Res,Other,,,,,,,,"Nineteen of them were discharged from the hospital within 2 weeks, as reported by China’s National Health Commission.","In an analysis of 68 fatal cases in Wuhan, 36 patients (53%) died of respiratory failure, 5 (7%) patients with myocardial damage died from circulatory failure, and 22 patients (33%) died from both.","SARS-CoV-2 is more stable on plastic and stainless steel than on copper and cardboard, and viable virus may be detected up to 72 h after application to these surfaces.",2020-05-12
,2020-04-28,Perioperative preparations for COVID -19 -The Pediatric Cardiac Team Perspective,https://doi.org/10.1053/j.jvca.2020.04.032,Journal of Cardiothoracic and Vascular Anesthesia,Modeling,,,,,,,,"40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.","40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.","40 Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.",2020-05-01
,2020-04-27,"Sleep labs, lung function tests and COVID-19 pandemic – Only emergencies allowed!",https://doi.org/10.1016/j.pulmoe.2020.04.002,Pulmonology,Other,,,,,,,,"1 In January 2020, a novel coronavirus was identified, from the respiratory tract secretions of patients in China, 2---4 due to whole-genome sequencing.","1 In January 2020, a novel coronavirus was identified, from the respiratory tract secretions of patients in China, 2---4 due to whole-genome sequencing.","Also, after recovery, the ventilator equipment should go for a quarantine period of not less than 30 days as the virus can be viable for a long period in plastic.",2020-05-12
,2020-04-24,"Healthcare worker mask reuse in a global pandemic: Using idle resources to create an inexpensive, scalable, and accessible UV system for N95 sterilization",https://doi.org/10.1101/2020.04.19.20070870,medrxiv,Other,,,,,,,,We used a UV meter (attenuation λ=254nm) to measure the irradiation area at discrete points using our modified fixture outfitted with a single UV-C bulb (G30T8 with 13.4W UV output) taken from an existing BSC.,"In other studies, three UVGI cycles of 1.6-2.0 mW/cm 2 for 15 min did not cause significant changes in respirator fit , and there was no change in filtration performance .","SARS-CoV-2 can persist on plastic and stainless steel for up to 3 days, although at 73 hours virus titer had decreased 3-fold, and no viable SARS-CoV-2 was measured on cardboard after 24 hours .",2020-05-01
,2020-04-24,COVID-19: POSTMORTEM DIAGNOSTIC AND BIOSAFETY CONSIDERATIONS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202125/,Am J Forensic Med Pathol,Other,,,,,,,,We also review and summarize the current COVID-19 literature in an effort to provide practical evidence-based biosafety guidance for ME/C offices encountering COVID-19 at autopsy.,"17 In cases in which autopsy is merited, the above described precautions should be followed to prevent morgue staff-acquired COVID-19 infection.","In one experimental study, viable SARS-CoV-2 was detected up to 72 hours after being placed onto plastic and stainless steel surfaces; it also remained viable in an experimentally created aerosol for at least 3 hours, although infectious titers per liter of air decreased over time.

58 Given that SARS-CoV-2 may remain viable on a variety of inanimate surfaces for a matter of days, careful morgue decontamination procedures are key.",2020-05-12
,2020-04-20,An Atypical Presentation of Novel Coronavirus Disease 2019 (COVID-19),https://doi.org/10.1016/j.amjmed.2020.03.026,The American Journal of Medicine,Other,,,,,,,,1 Some patients have experienced gastrointestinal symptoms such as diarrhea and nausea.,1 Some patients have experienced gastrointestinal symptoms such as diarrhea and nausea.,The virus may remain infectious in aerosols for hours and on surfaces up to days.,2020-05-12
,2020-04-18,COVID-19 and ENT Pediatric otolaryngology during the COVID-19 pandemic. Guidelines of the French Association of Pediatric Otorhinolaryngology (AFOP) and French Society of Otorhinolaryngology (SFORL),https://doi.org/10.1016/j.anorl.2020.04.010,"European Annals of Otorhinolaryngology, Head and Neck Diseases",Other,,,,,,,,"Results: In children, incidence of symptomatic COVID-19 (1-5%) is low and of good prognosis.","Results: In children, incidence of symptomatic COVID-19 (1-5%) is low and of good prognosis.","The virus is viable for up to several days depending on surfaces (plastic 72 hours and stainless steel 48 hours): young children tend to touch everything and it is advisable to regularly disinfect all surfaces in offices and consultation rooms, as well as hospital rooms for children.",2020-04-24
,2020-04-15,Ophthalmic manifestations of novel coronaviruses: precautionary measures and diagnostic possibilities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179981/,PMC,Other,,,,,,,,"For example, according to data of the American Academy of Ophthalmology, an ophthalmologist working in Wuhan contracted the virus from an asymptomatic glaucoma patient in January 2020.",One study from Wuhan identified conjunctivitis in two (2.78%) of 72 patients with confirmed COVID-19 infection.,"SARS-CoV-2 remained viable in aerosols throughout the duration of experiment (3 hours), with a reduction in infectious titer from 10 3.5 to 10 2.7 TCID 50 per liter of air .",2020-05-12
,2020-04-13,Open Data Resources for Fighting COVID-19,https://doi.org/,ArXiv,Modeling,,,,,,,,The data corresponding to the United States can be obtained from the 2019 Novel Coronavirus Covid-19 (2019-nCoV) data set from Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE).,They used data collected from all the cities in China with more than 100 cases.,The virus can survive on surfaces for up to 72 hours such as plastic and stainless steel .,2020-05-01
,2020-04-09,"An overview of coronaviruses including the SARS-2 coronavirus – Molecular biology, epidemiology and clinical implications",https://doi.org/10.1016/j.cmrp.2020.04.001,Current Medicine Research and Practice,Retrospective observational,,,,,,,,"An extensive retrospective data of 1099 patients from 552 hospitals in mainland China from the onset of epidemic till January 29, 2020 deals with the demographic and clinical features of the patients from Wuhan and other non residents.","Various randomized clinical trials evaluating the efficacy of lopinavir/ritonavir (ChiCTR2000029308) and a new antiviral 19 This retrospective study enrolled 191 confirmed patients suffering from the disease from a cohort of 813 patients admitted in two different hospitals in Wuhan, 54 patients died in the hospital and 137 were discharged.",In case of stainless surfaces the viral load decreased from 10 3.6 to 10 0.6 after 48 h. However on copper surfaces no viable SARS-CoV-2 were detected after 4 h and no viable SARS-CoV-1 were measured after 8 h. On cardboard surfaces no viable SARS-CoV-1 and CoV-2 after 24 and 8 h respectively.,2020-05-12
,2020-04-09,Coronavirus disease 2019 and the cardiovascular system: Impacts and implications,https://doi.org/10.1016/j.ihj.2020.03.006,Indian Heart Journal,Other,,,,,,,,"According to the current literature, outcomes in COVID-19 depend on various clinical and biochemical parameters (Fig.","25 In a meta-analysis of 4 studies, cardiac troponin I levels were much higher in those with severe disease than in those with nonsevere disease.","10 SARS-CoV-2 remained viable in aerosols for up to 3 h and more stable on plastic and stainless steel than on copper and cardboard, and the viable virus was detected up to 72 h after application to these surfaces.",2020-05-12
,2020-04-07,2019 Novel Coronavirus (COVID-19) Pandemic: Built Environment Considerations To Reduce Transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141890/,mSystems,Modeling,,,,,,,,"In December 2019, SARS-CoV-2, a novel CoV, was identified in the city of Wuhan, Hubei Province, a major transport hub of central China.","In the months since the identification of the initial cases, COVID-19 has spread to 171 countries and territories, and there are approximately 215,546 confirmed cases (as of 18 March 2020).","Based upon preliminary studies of SARS-CoV-2 survival, the virus survives longest at a relative humidity of 40% on plastic surfaces (half-life median ϭ 15.9 h) and shortest in aerosol form (half-life median ϭ 2.74 h) ; however, survival in aerosol was determined at a relative humidity of 65%.

Based upon preliminary studies of SARS-CoV-2 survival, the virus survives longest at a relative humidity of 40% on plastic surfaces (half-life median = 15.9 h) and shortest in aerosol form (half-life median = 2.74 h) ; however, survival in aerosol was determined at a relative humidity of 65%.",2020-04-24
,2020-04-06,Coronavirus Disease 19 (COVID-19): Implications for Clinical Dental Care,https://doi.org/10.1016/j.joen.2020.03.008,Journal of Endodontics,Other,,,,,,,,"Based on the experience gained from the previous outbreak of SARS-CoV and the data available on SARS-CoV-2 and its associated disease , certain specific measures are discussed for dental patient management in this epidemic period of COVID-19 (summarized in Fig.","In addition, studies have shown the presence of SARS-CoV-2 in both saliva and feces of the affected patients 18, 19 .","SARS CoV-2 can remain viable in aerosol and survive up to 3 days on inanimate surfaces at room temperature, with a greater preference for humid conditions 30 .",2020-04-10
,2020-04-03,The coronavirus pandemic and aerosols: Does COVID-19 transmit via expiratory particles?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157964/,Aerosol Sci Technol,Other,,,,,,,,"As of late March 2020, the global COVID-19 pandemic caused by the SARS-CoV-2 virus has battered the world.","In contrast, airborne transmission may occur by two distinct modes and requires no physical contact between infected and susceptible individuals."," demonstrated that aerosolized SARS-CoV-2 remains viable in the air with a half-life on the order of 1 h; they concluded that both "" … aerosol and fomite transmission of SARS-CoV-2 is plausible, since the virus can remain viable and infectious in aerosols for hours and on surfaces up to days.""

 demonstrated that aerosolized SARS-CoV-2 remains viable in the air with a half-life on the order of 1 h; they concluded that both “…aerosol and fomite transmission of SARS-CoV-2 is plausible, since the virus can remain viable and infectious in aerosols for hours and on surfaces up to days.”",2020-04-24
,2020-04-01,Concerns for activated breathing control (ABC) with breast cancer in the era of COVID-19: Maximizing infection control while minimizing heart dose,https://doi.org/10.1016/j.adro.2020.03.009,Advances in Radiation Oncology,Other,,,,,,,,SARS-CoV-2 particles have had reported diameters ranging from 22,"Additionally, a systematic review of ten studies showed similar results with 15 DIBH, including a reduction of MHD up to 3.4 Gy, translating to a 13.6 percent decrease in risk of 16 heart disease 6 .",SARS-CoV-2 viral particles in aerosols can remain viable for up to 3 hours 23,2020-04-03
,2020-03-30,A COVID-19 Infection Risk Model for Frontline Health Care Workers,https://doi.org/10.1101/2020.03.27.20045336,medrxiv,Modeling,,,,,,,,"For even an hour of exposure, when ten COVID-19 patients enter at the same time in the same place, the risk of getting infected with 70% level of protection is the same as the risk of getting infected when there is no PPE worn in a room with at most three COVID-19 patients.","For even an hour of exposure, when ten COVID-19 patients enter at the same time in the same place, the risk of getting infected with 70% level of protection is the same as the risk of getting infected when there is no PPE worn in a room with at most three COVID-19 patients.",There is evidence that the virus particles stay as long as 3 hours as aerosols and 72 hours on plastic surfaces .,2020-04-03
,2020-03-30,COVID-19 Pandemic: Public Health Implications in Nepal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7112957/,Nepal J Epidemiol,Other,,,,,,,,Most COVID-19 cases are handled and treated at Sukraraj Tropical and Infectious Disease Hospital and the SARS-CoV-2 testing is being done at the Nepal Public Health Laboratory in Kathmandu.,"The WHO declared COVID-19 as a pandemic on the 21st of March 2020, when a total of 183,112 cases were reported worldwide in 163 countries with 11,890 deaths .",The virus could remain contagious in the aerosols for up to 3 hours and remains viable on hard surfaces such as plastic and stainless steel for about 72 hours .,2020-05-12
,2020-03-27,"Radiation Therapy in King County, Washington During the COVID-19 Pandemic: Balancing Patient Care, Transmission Mitigation, and Resident Training",https://doi.org/10.1016/j.adro.2020.03.007,Advances in Radiation Oncology,Other,,,,,,,,"Using an extended susceptible, latent, infectious, and removed constitutive model fitted to empirical data from the outbreak in China, biostatisticians at the Broad Institute and Harvard University have shown that social distancing methods, ranging in aggressiveness from a city-wide lockdown to centralized quarantine, were effective in dampening the reproductive number of COVID-19, ultimately controlling the outbreak in Wuhan.","On average, more than 220 patients are treated each day in our department, with cases ranging in complexity from whole-breast radiation therapy to immunocompromised, pediatric patients requiring anesthesia.",Recent data suggest that COVID-19 remains viable on plastic surfaces for up to 72 hours.,2020-04-24
,2020-03-26,Transmission Potential of SARS-CoV-2 in Viral Shedding Observed at the University of Nebraska Medical Center,https://doi.org/10.1101/2020.03.23.20039446,medrxiv,Other,,,,,,,,"The University of Nebraska Medical Center (UNMC), with its clinical partner Nebraska Medicine, monitored and cared for thirteen individuals with confirmed SARS-CoV-2 infection as of March 20 6 th , 2020.","The University of Nebraska Medical Center (UNMC), with its clinical partner Nebraska Medicine, monitored and cared for thirteen individuals with confirmed SARS-CoV-2 infection as of March 20 6 th , 2020.","Further, 40 a recent study of SARS-CoV-2 in aerosol and deposited on surfaces, indicates infectious aerosol may persist for several hours and on surfaces for as long as 2 days .",2020-04-03
,2020-03-26,Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2): An Update,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182166/,PMC,Other,,,,,,,,"In December 2019, a group of patients with pneumonia have been confirmed to be infected with a novel CoV (nCoV), which was not previously observed in humans in Wuhan, the capital city of Hubei province of China The newly discovered virus, causing a similar infection (SARS-CoV), was initially named as nCoV 2019 (January 2020) and was later called COVID-19 in February 2020.","As of February 12, 2020, a total of 43,103 cases of infection and 1,018 deaths have been recorded .","The virus may remain viable on distinct surfaces for 48 hours at 20°C and 40% relative humidity, even though viability reduced to 8 hours at 30°C and 80% relative humidity conditions .",2020-05-01
,2020-03-26,No Time for Tears,https://doi.org/10.1016/j.ophtha.2020.03.030,Ophthalmology,Other,,,,,,,,"No Time for Tears Gerami D. Seitzman, MD -San Francisco, California Thuy Doan, MD, PhD -San Francisco, California","2, 3 In a separate study that evaluated conjunctival swabs of 30 patients with COVID-19 pneumonia in China, only 1 patient demonstrated conjunctivitis, and those swabs showed positive results for SARS-CoV-2 by reverse-transcriptase polymerase chain reaction analysis.","Furthermore, SARS-CoV-2 remains viable in aerosols for at least 3 hours.",2020-05-12
,2020-03-24,Brief Review on COVID-19: The 2020 Pandemic Caused by SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179986/,PMC,Other,,,,,,,,"Case fatality also varies by age: 14.8% in patients aged ≥80 years, 8.0% in patients aged 70-79 years, and 49.0% in critical cases .","Case fatality also varies by age: 14.8% in patients aged ≥80 years, 8.0% in patients aged 70-79 years, and 49.0% in critical cases .",Viable viral particles may remain on stainless steel and plastics for up to 72 hours after application .,2020-05-01
,2020-03-17,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121658/,N Engl J Med,Other,,,,,,,,SARS-CoV-2 nCoV-WA1-2020 (MN985325.1) and SARS-CoV-1 Tor2 (AY274119.3) were the strains used.,"Aerosols were maintained in the Goldberg drum and samples 25 were collected at 0, 30, 60, 120 and 180 minutes post-aerosolization on a 47mm gelatin filter (Sartorius).","On cardboard, no viable SARS-CoV-2 was measured after 24 hours and no viable SARS-CoV-1 was measured after 8 hours (Figure 1A).

On cardboard, no viable SARS-CoV-2 was measured after 24 hours and no viable SARS-CoV-1 was measured after 8 hours (Fig.

On copper, no viable SARS-CoV-2 was measured after 4 hours and no viable SARS-CoV-1 was measured after 8 hours.

3, 4 Our results indicate that aerosol and fomite transmission of SARS-CoV-2 is plausible, since the virus can remain viable and infectious in aerosols for hours and on surfaces up to days (depending on the inoculum shed).

SARS-CoV-2 was more stable on plastic and stainless steel than on copper and cardboard, and viable virus was detected up to 72 hours after application to these surfaces (Figure 1A), although the virus titer was greatly reduced (from 103.7 to 100.6 TCID50 per milliliter of medium after 72 hours on plastic and from 103.7 to 100.6 TCID50 per milliliter after 48 hours on stainless steel).

SARS-CoV-2 remained viable in aerosols throughout the duration of our experiment (3 hours), with a reduction in infectious titer from 103.5 to 102.7 TCID50 per liter of air.",2020-04-10
,2020-03-12,Coronavirus Disease 2019 (COVID-19): Emerging and Future Challenges for Dental and Oral Medicine,https://doi.org/10.1177/0022034520914246,J Dent Res,Other,,,,,,,,2020; Del Rio and Malani 2020) .,"In the early stage of the epidemic, in an analysis of 138 hospitalized patients with COVID-19 in Wuhan, 57 (41%) were presumed to have been infected in hospital, including 40 (29%) health care workers and 17 (12%) patients hospitalized for other reasons .","SARS-CoV-2 can persist on surfaces for a few hours or up to several days, depending on the type of surface, the temperature, or the humidity of the environment (WHO 2020c).",2020-04-17
0,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,-,-,-,-,2 hrs to 9 days,,05-10-2020,,,,
