,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-03-31,An evidence-based framework for priority clinical research questions for COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125419/,PMC,Systematic review,,,,,,,,METHODS: Three bibliographic databases were searched to identify clinical studies published on SARS-CoV and MERS-CoV in the outbreak setting.,"The first aggregated patient data comes from a publication by Chaolin Huang and colleagues, who described clinical features of 41 admitted hospital patients, 6 of whom died.","However, one patient showed viral shedding in saliva up to 11 days .",2020-04-10
,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Other,,,,,,,,"We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","Dynamic clinical samples including nasal swabs, blood, fecal, urine, saliva and tears were collected from each patient for surveillance.

1 (A) , the viral shedding (from positive to negative) time of SARS-CoV-2 of nasal swab was significantly longer than that of blood ( p = 0.0 0 0) and saliva ( p = 0.05).",2020-04-24
,2020-03-21,The index case of SARS-CoV-2 in Scotland,https://doi.org/10.1016/j.jinf.2020.03.022,Journal of Infection,Other,,,,,,,,KH and CDR collected the data.,"8 Similar kinetics were observed in 17 patients from China, where results were stratified by site tested (nose/throat) suggesting quantitatively greater and more prolonged shedding from the nose.","SARS-CoV-2 PCR on urine, faeces and EDTA blood was negative.",2020-04-24
,2020-03-19,A review of the 2019 Novel Coronavirus (COVID-19) based on current evidence,https://doi.org/10.1016/j.ijantimicag.2020.105948,International Journal of Antimicrobial Agents,Other,,,,,,,,"Consistently, SARS-CoV-2 RNA was also dectected in gastrointestinal tissues from COVID-19 patients .","In a study of 214 COVID-19 patients, 78 (36.4%) patients had neurological manifestations .","In addition, researchers also detected SARS-CoV-2 in the samples of stool, gastrointestinal tract, saliva and urine.",2020-03-27
,2020-03-16,First Pediatric Case of Coronavirus Disease 2019 in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086086/,J Korean Med Sci,Other,,,,,,,,"On February 5, 2020, her mother was confirmed with COVID-19.","Among 3,526 confirmed cases, as of March 1, 2020, 164 children and adolescents under 20 years of age were diagnosed with COVID-19, comprising approximately 4.7% of the total confirmed cases.","Serum, saliva, and urine tested negative on hospital days 3 and 8.",2020-04-03
,2020-03-15,Coronavirus Disease: A Review of a New Threat to Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158591/,PMC,Other,,,,,,,,"In December 2019, several patients from Wuhan, China were admitted to hospitals with symptoms of pneumonia.",Four COVID-19 patients were recruited by Wang et al.,"The study also reported that the patients had prolonged virus shedding in the respiratory tract and feces, even during their convalescent stage.",2020-04-24
,2020-03-13,Prolonged presence of SARS-CoV-2 in feces of pediatric patients during the convalescent phase,https://doi.org/10.1101/2020.03.11.20033159,medrxiv,Case series,,,,,,,,"Methods: From January 17, 2020 to March 6, 2020, three pediatric cases of COVID-19 were reported in Qingdao, Shandong Province, China.","From January 17, 2020 to February 23, 2020, a total of 60 patients were diagnosed with COVID-19 in Qingdao, Shandong Province, China.",Prolonged shedding of SARS-CoV-2 in stools of infected children indicates the potential for the virus to be transmitted through fecal excretion.,2020-03-27
,2020-03-06,Restoration of leukomonocyte counts is associated with viral clearance in COVID-19 hospitalized patients,https://doi.org/10.1101/2020.03.03.20030437,medrxiv,Other,,,,,,,,"The role of leukomonocytes in viral clearance of COVID-19 patients is not yet well defined.Methods: From January 26 to February 28, 2020, an observational study was launched at Zhongnan Hospital of Wuhan University, Wuhan, China.","We enrolled 25 laboratory-confirmed COVID-19 patients, whose throat-swab specimens were tested positive for SARS-CoV-2 infection by qRT-PCR.",the shedding of SARS-CoV-2 in saliva continued up to 11 days .,2020-03-27
,2020-02-28,A Case Series of children with 2019 novel coronavirus infection: clinical and epidemiological features,https://doi.org/10.1093/cid/ciaa198,Clin Infect Dis,Case series,,,,,,,,"Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.","Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.",Prolonged virus shedding is observed in respiratory tract and feces at the convalescent stage.,2020-04-10
,2020-02-27,"Clinical features and sexual transmission potential of SARS-CoV-2 infected female patients: a descriptive study in Wuhan, China",https://doi.org/10.1101/2020.02.26.20028225,medrxiv,Other,,,,,,,,"Methods: From January 28 to February 18, 2020, 35 female patients diagnosed with COVID-19 in Tongji Hospital were included in this descriptive study.","Methods: From January 28 to February 18, 2020, 35 female patients diagnosed with COVID-19 in Tongji Hospital were included in this descriptive study.","In addition, SARS-CoV was detected in urine, feces and tears of some SARS-CoV infected patients.",2020-03-27
,2020-02-24,Viral load of SARS-CoV-2 in clinical samples,https://doi.org/10.1016/s1473-3099(20)30113-4,The Lancet Infectious Diseases,Other,,,,,,,,"Published Online February 24, 2020 S1473-3099 30113-4","Here, we report our findings from different types of clinical specimens collected from 82 infected individuals.",No viral RNA was detected in urine or stool samples from these two patients.,2020-03-27
,2020-02-12,Consistent Detection of 2019 Novel Coronavirus in Saliva,https://doi.org/10.1093/cid/ciaa149,Clin Infect Dis,Other,,,,,,,,"In December 2019, a SARS-CoV-like coronavirus, the 2019 novel coronavirus (2019-nCoV), has emerged in Hubei Province of China and has spread rapidly in mainland China and to other parts of the world .",A total of 12 patients with laboratory-confirmed 2019-nCoV infection in Hong Kong were included.,"For patient B, viral shedding in saliva was still detected on day 11 after hospitalization.",2020-04-10
0,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://www.medrxiv.org/content/10.1101/2020.03.28.20043059v1,medRxiv,Prospective Cohort,Urine,RT-PCR confirmed,range: 16-21,-,Only detectable in 2 severe cases,patients: 23,04/08/2020,,,,
1,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.24.20042382v1,medRxiv,Prospective Cohort,Urine,RT-PCR confirmed,-,-,Only 13 (5.6%) urine samples positive,patients: 67,04/08/2020,,,,
2,2020-03-03,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,https://jamanetwork.com/journals/jama/fullarticle/2762688,JAMA,Descriptive case series,Urine,RT-PCR confirmed,-,-,Not detected in urine,patients: 10,04/08/2020,,,,
