,Date,Study,Study Link,Journal,Study Type,Addressed Population,Challenge,Solution,Measure of Evidence,Added on
10,2020-04-07,Increased Detection coupled with Social Distancing and Health Capacity Planning Reduce the Burden of COVID-19 Cases and Fatalities: A Proof of Concept Study using a Stochastic Computational Simulation Model,https://www.medrxiv.org/content/10.1101/2020.04.05.20054775v1,medRxiv,Simulation,General population,"In absence of any vaccine, the Corona Virus Disease 2019 (COVID-19) pandemic is being contained through a non-pharmaceutical measure termed Social Distancing (SD). However, whether SD alone is enough to flatten the epidemic curve is debatable.",Results: Implementing SD only delayed the appearance of peak prevalence of COVID-19 cases. Doubling of hospital beds could not reduce the fatal cases probably due to its overwhelming number compared to the hospital beds. Increasing detection rates could significantly flatten the curve and reduce the peak prevalence of cases (increasing detection rate by 5 times could reduce case number to half). Conclusions: An effective strategy to contain the epidemic spread of COVID-19 in India is to increase detection rates in combination with SD measures and increase in hospital beds.,regions: Kerala; model: Stochastic Computational Simulation Model,4/29/2020
11,2020-04-06,Political Beliefs affect Compliance with COVID-19 Social Distancing Orders,https://dx.doi.org/10.2139/ssrn.3569098,SSRN,Retrospective observational Study,General population,Ability to control the outbreak based on politics,Bipartisan support is essential to maximize the effectiveness of social distancing orders.  Faith in the credibility of officials issuing government orders affects adherence to those policies.,countries: USA,4/22/2020
12,2020-04-06,School closure and management practices during coronavirus outbreaks including COVID-19: a rapid systematic review.,https://www.ncbi.nlm.nih.gov/pubmed/32272089,Child & adolescent health,Systematic review / meta-analysis,Children and Adolescents,It is unknown whether school measures are effective in coronavirus outbreaks,"School closures were deployed rapidly across mainland China and Hong Kong for COVID-19. However, there are no data on the relative contribution of school closures to transmission control. Data from the SARS outbreak in mainland China, Hong Kong, and Singapore suggest that school closures did not contribute to the control of the epidemic. Modelling studies of SARS produced conflicting results. Recent modelling studies of COVID-19 predict that school closures alone would prevent only 2-4% of deaths, much less than other social distancing interventions. Policy makers need to be aware of the equivocal evidence when considering school closures for COVID-19, and that combinations of social distancing measures should be considered. Other less disruptive social distancing interventions in schools require further consideration if restrictive social distancing policies are implemented for long periods.",-,4/25/2020
13,2020-04-04,Travel health risk perceptions of Chinese international students in Australia – Implications for COVID-19,https://doi.org/10.1016/j.idh.2020.03.002,"Infection, Disease & Health",Case series,General population,Travel risk perception,It confirms students could be a risk population for importations of infections such as COVID-19 because of low risk perception and lack of seeking travel health advice. This can inform health promotion strategies for students.,participants: 28,4/28/2020
14,2020-04-03,School Opening Delay Effect on Transmission Dynamics of Coronavirus Disease 2019 in Korea: Based on Mathematical Modeling and Simulation Study.,https://www.ncbi.nlm.nih.gov/pubmed/32242349,Journal of Korean medical science,Simulation,Children and Adolescents,Nonpharmaceutical intervention strategy is significantly important to mitigate the coronavirus disease 2019 (COVID-19) spread. One of the interventions implemented by the government is a school closure.,"The simulation results show that the government could reduce at least 200 cases, with two announcements by the Ministry of education. After March 23, although the possibility of massive transmission in the children's age group is lower, group transmission is possible to occur.","countries: Korea; model: mathematical model, susceptible-exposed-infectious-recovered model",4/25/2020
15,2020-04-03,Considering inequalities in the school closure response to COVID-19.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195275/,The Lancet Global Health,Systematic review / meta-analysis,Children and Adolescents,"As COVID-19 is declared a pandemic and several countries declare nationwide school closures, these measures are affecting hundreds of millions of children. More countries are entering delay and mitigation phases of pandemic control, with an urgent need for proactive and multifaceted responses addressing children's social, economic, and health needs to avoid widening disparities and honour commitments to the UN Convention on Child Rights and Sustainable Development Goals.","We call for transparent public discussion and research, incorporating the voices of children and their families on the feasibility, acceptability, and impact of closures to inform both our response now and future pandemic planning. We ask whether adequate evidence exists of transmission reduction due to school closures to outweigh the long-term risks of deepening social, economic, and health inequities for children. We must strike a balance, protecting those most at risk without sacrificing the next generation's future.",-,4/25/2020
16,2020-04-02,Electronic Personal Protective Equipment: A Strategy to Protect Emergency Department Providers in the Age of COVID-19,https://doi.org/10.1093/jamia/ocaa048,Journal of the American Medical Informatics Association,Expert Review,General population,Telemedicine to replace in-person healthcare,"Emergent policy changes related to telemedicine and the Emergency Medical Treatment and Labor Act (EMTALA) during the novel coronavirus pandemic (COVID-19) have created opportunities for technology-based clinical evaluation, which serves to conserve personal protective equipment (PPE) and protect emergency providers. To minimize risk, we recommend performing MSEs using ePPE on low risk patients with reassuring vital signs, few comorbidities, and chief complaints suggesting lower respiratory infection (fever, cough, shortness of breath).",studies: 34,4/22/2020
17,2020-04-02,"Understanding coronavirus disease (COVID-19) risk perceptions among the public to enhance risk communication efforts: a practical approach for outbreaks, Finland, February 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140598/,Euro Surveill,Cross-sectional study,General population,Risk perceptions,"Risk communication programmes must produce trustworthy and relevant information during emergencies to inform people about risk, influence behavioural change, and encourage participation in decision making about emergency measures.",posts: 116; countries: Finland,4/28/2020
18,2020-04-01,Measuring Two Distinct Psychological Threats of COVID-19 and their Unique Impacts on Well-being and Adherence to Public Health Behaviors,https://psyarxiv.com/5zr3w/download/?format=pdf,Psyarxiv,Cross-sectional and longitudinal,General population,Realistic and symbolic threat predict higher anxiety and lower wellbeing and the two kinds of threat diverge in their relationship to public health behaviors,1) Realistic threats to physical or financial safety increases public health compliance; 2) Symbolic threats to one's sociocultural identity doesn't increase public health compliance as much as realistic threats.,-,4/22/2020
19,2020-03-31,COVID-19 pandemic and addiction: Current problems and future concerns,https://doi-org.proxy.lib.umich.edu/10.1016/j.ajp.2020.102064,Asian Journal of Psychiatry,Expert Review,General population,Impact of social distancing on addiction,Little attention is provided to the substance user during this pandemic so proper measures and support services should be established to help this vulnerable community.,studies: 6,4/22/2020
20,2020-03-30,Data and Statistics on Children's Mental Health,https://www.cdc.gov/childrensmentalhealth/data.html,Centers for Disease Control and Prevention,Expert Review,Children and Adolescents,Impact of social distancing/school closures on mental health,"Most mental health disorders begin in childhood, making it essential that mental health needs are identified early and treated during this sensitive time in child development. The COVID-19 pandemic may worsen existing mental health problems and lead to more cases among children and adolescents because of the unique combination of the public health crisis, social isolation, and economic recession.",studies: 7,4/22/2020
21,2020-03-30,Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries,https://spiral.imperial.ac.uk/handle/10044/1/77731,Medical Research Council (MRC) The Royal Society,Simulation,General population,"In response, many European countries have implemented unprecedented non-pharmaceutical interventions including case isolation, the closure of schools and universities, banning of mass gatherings and/or public events, and most recently, widescale social distancing including local and national lockdowns.","Countries have managed to reduce their reproduction number. With current interventions remaining in place to at least the end of March, we estimate that interventions across all 11 countries will have averted 59,000 deaths up to 31 March [95% credible interval 21,000-120,000]. Many more deaths will be averted through ensuring that interventions remain in place until transmission drops to low levels. It is therefore critical that the current interventions remain in place and trends in cases and deaths are closely monitored in the coming days and weeks to provide reassurance that transmission of SARS-Cov-2 is slowing.",countries: 11; model: semi-mechanistic Bayesian hierarchical model,4/25/2020
22,2020-03-30,COVID-19 Modelling: the Effects of Social Distancing,https://www.medrxiv.org/content/10.1101/2020.03.29.20046870v1.full.pdf,medRxiv,Simulation,General population,The purpose of this article is to reach all those who find it difficult to become well informed about the repercussions of a lockdown strategy to tackle the COVID-19 pandemic and to spark discussion and thought.,"It is clear that the less strict the social distancing the more time it will take for life to return to normal, and the more lives will be at risk.",model: Markov chain model,4/25/2020
23,2020-03-26,Age-structured impact of social distancing on the COVID-19 epidemic in India,https://arxiv.org/pdf/2003.12055.pdf,arXiv Preprint,Simulation,General population,"The structures of social contact critically determine the spread of the infection and, in the absence of vaccines, the control of these structures through large-scale social distancing measures appears to be the most effective means of mitigation.","A three-week lockdown is found insufficient to prevent a resurgence and, instead, protocols of sustained lockdown with periodic relaxation are suggested.; Our study underlines the importance of age and social contact structures in assessing the country specific impact of mitigatory social distancing.","model: SIR model, Bayesian imputation; countries: India.",4/25/2020
24,2020-03-26,Perioperative COVID-19 Defense: An Evidence-Based Approach for Optimization of Infection Control and Operating Room Management,https://journals.lww.com/anesthesia-analgesia/Abstract/9000/Perioperative_COVID_19_Defense__An_Evidence_Based.95734.aspx,Anesthesia & Analgesia,Editorial,General population,We describe an evidence-based approach for optimization of infection control and operating room management during the COVID-19 pandemic.,Confirmed modes of viral transmission are primarily but not exclusively contact with contaminated environmental surfaces and aerosolization. Evidence-based improvement strategies for attenuation of residual environmental contamination involve a combination of deep cleaning with surface disinfectants and ultraviolet light (UV-C).,-,4/25/2020
25,2020-03-24,Physical exercise as therapy to fight against the mental and physical consequences of COVID-19 quarantine: Special focus in older people,https://dx.doi.org/10.1016%2Fj.pcad.2020.03.009,Progress in Cardiovascular Diseases,Expert Review,Elderly population,Impact of social distancing on physical health and recommendations,"Collateral effects of quarantine on other dimensions of health: patients require a certain level of physical activity and exercise to maintain an adequate health status, to counteract the negative consequences of certain diseases, such as diabetes, hypertension, CVD, respiratory diseases, or even simply to guarantee an active aging by reducing the risk of frailty, sarcopenia and dementia, as associated diseases in older people. Moreover, the psychological impact of quarantine has been recently reviewed and negative psychological effects, including post-traumatic stress symptoms, confusion, and anger has been reported. The stressor factors suggested included longer quarantine duration, infection fears, frustration, boredom, inadequate supplies, inadequate information, financial loss, and stigma.",studies: 11,4/22/2020
26,2020-03-23,Scientific and ethical basis for social-distancing interventions against COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7118670/,The Lancet Infectious diseases,Expert Review,General population,"In the absence of any pharmaceutical intervention, the only strategy against COVID-19 is to reduce mixing of susceptible and infectious people through early ascertainment of cases or reduction of contact.","Although the scientific basis for these interventions might be robust, ethical considerations are multifaceted. Importantly, political leaders must enact quarantine and social-distancing policies that do not bias against any population group. The legacies of social and economic injustices perpetrated in the name of public health have lasting repercussions. Interventions might pose risks of reduced income and even job loss, disproportionately affecting the most disadvantaged populations: policies to lessen such risks are urgently needed. Special attention should be given to protections for vulnerable populations, such as homeless, incarcerated, older, or disabled individuals, and undocumented migrants. Similarly, exceptions might be necessary for certain groups, including people who are reliant on ongoing medical treatment. The effectiveness and societal impact of quarantine and social distancing will depend on the credibility of public health authorities, political leaders, and institutions. It is important that policy makers maintain the public's trust through use of evidence-based interventions and fully transparent, fact-based communication.",-,4/25/2020
27,2020-03-19,Considerations for quarantine of individuals in the context of containment for coronavirus disease (COVID-19),https://apps.who.int/iris/bitstream/handle/10665/331497/WHO-2019-nCoV-IHR_Quarantine-2020.2-eng.pdf,World Health Organization,Expert Review,General population,Impact of social distancing on the spread of COVID-19,"Authorities must provide people with clear, up-to-date, transparent and consistent guidelines, and with reliable information about quarantine measures. Persons who are quarantined need to be provided with health care; financial, social and psychosocial support; and basic needs, including food, water, and other essentials. The needs of vulnerable populations should be prioritized. Authorities should ensure that: the quarantine setting is appropriate and that adequate food, water, and hygiene provisions can be made for the quarantine period; minimum infection/prevention/control measures can be implemented; minimum requirements for monitoring the health of quarantined persons can be met during the quarantine period.",studies: 6,4/22/2020
28,2020-03-18,Health security capacities in the context of COVID-19 outbreak: an analysis of International Health Regulations annual report data from 182 countries,https://doi.org/10.1016/s0140-6736(20)30553-5,The Lancet,Systematic review / meta-analysis,General population,Readiness and response plan analysis,The analyses of the operational readiness index have been used to support the development of a draft WHO strategic preparedness and response plan for covid - 19,countries: 182,4/28/2020
29,2020-03-17,Impact of city and residential unit lockdowns on prevention and control of COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.13.20035253v1,medRxiv,Simulation,General population,"With respect to the asymptomatic transmission characteristics of the novel coronavirus that appeared in 2019 (COVID-19), a susceptible-asymptomatic-infected-recovered-death (SAIRD) model that considered human mobility was constructed in this study.","The implementation of measures to lock down cities led to higher mortality rates in these cities, due to reduced mobility. Moreover, implementing city lockdown along with addition of hospital beds led to improved cure and reduced mortality rates. Stringent implementation and early lockdown of residential units effectively controlled the spread of the epidemic, and reduced the number of hospital bed requirements. Collectively, measures to lock down cities and residential units should be taken to prevent the spread of COVID-19. In addition, medical resources should be increased in cities under lockdown. Implementation of these measures would reduce the spread of the virus to other cities and allow appropriate treatment of patients in cities under lockdown. Implementation of these measures would reduce the spread of the virus to other cities and allow appropriate treatment of patients in cities under lockdown.",model: SAIRD,4/30/2020
30,2020-03-14,The cancellation of mass gatherings (MGs)? Decision making in the time of COVID-19,https://doi.org/10.1016/j.tmaid.2020.101631,Travel Medicine and Infectious Disease,Systematic review / meta-analysis,General population,Decision making in public health,Decisions in the time of COVID-19 will be closely followed and will be a blueprint for other mass gatherings.,gatherings: 2; studies: 22,4/28/2020
31,2020-03-14,The cancellation of mass gatherings (MGs)? Decision making in the time of COVID-19,https://www.sciencedirect.com/science/article/pii/S1477893920300995?via%3Dihub,Travel Medicine and Infectious Disease,Expert Review,General population,Decisions in the time of COVID-19 will be closely followed and will be a blueprint for other mass gatherings.,"Hajj planners frequently consult on the management of mass gatherings including the US inauguration, the Olympics and the World Cup. Their preemptive management of the coronavirus crisis in the setting of the world's largest and most diverse mass gathering is being closely followed and will be a blueprint for other mass gatherings soon following. While the approaches are myriad, the time for international geopolitical and public health collaboration and solidarity is now, we must save no resources to protect both regional and international populations.",-,4/29/2020
32,2020-03-13,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://www.medrxiv.org/content/10.1101/2020.03.03.20029843v3,medRxiv,Simulation,General population,The COVID-19 outbreak containment strategies in China based on non-pharmaceutical interventions (NPIs) appear to be effective. Quantitative research is still needed however to assess the efficacy of different candidate NPIs and their timings to guide ongoing and future responses to epidemics of this emerging disease across the World.,"Moreover, deploying the NPIs early is also important to prevent further spread. Early and integrated NPI strategies should be prepared, adopted and adjusted to minimize health, social and economic impacts in affected regions around the World.",countries: China; model: SEIR model,4/25/2020
33,2020-03-10,"How health anxiety influences responses to viral outbreaks like COVID-19: What all decision-makers, health authorities, and health care professionals need to know",https://doi.org/10.1016/j.janxdis.2020.102211,Journal of Anxiety Disorders,Expert Review,General population,Health anxiety,"Basic knowledge of how high and low levels of health anxiety will impact behaviour as it relates to strategies for containing and mitigating viral spread is important for all decision-makers, health authorities, and health care professional and needs to be communicated to the public in an effort to curb maladaptive or irresponsible decisions that may negatively impact these efforts.",studies: 11,4/28/2020
34,2020-03-10,Research Frontiers of Health Emergency and Disaster Risk Management: What Do We Know So Far?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7084795/,International Journal of Environmental Research and Public Health,Systematic review and meta-analysis,General population,Disaster health risk reduction efforts,Landscape of Health-EDRM-related research is constantly evolving with global crises and emergencies.,studies: 24,4/28/2020
35,2020-03-09,How will country-based mitigation measures influence the course of the COVID-19 epidemic?,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30567-5/fulltext,The Lancet,Editorial,General population,"Keeping mortality as low as possible will be the highest priority for individuals; hence governments must put in place measures to ameliorate the inevitable economic downturn.; What has happened in China shows that quarantine, social distancing, and isolation of infected populations can contain the epidemic.","Model-based predictions can help policy makers make the right decisions in a timely way, even with the uncertainties about COVID-19. Indicating what level of transmission reduction is required for social distancing interventions to mitigate the epidemic is a key activity (figure). However, it is easy to suggest a 60% reduction in transmission will do it or quarantining within 1 day from symptom onset will control transmission, but it is unclear what communication strategies or social distancing actions individuals and governments must put in place to achieve these desired outcomes. A degree of pragmatism will be needed for the implementation of social distancing and quarantine measures. Ongoing data collection and epidemiological analysis are therefore essential parts of assessing the impacts of mitigation strategies, alongside clinical research on how to best manage seriously ill patients with COVID-19. There are difficult decisions ahead for governments. How individuals respond to advice on how best to prevent transmission will be as important as government actions, if not more important. Government communication strategies to keep the public informed of how best to avoid infection are vital, as is extra support to manage the economic downturn.",-,4/25/2020
36,2020-03-03,Identification of COVID-19 Can be Quicker through Artificial Intelligence framework using a Mobile Phone-Based Survey in the Populations when Cities/Towns Are Under Quarantine,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7151059680918EF9B8CDBCC4EF19C292/S0899823X20000616a.pdf/identification_of_covid19_can_be_quicker_through_artificial_intelligence_framework_using_a_mobile_phonebased_survey_when_cities_and_towns_are_under_quarantine.pdf,Infection Control & Hospital Epidemiology,Expert Review,General population,It is imperative that we evaluate novel models to attempt to control the rapidly spreading SARS-CoV-2.,"To reduce the time needed to identify a person under investigation (PUI) for COVID-19 and their rapid isolation, we propose to collect a basic travel history along with the more common signs and symptoms using a mobile phone–based online survey. Such data can be used in the preliminary screening and early identification of possible COVID-19 cases. Thousands of data points can be processed through an artificial intelligence (AI) framework that can evaluate individuals and stratify them into no risk, minimal risk, moderate risk, and high risk groups. The high-risk cases identified can then be quarantined earlier, thus decreasing the chance of spreading the virus.",-,4/29/2020
37,2020-02-18,Psychological interventions for people affected by the COVID-19 epidemic,https://doi.org/10.1016/S2215-0366(20)30073-0,The Lancet Psychiatry,Expert Review,General population,Impact of social distancing on mental health,"Little attention is paid to the practical implementation of interventions. Owing to a shortage of professionals, the establishment of psychological intervention teams in many areas is not feasible. Cooperation between community health services and mental-health-care institutions may be decoupled.",countries: China; studies: 12,4/22/2020
