,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Sample,Sample Text,Matches,Entry
,2020-04-24,How Reliable are Test Numbers for Revealing the COVID-19 Ground Truth and Applying Interventions?,https://doi.org/,ArXiv,Modeling,,,,,,50.0,"In our experiments, we initialize 50 COVID-19-infected individuals (out of a population of 100k) in a single locality (ward number 120, the 'Cottonpete ward') of the city of Bengaluru and let the outbreak evolve from there.",We consider quarantine intervention where any person tested positive and all its contacts are placed under quarantine for 10 days.,2020-05-01
,2020-04-24,A simulation of a COVID-19 epidemic based on a deterministic SEIR model,https://doi.org/10.1101/2020.04.20.20072272,medrxiv,Modeling,,,,,,4.0,"4 Infected individuals for different values of the initially exposed individuals, corresponding to R 0 greater (a) and smaller (b) than 1.","We show how the date of the peak and the number of casualties are affected by the effectiveness of the home isolation, incubation and infectious periods, probability of transmission and initially exposed individuals.",2020-05-12
,2020-04-23,"Epidemiological Assessment of Imported Coronavirus Disease 2019 (COVID-19) Cases in the Most Affected City Outside of Hubei Province, Wenzhou, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180422/,JAMA Netw Open,Modeling,,,,,,482.0,"A total of 482 patients (median age, 48 years; interquartile range, 37-56 years) were included in our analysis.","First, since both quarantine of asymptomatic individuals exposed to virus and isolation of individuals diagnosed with COVID-19 were used in Wenzhou to control the spread of the epidemic, quarantine (Q) and isolation (J) were considered in our model 5 .",2020-05-12
,2020-04-21,Quarantine and its legal dimension,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195983/,Turk J Med Sci,Other,,,,,,,Isolation and quarantine procedures were widely used too in Ebola outbreak in 2014-2015 for preventing humanto-human transmission .,"Quarantine is separation of persons who have been exposed to an infection but asymptomatic, while isolation is separation of infected patients.",2020-05-12
,2020-04-19,Prevent the resurgence of infectious disease with asymptomatic carriers,https://doi.org/10.1101/2020.04.16.20067652,medrxiv,Modeling,,,,,,,Patient 0 was introduced on February 26 at a company conference; K-12 schools and colleges were closed on March 14; non-essential works were shut down on March 22 (Fig.,"For 1-layer quarantine, contacts of the confirmed carrier between the day of infection and the day of detection are subject to quarantine.

In comparison, 2-layer quarantine requires the school, workplace, home, and communities of the confirmed carrier and its contacts to be quarantined as well.",2020-05-12
,2020-04-18,Mathematical assessment of the impact of non-pharmaceutical interventions on curtailing the 2019 novel Coronavirus,https://doi.org/10.1101/2020.04.15.20066480,medrxiv,Modeling,,,,,,83.0,"South Korea reported 83 newly-confirmed cases on April 3, 2020 .","The parameter α u represents the rate at which exposed non-quarantined individuals are detected (by contacttracing) and placed in quarantine.

Incubation period for non-quarantined (quarantined) exposed individuals σ a Rate at which asymptomatically-infectious humans are detected (via contact-tracing) and hospitalized/isolated α u Rate at which exposed non-quarantined individuals are detected (via contact-tracing) and placed in quarantine

The model, which incorporates the main non-pharmaceutical interventions being implemented to curtail COVID-19 transmission in a community (such as social-distancing, quarantine of suspected cases, isolation of confirmed cases, contact-tracing, testing and use of face-masks in public), is formulated based on stratifying the total human population at time t, denoted by N (t), into the mutually-exclusive compartments of non-quarantined susceptible (S u (t)), quarantined susceptible (S q (t)), non-quarantined exposed (i.e., newly-infected individuals who do not yet show symptoms of the disease and cannot transmit infection, E u (t)), quarantined exposed (E q (t)), symptomatically-infectious (I u (t)), asymptomatically-infectious (I a (t)), hospitalized/isolated (I h (t)), intensive care patients (I icu (t)) and recovered (R(t)), so that

The parameters σ u (σ q ) is the rate at which exposed non-quarantined (quarantined) individuals progress to the symptomatic (hospitalized) class (i.e., 1/σ u and 1/σ q is the intrinsic incubation period of non-quarantined and quarantined exposed individuals, respectively).

In the model (2.1), the parameter 0 < p ≤ 1 is the probability of infection per contact, while q is the proportion of non-quarantined individuals that are infected at the time of quarantine.

Proportion of infected humans quarantined at time of exposure ψ q Rate at which quarantined individuals revert to the susceptible class (1/ψ q is the average duration in quarantine).

Quarantine and isolation can either be at home (self-quarantine and self-isolation) or at designated healthcare facilities.

Hospitalization rate of non-quarantined infectious individuals r(1 − r) Proportion of exposed quarantined individuals who are hospitalized (not hospitalized) at the end of the incubation period, (i.e., move to the I h (I a ) class) θ q Efficacy of quarantine, hospitalization/isolation and ICU admission to prevent infected individuals in quarantine, hospital/isolation and ICU from transmitting infection (0 ≤ θ q ≤ 1)

The parameter ψ q measures the rate at which quarantined-susceptible individuals revert to the wholly-susceptible non-quarantined class (S u ) at the end of the quarantine period.",2020-04-24
,2020-04-17,Analysis of the COVID-19 epidemic in french overseas department Mayotte based on a modified deterministic and stochastic SEIR model,https://doi.org/10.1101/2020.04.15.20062752,medrxiv,Modeling,,,,,,17.0,Thus a total of 17 imported cases were confirmed two week days later.,"With contact tracing, a proportion of individuals exposed to the virus is quarantined.",2020-05-01
,2020-04-15,Mathematical assessment of the impact of non-pharmaceutical interventions on curtailing the 2019 novel Coronavirus,https://doi.org/,ArXiv,Modeling,,,,,,83.0,"South Korea reported 83 newly-confirmed cases on April 3, 2020 .","The parameter α u represents the rate at which exposed non-quarantined individuals are detected (by contact-tracing) and placed in quarantine.

Incubation period for non-quarantined (quarantined) exposed individuals σ a Rate at which asymptomatically-infectious humans are detected (via contact-tracing) and hospitalized/isolated α u Rate at which exposed non-quarantined individuals are detected (via contact-tracing) and placed in quarantine

The model, which incorporates the main non-pharmaceutical interventions being implemented to curtail COVID-19 transmission in a community (such as social-distancing, quarantine of suspected cases, isolation of confirmed cases, contact-tracing, testing and use of face-masks in public), is formulated based on stratifying the total human population at time t, denoted by N (t), into the mutuallyexclusive compartments of non-quarantined susceptible (S u (t)), quarantined susceptible (S q (t)), non-quarantined exposed (i.e., newly-infected individuals who do not yet show symptoms of the disease and cannot transmit infection, E u (t)), quarantined exposed (E q (t)), symptomatically-infectious (I u (t)), asymptomatically-infectious (I a (t)), hospitalized/isolated (I h (t)), intensive care patients (I icu (t)) and recovered (R(t)), so that N (t) = S u (t) + S q (t) + E u (t) + E q (t) + I u (t) + I a (t) + I h (t) + I icu (t) + R(t).

The parameters σ u (σ q ) is the rate at which exposed non-quarantined (quarantined) individuals progress to the symptomatic (hospitalized) class (i.e., 1/σ u and 1/σ q is the intrinsic incubation period of non-quarantined and quarantined exposed individuals, respectively).

In the model (2.1), the parameter 0 < p ≤ 1 is the probability of infection per contact, while q is the proportion of non-quarantined individuals that are infected at the time of quarantine.

It should be mentioned that, in the formulation of the model (2.1), the quarantine rate is defined as a function of the proportion of infectious individuals in the community (in particular, the quarantine rate of susceptible individuals is (1 − p)λ, while that of newly-infected exposed individuals in the E q class is qpλ, where λ is the force of infection).

Quarantine and isolation can either be at home (self-quarantine and self-isolation) or at designated healthcare facilities.

Thus, the process of quarantining individuals suspected of having had close contacts with an infectious individual can be interpreted as contact-tracing.

The parameter ψ q measures the rate at which quarantined-susceptible individuals revert to the wholly-susceptible non-quarantined class (S u ) at the end of the quarantine period.

Hospitalization rate of non-quarantined infectious individuals r(1 − r) Proportion of exposed quarantined individuals who are hospitalized (not hospitalized) at the end of the incubation period, (i.e., move to the I h (I a ) class) θ q Efficacy of quarantine, hospitalization/isolation and ICU admission to prevent infected individuals in quarantine, hospital/isolation and ICU from transmitting infection (0 ≤ θ q ≤ 1) σ q = 1/5.1 per day .",2020-05-01
,2020-04-12,"Modeling the transmission of new coronavirus in S\~ao Paulo State, Brazil -- Assessing epidemiological impacts of isolating young and elder persons",https://doi.org/,ArXiv,Modeling,,,,,,2.0,"For η 2 = 0.01 in comparison with η 2 = 0, severe CoViD-19 cases are reduced in 71.1% and 72.2%, respectively for young and elder persons.","The isolation was described by the isolation rate of susceptible persons η 2j , with j = y, o.",2020-05-01
,2020-04-11,Modelling the impact of COVID-19 in Australia to inform transmission reducing measures and health system preparedness,https://doi.org/10.1101/2020.04.07.20056184,medrxiv,Modeling,,,,,,,& Based on assumptions used in (13) .,"We assumed that 80% of identified contacts adhered to quarantine measures and that the overall infectiousness of truly exposed and infected contacts was halved by quarantine, given delayed and imperfect contact tracing and the risk of transmission to household members.",2020-04-17
,2020-04-09,Coronavirus epidemic and geriatric mental healthcare in China: how a coordinated response by professional organizations helped older adults during an unprecedented crisis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184143/,PMC,Other,,,,,,,Mental health professionals joined the emergency medical teams International Psychogeriatrics: page 1 of 4 © International Psychogeriatric Association 2020.,Such types of social activities increased their risk of being exposed to virus transmission which then resulted in quarantine and isolation in case of suspected or confirmed cases of the virus.,2020-05-01
,2020-04-08,Effective containment explains subexponential growth in recent confirmed COVID-19 cases in China,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164388/,Science,Modeling,,,,,,15000.0,"Consequently, about 15,000 new cases were added on a single day, compared to about 1,500 new cases on the day before.",Infected individuals are removed at rate κ corresponding to quarantine measures that only affect symptomatic infecteds.,2020-04-24
,2020-04-07,Control Strategies to Curtail Transmission of COVID-19,https://doi.org/10.1101/2020.04.04.20053173,medrxiv,Modeling,,,,,,683536.0,"More than 6,83,536 positive cases and 32,139 deaths caused by coronavirus 2019 affecting 199 countries and territories.","These strategies include self-quarantine of exposed individuals, isolation of infected individuals, taking extra care of infected individuals to reduce critical case of COVID-19, increase hospitalisation facility for infected and critically infected individuals.",2020-04-10
,2020-04-07,Assessment of 21 Days Lockdown Effect in Some States and Overall India: A Predictive Mathematical Study on COVID-19 Outbreak,https://doi.org/,ArXiv,Modeling,,,,,,100.0,This tally rises with few hundred new notified cases every day reported from different locations in India .,Lock-down population are fraction of the susceptible individuals that are home quarantined.,2020-05-01
,2020-04-03,The Effectiveness of Targeted Quarantine for Minimising Impact of COVID-19,https://doi.org/10.1101/2020.04.01.20049692,medrxiv,Modeling,,,,,,,A threshold at 50 years of age minimizes this number.,"During quarantine, we assume a contact rate κ i,j (t) = κ Q = 0.1, for individuals within the quarantine (i, j > A), and κ i,j (t) = κ × = 0.1 across the quarantine barrier.",2020-04-17
,2020-04-03,New measures for COVID-19 response: a lesson from the Wenzhou experience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184503/,Clin Infect Dis,Other,,,,,,504.0,"Of the 504 patients in Wenzhou, 434 patients were mild, and 62 were severe and 8 were critically severe, 502 patients had been discharged and 1 patient (0.2% mortality) had died, 1 patient was still in critical condition.",All COVID-19 contacts and suspected patients were isolated for quarantining.,2020-05-12
,2020-04-02,Different scenarios in the Dynamics of SARS-Cov-2 Infection: an adapted ODE model,https://doi.org/,ArXiv,Modeling,,,,,,100.0,*Portion of total initial susceptible population ( S(0)) **Approximately 100 individuals from the entire population of Brazil.,"In these scenarios, the containment measures are reduced to the quarantine of infected individuals and the isolation of exposed people.",2020-05-01
,2020-04-02,"Only strict quarantine measures can curb the coronavirus disease (COVID-19) outbreak in Italy, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140595/,Euro Surveill,Other,,,,,,15293.0,"The population sizes in these towns range from 927 to 15,293 individuals .","We modelled a scenario where 0.1% of the population in the high-risk town would be infected (in the latent period) at the time of implementing the quarantine policy, and all infected symptomatic persons would have been already removed from the town(in hospital isolation).",2020-04-17
,2020-04-02,Healthcare impact of COVID-19 epidemic in India: A stochastic mathematical model,https://doi.org/10.1016/j.mjafi.2020.03.022,Medical Journal Armed Forces India,Modeling,,,,,,1000000.0,Results Uninterrupted epidemic in India would have resulted in more than 364 million cases and 1.56 million deaths with peak by mid-July.,"Maximum returns will be achieved by contact-tracing and quarantine of the asymptomatic exposed individuals.

To model the effects of isolation, wherein infectious individuals are isolated so that they are unable to infect the susceptible population, we added a Quarantine (Q) compartment.",2020-04-24
,2020-03-31,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://doi.org/,ArXiv,Modeling,,,,,,10.0,"Very high asymptotic values of infected individuals are reached, 3.4 × 10 7 cases for Brazil and 5.9 × 10 7 cases for USA.","Our SEIR model takes into account the isolation of infected individuals In this case, the quarantine means the identification and isolation of infected individuals.",2020-05-01
,2020-03-31,The SARS-CoV-2 epidemic outbreak: a review of plausible scenarios of containment and mitigation for Mexico,https://doi.org/10.1101/2020.03.28.20046276,medrxiv,Modeling,,,,,,1103.0,"For example, at March 31, 2020, the model expects 1,103 cases, with a 95% probability interval of (401, 2353); and at April 7, 2020, a total of 4,202 cases are expected with a 95% probability interval of (1,440, 11,012).",The contact rates before isolation is enforced are and for symptomatic and asymptomatic individuals.,2020-04-03
,2020-03-30,A single holiday was the turning point of the COVID-19 policy of Israel,https://doi.org/10.1101/2020.03.26.20044412,medrxiv,Modeling,,,,,,19.0,"From the total of 883 PCR laboratory confirmed COVID-110 19 cases we analyzed the 384 cases that were investigated epidemiologically, 111 allowing us to separate the incoming from abroad (quarantined on arrival by policy) 112 to local cases.","In 87 particular, the model includes quarantine of asymptomatic suspected population 88 (exposed) and isolation of symptomatic and infectious patients.",2020-05-12
,2020-03-30,Advanced Preparation Makes Research in Emergencies and Isolation Care Possible: The Case of Novel Coronavirus Disease (COVID-19),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7204595/,Am J Trop Med Hyg,Other,,,,,,57.0,"Nebraska's first guests related to COVID-19 were 57 men, women, and children evacuated from Wuhan, China, and in quarantine.","Isolation differs from quarantine in that isolation requires infection with a quarantinable, communicable disease, not just exposure.",2020-05-12
,2020-03-27,Surveillance to improve evidence for community control decisions during the COVID-19 pandemic – Opening the animal epidemic toolbox for Public Health,https://doi.org/10.1016/j.onehlt.2020.100130,One Health,Other,,,,,,,This allows treatment and isolation of ill people and quarantine of individuals.,This allows treatment and isolation of ill people and quarantine of individuals.,2020-04-03
,2020-03-26,"Mathematical modeling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada",https://doi.org/10.1101/2020.03.24.20042705,medrxiv,Modeling,,,,,,149000.0,"At the epidemic peak, we projected 107,000 (95% CrI: 60,760-149,000) cases in hospital and 55,500 (95% CrI: 32,700-75,200) cases in ICU.","For the base case, we assumed that there was a degree of testing and isolation occurring and that a proportion of exposed cases were quarantined.

Exposed cases can be either quarantined or not; quarantined cases would represent those who were identified via contact tracing.",2020-04-03
,2020-03-22,Understanding the Mosaic of COVID-19: A Review of the Ongoing Crisis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7174861/,PMC,Other,,,,,,64.0,"Another study revealing a toddler with no symptoms of the disease but still carrying the COVID-19 virus highly suggested that asymptomatic patients are active carriers of the infections .A study showed that 33 (52%) of 64 patients were interrogated, with 26 (79%) of them confirming at least one respiratory symptom .","Countries should allow adequate testing, the isolation of people with COVID-19, contact tracing, and forcing quarantine of all contacts.",2020-05-01
,2020-03-18,Short-term predictions and prevention strategies for COVID-2019: A model based study,https://doi.org/,ArXiv,Modeling,,,,,,,See figure 8(a) and 8(b) obtained from model simulation in which the results correspond to the theoretical findings discussed.,"The interaction between infected individuals (quarantined, asymptomatic, symptomatic or isolated) and susceptible is modelled in the form of total population without quarantined and isolated individuals using standard mixing incidence incidence [38; 39; 23; 29] .

From the above finding it follows that neither the quarantine of exposed individuals nor the isolation of symptomatic individuals will prevent the disease with the high value of the modification factor for quarantine.

For the model (2.8), the use of quarantine of the exposed individuals will have positive (negative) population-level impact if r Q < (r Q > ).

We estimate the diseases transmission rates by humans, β , quarantine rate of exposed individuals, γ 1 , isolation rate of infected individual, γ 2 , rate at which quarantined individuals are isolated, k 2 , recovery rate from quarantined individuals, σ 1 , recovery rate from asymptomatic individuals, σ 2 , recovery rate from isolated individuals, σ 4 , and initial population sizes to match the COVID cases in five provinces of China.",2020-05-01
,2020-03-17,Modelling the epidemic 2019-nCoV event in Italy: a preliminary note,https://doi.org/10.1101/2020.03.14.20034884,medrxiv,Modeling,,,,,,,In table I The results are shown in Figs 4 and 5.,"The quarantine imposed to the infectious individuals, the effects of an intensive contact tracing and isolation reduce the maximum value of the distribution by a factor ∼ 26 (see Fig.",2020-03-27
,2020-03-16,Calibrated Intervention and Containment of the COVID-19 Pandemic,https://doi.org/,ArXiv,Modeling,,,,,,159.0,"By combining two data sets (11, 23) with a total of 159 infection cases, we calibrated the statistical behavior of the symptom onset time as shown in Fig.","For contact tracing and quarantining, we show our results for aggressive contact tracing under the scenario that all close contacts are traced and quarantined on day after infection, without testing the individual for the virus (Fig.

To lessen the impact of social distancing practices on the general public, governments have mainly adopted two measures to track COVID-19 transmission: 1) testing and isolating infected individuals; and 2) tracing and quarantining contacts of infected individuals.",2020-05-01
,2020-03-13,Lessons drawn from China and South Korea for managing COVID-19 epidemic: insights from a comparative modeling study,https://doi.org/10.1101/2020.03.09.20033464,medrxiv,Modeling,,,,,,350000.0,"We obtain a similar conclusion that the cumulative confirmed cases would reach the number of 350,000 cases as of April 1 st with a constant detection rate (no improvement of .","In our model formulation, the transmission probability is denoted by β and the contact rate is denoted by c. By enforcing contact tracing, a proportion, , of individuals exposed is quarantined, and can either move to the compartment or with rate of (or -), depending on whether they are effectively infected or not 18, 19 , while the other proportion, 1q, consists of individuals exposed to the virus who are missed from contact tracing and move to the exposed",2020-03-27
,2020-03-06,Risk estimation and prediction by modeling the transmission of the novel coronavirus (COVID-19) in mainland China excluding Hubei province,https://doi.org/10.1101/2020.03.01.20029629,medrxiv,Modeling,,,,,,21.0,"21 confirmed cases were reported on January 20th, 2020 for the first time and the numbers of recovered and dead individuals were both 0.","The quarantined susceptible individuals were isolated for 14 days, thus µ = 1/14 .

Additionally, close contact tracing followed by quarantine and isolation is a critical control measure.",2020-05-01
,2020-03-01,Transmission characteristics of the COVID-19 outbreak in China: a study driven by data,https://doi.org/10.1101/2020.02.26.20028431,medrxiv,Other,,,,,,1.0,doi: medRxiv preprint patients (64.0%) infected one or less individuals.,"The basic reproduction number is 1.54 with contact tracing, quarantine and isolation.",2020-03-27
,2020-02-29,Stochastic discrete epidemic modeling of COVID-19 transmission in the Province of Shaanxi incorporating public health intervention and case importation,https://doi.org/10.1101/2020.02.25.20027615,medrxiv,Other,,,,,,,The number of discharged patients has increased rapidly since February 7 th 2020.,"Let the transmission probability be β and the contact rate be c. With contact tracing, we assume a proportion, q, of individuals exposed to the virus is quarantined, and can either move to the compartment B or S q at a rate of βcq or (1 -β)cq), depending on whether they are infected or not, while the other proportion, 1 -q, consists of individuals exposed to the virus who are missed from contact tracing and move to the exposed compartment E at a rate of βc(1 − q)",2020-03-27
,2020-02-20,Effective containment explains sub-exponential growth in confirmed cases of recent COVID-19 outbreak in Mainland China,https://doi.org/10.1101/2020.02.18.20024414,medrxiv,Modeling,,,,,,,"In particular, positively diagnosed cases were either quarantined or put under a form of self-quarantine at home .",Infected individuals are removed at rate κ corresponding to quarantine measures that only affect symptomatic infecteds.,2020-03-27
,2020-02-18,Effective containment explains sub-exponential growth in confirmed cases of recent COVID-19 outbreak in Mainland China,https://doi.org/,ArXiv,Modeling,,,,,,,"In particular, positively diagnosed cases were either quarantined or put under a form of self-quarantine at home .",Infected individuals are removed at rate κ corresponding to quarantine measures that only affect symptomatic infecteds.,2020-05-01
,2020-02-13,"Isolation, quarantine, social distancing and community containment: pivotal role for old-style public health measures in the novel coronavirus (2019-nCoV) outbreak",https://doi.org/10.1093/jtm/taaa020,J Travel Med,Other,,,,,,14.0,"By 2 February 2020, 14 600 cases had been confirmed, and >20 000 cases were classified as suspect cases waiting for laboratory results, 113 579 close contacts were been tracked and 4201 people were released from medical observation.","The incubation time allowed for timely isolation, and also for contacts to be traced and quarantined in time.",2020-04-10
,2020-02-07,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions,https://doi.org/10.3390/jcm9020462,J Clin Med,Modeling,,,,,,2.0,"As of 10 January 2020, two patients had been recovered and were subsequently discharged from the hospital leading to R(0) = 2, and 739 individuals were quarantined leading to S q (0) = 739.","With contact tracing, a proportion, q, of individuals exposed to the virus is quarantined.

The quarantined individuals were isolated for 14 days, thus λ=1/14.

The quarantined individuals were isolated for 14 days, thus λ = 1/14.",2020-03-27
,2020-02-02,A Time Delay Dynamical Model for Outbreak of 2019-nCoV and the Parameter Identification,https://doi.org/,ArXiv,Modeling,,,,,,,"Moreover, the data is from Jan. 23rd 2020 to Feb. 9th 2020 and including the cumulative diagnosed people, the cumulative cured people and the cumulative dead people.","where is the rate of isolation for the currently exposed people, and h 2 (t, t ) = −c 4 (t−t ) 2",2020-05-01
,2020,The 2019 Novel Coronavirus Outbreak - A Global Threat,https://www.ncbi.nlm.nih.gov/pubmed/32138488/,The Journal of the Association of Physicians of India,Other,,,,,,,"There is a spectrum of clinical features from mild to severe life threatening disease with major complications like severe pneumonia, ARDS, acute cardiac injury and septic shock.",Isolation of symptomatic cases and home quarantine of asymptomatic contacts is recommended.,2020-03-27
0,2020-04-15,Household Secondary Attack Rate of COVID-19 and Associated Determinants,https://doi.org/10.1101/2020.04.11.20056010,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: a COVID-19 case infected 0.48 (95% CI: 0.39-0.58) close contacts; After intervention: had isolation not been implemented, this number increases to 0.62 (95% CI: 0.51-0.75)",cities: Guangzhou; cases: 335,4/19/20,,,,
1,2020-04-07,A hybrid multi-scale model of COVID-19 transmission dynamics to assess the potential of non-pharmaceutical interventions,https://doi.org/10.1101/2020.04.05.20054460,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: 98.4 % of the population will be infected; After intervention: If 80% of the population stayed home, there would be an infection rate of 30%",countries: Italy,4/15/20,,,,
2,2020-03-31,COVID-19 infection and recovery in various countries: Modeling the dynamics and evaluating the non-pharmaceutical mitigation scenarios ,https://arxiv.org/abs/2003.13901,ARxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: No quarantine: total number of infected people 9,336; After intervention: Attempted quarantine: total number of infected people 9,322",-,5/3/20,,,,
3,2020-03-30,Dynamic Modeling to Identify Mitigation Strategies for Covid-19 Pandemic,https://doi.org/10.1101/2020.03.27.20045237,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: Unknown; After intervention: 29.42% reduction in infection rate,countries: globally,4/10/20,,,,
4,2020-03-30,Symptom-Based Isolation Policies: Evidence from a Mathematical Model of Outbreaks of Influenze and COVID-19,https://doi.org/10.1101/2020.03.26.20044750,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: 50% of the cases detect fever: no isolation: attack rate is 79% (IQR: 56-90%); After intervention: one day post-fever isolation reduces attack rate to 71% (IQR: 43-86%),-,5/3/20,,,,
5,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: R0 = 1.5 270,000 people infected (7.4% population); After intervention: 15,000 infected (94.8% decrease)",cities: Singapore,4/8/20,,,,
